"rows.list[[i]]","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"Oxidoreductases..1.......",0,0,0,16.0841995512258,127.445105813434,117.658732103877,133.636337140672,99.8316077916459,112.708197418937,54.6032854709474,132.137949449968,108.204189727235,107.539257401351,81.9808797910177,94.6770719603975,93.8706912618461,0
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors..1.1.....",0,0,0,0,17.9367185959648,11.0998803871582,6.36363510193676,1.51260011805524,0,13.180103389539,7.35802966774763,11.3049153446365,9.97339887189944,9.70826208051525,8.91885460496498,10.9363912149724,0
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors....With.NAD....or.NADP....as.acceptor..1.1.1...",0,0,0,0,30.209210266888,55.4994019357912,31.8181755096838,42.3528033055467,23.0848115195414,3.76574382558258,33.1111335048643,32.2997581275328,35.5573351085111,39.372396215423,35.6754184198599,37.3660033178222,57.3301943224382
"Alcohol.dehydrogenase..1.1.1.1.",49.4374159204834,114.197203408799,0,0,40.5936262961308,26.6397129291798,52.4999895909783,28.7394022430496,47.5275531284675,50.8375416453649,30.351872379459,40.374697659416,26.0175622745203,31.2821778149936,49.3967331967291,25.5182461682688,15.2880518193168
"L.xylulose.reductase..1.1.1.10.",0,0,0,0,0,0,0,0,0,0,0.306584569489484,0,0.433626037908671,2.69673946680979,0,0,3.82201295482921
"X3.oxoacyl..acyl.carrier.protein..reductase..1.1.1.100.",0,0,0,0,40.5936262961308,0,12.7272702038735,51.4284040138782,43.4537628603131,1.88287191279129,53.3457150911703,24.2248185956496,55.9377588902186,49.0806582959382,44.5942730248249,65.6183472898342,7.64402590965842
"L.threonine.3.dehydrogenase..1.1.1.103.",0,3.80657344695997,0,12.0631496634194,8.49634038756226,8.87990430972659,0,3.02520023611048,2.71586017876957,7.53148765116516,4.29218397285278,4.84496371912992,4.33626037908671,4.31478314689567,9.60492034380844,3.18978077103361,7.64402590965842
"All.trans.retinol.dehydrogenase..NAD......1.1.1.105.",0,0,0,4.02104988780646,0,0,0,1.51260011805524,0,0,0.613169138978969,0,0,0.539347893361958,0,0.455682967290515,0
"Pyridoxal.4.dehydrogenase..1.1.1.107.",7.60575629545899,0,0,0,0,0,3.18181755096838,0,0,0,2.14609198642639,0,1.30087811372601,3.23608736017175,2.05819721653038,4.10114670561464,0
"Carnitine.3.dehydrogenase..1.1.1.108.",0,0,0,0,2.83211346252075,0,0,0,0,0,0.919753708468454,0,1.73450415163469,0,0.68606573884346,0.455682967290515,3.82201295482921
"D.arabinitol.4.dehydrogenase..1.1.1.11.",3.80287814772949,0,0,0,0,15.5398325420215,3.18181755096838,0,0,0,4.29218397285278,1.61498790637664,3.90263434117804,4.31478314689567,0.68606573884346,5.01251264019567,0
"D.arabinose.1.dehydrogenase..NAD......1.1.1.116.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactose.1.dehydrogenase..NADP......1.1.1.120.",0,0,0,0,0,0,0,1.51260011805524,0,0,0,1.61498790637664,0,0,0,0,0
"D.threo.aldose.1.dehydrogenase..1.1.1.122.",0,0,0,0,0,15.5398325420215,3.18181755096838,1.51260011805524,0,0,0.919753708468454,0,0.433626037908671,0.539347893361958,1.37213147768692,0,0
"Sorbose.5.dehydrogenase..NADP......1.1.1.123.",0,0,0,0,0,0,1.59090877548419,0,0,0,0,0,0,0,0,0,0
"X2.deoxy.D.gluconate.3.dehydrogenase..1.1.1.125.",3.80287814772949,0,0,0,0.944037820840251,6.65992823229494,0,7.5630005902762,1.35793008938479,3.76574382558258,1.53292284744742,0,4.33626037908671,2.69673946680979,6.17459164959114,2.73409780374309,7.64402590965842
"X2.dehydro.3.deoxy.D.gluconate.5.dehydrogenase..1.1.1.127.",0,0,0,0,0,0,1.59090877548419,0,0,0,0,0,0.433626037908671,0,3.4303286942173,0,0
"X3.dehydro.L.gulonate.2.dehydrogenase..1.1.1.130.",0,0,0,8.04209977561292,0,6.65992823229494,1.59090877548419,0,2.71586017876957,0,0.613169138978969,1.61498790637664,0.867252075817343,0,2.74426295537384,0,0
"GDP.mannose.6.dehydrogenase..1.1.1.132.",0,0,0,0,0,0,0,1.51260011805524,1.35793008938479,0,0.613169138978969,0,1.30087811372601,0,2.05819721653038,0,0
"dTDP.4.dehydrorhamnose.reductase..1.1.1.133.",7.60575629545899,0,0,4.02104988780646,7.552302566722,8.87990430972659,9.54545265290514,15.1260011805524,16.2951610726174,0,5.82510682030021,8.07493953188319,13.0087811372601,15.1017410141348,4.11639443306076,13.2148060514249,0
