"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"glycyl.tRNA.aminoacylation..GO.0006426.",31.3821816959057,25.6428065862105,42.7021566690447,12.9357973663075,1.20104519495079e-06,2.9225433077136e-05
"protoporphyrinogen.IX.biosynthetic.process..GO.0006782.",58.5377344888617,39.8257207280899,68.3816559958714,28.3157883484674,8.53635283189934e-07,2.9225433077136e-05
"ribosomal.small.subunit.biogenesis..GO.0042274.",16.4530570050967,13.6728531194993,21.4995866990978,10.5170047703991,7.45675792461277e-07,2.9225433077136e-05
"gamma.aminobutyric.acid.catabolic.process..GO.0009450.",9.90785875453434,9.66319462651637,17.3558479990978,11.4563868414336,1.72936834340638e-06,3.15609722671665e-05
"branched.chain.amino.acid.biosynthetic.process..GO.0009082.",22.5083036859036,18.5649796331348,31.4904393163506,14.2259523086524,8.04463328733352e-06,0.000109143204587639
"pantothenate.biosynthetic.process..GO.0015940.",19.6675982517608,13.7592233490943,29.4267327530592,14.6414317219434,8.97067434966896e-06,0.000109143204587639
"cytochrome.complex.assembly..GO.0017004.",15.0774184989438,12.4570597819697,19.5059319869618,11.1123725553026,5.80709725358277e-05,0.000605597285016488
"regulation.of.cell.division..GO.0051302.",2.74781958929785,2.73809472779976,2.73417242843737,2.95940813397897,7.08369268563237e-05,0.000646386957563954
"lipoprotein.biosynthetic.process..GO.0042158.",16.9022051066766,13.6842277458972,24.5722376918785,9.45898539111344,0.000126318008121563,0.00102457939920823
"UDP.N.acetylgalactosamine.biosynthetic.process..GO.0019277.",33.0345726945979,19.6796795361412,36.6037385069947,15.0515896663068,0.000794772189966152,0.00580183698675291
"GTP.catabolic.process..GO.0006184.",4.345516879137,5.33723915495877,2.31570039684584,2.12713091283614,0.00206836293532825,0.0137264085708147
"porphyrin.containing.compound.biosynthetic.process..GO.0006779.",33.1622534109699,19.2268283865907,42.7451155945587,10.7725874353905,0.00408133336309067,0.0248281112921349
"response.to.copper.ion..GO.0046688.",3.06020094817166,3.66892971103316,3.1867733255173,2.46280568904405,0.00494427362784972,0.0277639980640792
"alginic.acid.biosynthetic.process..GO.0042121.",1.50000247013369,2.25940422236778,3.11524398890052,4.00936366054797,0.00683145548566759,0.0356211607466953
