"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"X.Xanthomonadaceae.",27.8846097291289,58.542095812005,20.1434164180272,36.8004191301214,7.8316018471302e-39,1.80126842483995e-36
"X.Flavobacteriales.",17.6376976194059,25.8805641195697,99.5709354977784,111.186038107453,9.52299001577176e-37,1.09514385181375e-34
"X.Moraxellaceae.",199.746085274143,145.241900204009,130.192285683664,158.024188911229,1.40250096718204e-29,1.07525074150623e-27
"X.Flavobacteriia.",1.1714678246066,2.5818460530253,37.9499824866887,48.1085357417571,2.55880837774144e-24,1.47131481720133e-22
"Nostoc",9.37789322167811,15.9315769853841,0.774792765958627,1.53880396910905,4.86992106101512e-10,2.24016368806695e-08
"Leuconostoc",5.67622225333627,9.9478992197153,0,0,2.38096453726162e-06,9.12703072616953e-05
"Shewanella",9.14008446102995,8.65336736746074,2.94096431609049,5.00966102890335,8.33905365401996e-06,0.000273997477203513
"Riemerella",0,0,5.33459966313116,7.56147886378877,2.97845169585324e-05,0.000856304862557808
"Sorangium",1.03309698774895,2.9220395426427,5.46976547009228,6.46715799645781,0.000216459019744275,0.00553173050457592
"Mucilaginibacter",10.8992901694273,30.8278479556876,23.8296335890117,31.9552995464132,0.000289161096971438,0.00665070523034307
