"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"electron.carrier.activity..GO.0009055.",142.55770620587,101.311580080512,215.409693139992,95.4218418194114,2.52217310779499e-18,3.73533837264438e-15
"X.2.iron..2.sulfur.cluster.binding..GO.0051537..",60.1599961376566,48.7688921342234,95.3746369656359,35.8503097271132,9.71640255723296e-17,7.19499609363101e-14
"heme.binding..GO.0020037.",212.048598875048,150.042590227528,271.609785704323,80.3116334128675,3.36816230097662e-16,1.66274945591546e-13
"cation.transmembrane.transporter.activity..GO.0008324.",38.2630785723676,32.3778899811903,51.7089206167212,25.4737001723459,9.33360626655125e-15,3.4557677201906e-12
"nucleoside.triphosphatase.activity..GO.0017111.",247.768989756235,166.128980178758,333.879810752834,87.1716610642491,3.81685545138476e-11,1.13055258470016e-08
"X.oxidoreductase.activity..acting.on.paired.donors..with.incorporation.or.reduction.of.molecular.oxygen..GO.0016705..",63.2598491166069,48.5790184883907,95.6742311358624,25.850078214727,6.02852974705620e-09,1.48804209256504e-06
"aminopeptidase.activity..GO.0004177.",59.5039145652699,44.2462049711228,105.011827313719,39.9651535579187,1.00559127182006e-08,2.12754381937931e-06
"monooxygenase.activity..GO.0004497.",62.3373836909176,45.023719952816,74.2928339262206,34.2304447890075,1.38811364418826e-08,2.56974538380352e-06
"protein.serine.threonine.kinase.activity..GO.0004674.",54.3194550904267,47.978161607386,68.5304262886136,26.1104919172021,1.62729033854219e-08,2.67779665708998e-06
"motor.activity..GO.0003774.",48.1089449830515,40.8047310747298,61.8630025113286,34.1327783301348,8.41208627360728e-07,0.000124582997712124
"metallopeptidase.activity..GO.0008237.",57.8496248026028,39.3548657959929,91.683245503638,36.1908677235377,4.28979093054115e-06,0.000506228335080797
"nickel.cation.binding..GO.0016151.",10.6911523115764,16.2676839121349,20.5580924501287,10.0627861582641,4.44359780962213e-06,0.000506228335080797
"cation.transporting.ATPase.activity..GO.0019829.",23.5133708366902,18.0304041001737,29.7837547822205,6.66096852410027,4.07284738562595e-06,0.000506228335080797
"glutamate.ammonia.ligase.activity..GO.0004356.",18.0337944553169,19.2082975111563,40.9254854150905,11.1269758204981,1.14890849087969e-05,0.00113435564999521
"iron.ion.binding..GO.0005506.",387.365304697734,209.371883899746,436.631421970967,109.046612669743,1.09874358075096e-05,0.00113435564999521
"siderophore.transmembrane.transporter.activity..GO.0015343.",113.888659287683,70.4347680426993,108.015753197503,56.0957206301026,1.88262572017709e-05,0.00174260543223892
"nucleotidyltransferase.activity..GO.0016779.",33.8259308801543,21.3442284852892,38.1235227673068,12.6820595390186,9.57038518060499e-05,0.00833749438380941
