"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"Zinc.binding.dehydrogenase..PF00107.",82.9255394217454,60.3846537530708,110.888410453709,45.0116517289902,9.12742556653421e-16,1.53112563878611e-12
"Alcohol.dehydrogenase.GroES.like.domain..PF08240.",97.7455308600125,70.7739472371195,122.544172099766,44.1248698886564,6.95886168386367e-16,1.53112563878611e-12
"Thiamine.pyrophosphate.enzyme..C.terminal.TPP.binding.domain..PF02775.",38.2609506999438,32.7218840550441,94.1507520524903,32.6753536669412,1.08910336724775e-12,1.21798059903873e-09
"NADH.Ubiquinone.plastoquinone..complex.I...various.chains..PF00361.",76.1079280538518,55.1279305921567,82.2642245682181,43.3973457621943,9.72778617547405e-12,8.15918065467886e-09
"Pyridine.nucleotide.disulphide.oxidoreductase..PF07992.",108.243463224673,78.8051269897708,182.314093512909,39.577313552757,4.65988188955836e-11,3.12678074789366e-08
"Protein.kinase.domain..PF00069.",56.6523723648078,48.2534881274194,67.035083480532,25.3882988938508,4.69898819557419e-10,2.62751756602523e-07
"Glycosyl.hydrolase.family.3.N.terminal.domain..PF00933.",31.060878393738,23.957049060929,50.55713887258,29.8985042665104,8.89161257354622e-10,4.26162288346394e-07
"Pyridine.nucleotide.disulphide.oxidoreductase..PF00070.",102.103176864722,74.5805018354364,161.407505748598,28.642952605039,3.02523935459048e-09,1.26870975433138e-06
"Elongation.Factor.G..domain.II..PF14492.",23.9758418982996,20.7830342679327,49.6975455032726,24.8711176214554,7.44277630827683e-09,2.77450161269653e-06
"haloacid.dehalogenase.like.hydrolase..PF00702.",77.9106364200237,42.1398470389484,68.4822747529903,32.7617791446995,9.88844483535384e-09,3.31757324226121e-06
"PF01061",21.4415323827711,15.6672148805995,28.7495960237209,16.1601873036942,1.02268151715287e-07,3.11917862731625e-05
"E1.E2.ATPase..PF00122.",84.6374845198591,43.7612281455245,71.1156077736598,29.4960964247956,8.2507402688219e-07,0.000230676946682479
"Acyltransferase..PF01553.",34.6793452695359,24.3153939348883,47.8593609796998,18.4020493140462,3.88533395580431e-06,0.00100271503244027
"Pyridine.nucleotide.disulphide.oxidoreductase..dimerisation.domain..PF02852.",35.8438224338869,26.5794332567955,58.1706220374118,18.5836555496363,8.59852005708479e-06,0.00206057391367996
"Bacterial.regulatory.proteins..tetR.family..PF00440.",44.8165493359126,31.8552877352766,56.7232936479252,26.1512181129704,1.27501237200629e-05,0.00285177767205406
"DNA.gyrase.B.subunit..carboxyl.terminus..PF00986.",26.3173906028219,20.2811152253919,45.1774423318312,23.6601971190521,1.44166838837736e-05,0.00302299840187877
"PF02687",25.6251118705789,23.3555189607437,40.5525385962013,22.7258815704676,1.61616624491727e-05,0.00318955161864556
"AIR.synthase.related.protein..C.terminal.domain..PF02769.",43.5124155673246,30.4656921577966,60.9906094020985,22.5310265433005,3.01083080445333e-05,0.00561185408274497
"AIR.synthase.related.protein..N.terminal.domain..PF00586.",41.4550972007145,28.4409726944215,57.5639406411705,21.4784949625437,3.36855749676747e-05,0.00594816336929203
"Outer.membrane.efflux.protein..PF02321.",43.0274639231741,29.0108425241985,58.6189512090131,32.2165673725155,3.57866083670741e-05,0.00600320355357668
"Thiolase..C.terminal.domain..PF02803.",41.4336080301483,29.4138739122181,60.840166161409,19.4755238043451,3.80275724426421e-05,0.00607535740690781
"AAA.domain..PF13614.",14.8794749521431,13.3981616600408,26.0228112248984,13.3056926908245,6.90584319857178e-05,0.010531410877822
"PF00487",19.3344935700722,15.2814737133967,25.8973780821219,5.64338556769837,0.000123400480383464,0.0178304619496098
"Glutamine.synthetase..beta.Grasp.domain..PF03951.",14.4875600417889,13.1725104990565,29.6170135496652,9.62621876150898,0.000127550249415987,0.0178304619496098
"Oxidoreductase.FAD.binding.domain..PF00970.",30.1548078556557,16.9984750023543,32.7032111462013,11.0467815128448,0.000136913735310561,0.0183738232786774
"Sigma.54.interaction.domain..PF00158.",34.7132964709744,26.9761965875768,64.8150615969212,21.4517344637361,0.000145459718380178,0.018769898275596
"Thiolase..N.terminal.domain..PF00108.",42.8880309658746,30.3470088861576,62.2574488943892,19.9289392239659,0.000234717152962291,0.0281241445781602
"Bacterial.dnaA..protein..PF00308.",15.7223302711122,12.8182220262773,18.1350317281301,10.9326804974151,0.00022914990446581,0.0281241445781602
"Biotin.carboxylase.C.terminal.domain..PF02785.",35.7955993582579,29.5184483146345,57.2168248308816,14.0091676280497,0.000305816880740318,0.0353798494787506
"Malic.enzyme..N.terminal.domain..PF00390.",23.8666814965804,18.1861575679345,33.3782111090953,15.6867735355849,0.000416371166363968,0.0465641754383704
"CHAD.domain..PF05235.",2.58064408981131,3.33370315211766,2.30168180310805,2.73863948823945,0.000443135566446766,0.0479587040460936
