"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"total",44310.0187379599,33695.4871425803,80620.0233627782,32649.2384712853,0,0
"X.Flavobacteriaceae.",91.0239945936114,147.941533848978,1302.84178739947,1476.18273410266,0,0
"Unknown",20697.9528279366,17349.709628269,35321.5418737195,17604.5780908072,0,0
"Acinetobacter",5199.425589809,3572.55368809008,3259.78126107516,3691.039762855,1.72921147288604e-268,4.96283692718294e-266
"X.Actinomycetales.",334.430541522229,497.175835996799,1760.34799849484,1127.02184212147,1.66775433433452e-227,3.82916395163207e-225
"X.Enterobacteriaceae.",2997.47567308402,2477.81082110469,4887.81499430607,4814.88476634802,5.19036467778291e-92,9.93089775015796e-90
"Bacillus",21.1745609636772,43.2631460936862,109.712129577221,152.982416321555,1.98616570467709e-57,3.25731175567043e-55
"X.Firmicutes.",82.2456652798657,162.745439924066,179.817054562378,119.211649037759,2.20846110119872e-33,3.16914168022016e-31
"X.Flavobacteriales.",15.6555851535398,22.9231450592921,88.3959264089602,98.6169498478308,1.05807908773107e-32,1.34963865857252e-30
"X.Sphingobacteriales.",79.291652174219,176.040908574017,138.221764048236,128.63143815849,2.0773416992474e-29,2.38478827073602e-27
"X.Moraxellaceae.",177.097872385469,128.73728351316,115.440349146211,140.118594519244,2.1932805831681e-26,2.2889873722518e-24
"X.Eukaryota.",76.6607527476109,92.7934410909724,30.4703546564276,30.3239573814923,5.84991808698928e-22,5.59642163655308e-20
"X.Flavobacteriia.",1.06295564942791,2.2802062515424,33.8028552539651,42.7058226085883,1.19955809076906e-21,1.05930206784837e-19
"X.Burkholderiales.",0.0271308769139367,0.0372513338331682,1053.1519553153,946.575171244009,3.85982903573849e-19,3.16505980930556e-17
"Nocardioides",8.57736322636899,16.6603679241378,50.4848888496776,49.56464679786,2.62318995715959e-18,2.00761471387947e-16
"Conexibacter",0.0256992134678293,0.0348221759656596,37.5198719252273,48.3390692688337,1.13214056749164e-17,8.12310857175252e-16
"Microbacterium",424.426160879549,788.699524306575,1808.60569082166,512.312700362113,7.72566258497073e-13,5.2170944985567e-11
"Niastella",32.0718007916862,66.2006728446907,51.075337671967,48.3655559706893,1.48765368651473e-11,9.48792462288282e-10
"X.Oxalobacteraceae.",28.072709877118,59.5342376717011,60.0885435988143,72.6868124074726,7.16845447303437e-11,4.33125565002287e-09
"Botrytis",27.8815301487753,34.6144039314455,0.21218464363309,0.466096890396748,9.12432503211703e-11,5.23736256843517e-09
"X.Nostocales.",14.0101902835204,20.1282436076108,0.467270239330664,0.930109499466574,1.07935858711407e-10,5.90049360955694e-09
"Sphingomonas",393.230867310379,579.197257887255,1401.40091870327,681.905045277392,1.73491027421558e-10,9.05307724908855e-09
"X.Nocardioidaceae.",5.27380173044389,9.72120309746107,30.6414542026362,31.3012426153832,3.1207994426374e-10,1.55768598267293e-08
"Pedobacter",20.5556633896772,24.4510272226136,52.6973202305087,65.6210510849936,4.084220427175e-09,1.95361877099871e-07
"X.Betaproteobacteria.",0.0270409579618693,0.0371089211652231,306.488012430699,307.427865968884,8.48377716129989e-09,3.89575047246891e-07
"X.Pseudomonadales.",93.8354069914482,67.2215053016477,77.6569741340864,83.4249680164903,1.1340990135475e-08,5.0074833367405e-07
"Pantoea",513.960377408986,397.702740246559,602.224887505604,827.361448103302,8.21563186208851e-08,3.49316495469541e-06
"Lactococcus",11.5475783703046,18.3276672237954,5.90071091727521,11.854349931835,9.30725579587277e-07,3.81597487630784e-05
"Dyadobacter",8.69366942005304,22.0431337120788,14.670427201326,14.6980375116834,1.95605690817495e-06,7.74328734684427e-05
"Elizabethkingia",0.348881042150377,0.917610746295249,20.0148603613932,21.4299436967124,1.39170448979132e-05,0.000532558918093477
"Shewanella",8.10996507603942,7.66012236755916,2.63700952420233,4.42720608491429,3.01910452867677e-05,0.00111804258029707
"Tribolium",16.7205511901944,45.355109043728,0.322641945153122,0.401831116912264,0.00118707861527354,0.0425864453229381
