"rows.list[[i]]","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"X7.transmembrane.receptor..rhodopsin.family...PF00001.",3.36095574976893,0,0,0,0,0,0,18.7659575994606,0.348149799474325,5.25889491999469,0,0,0,0,0
"X7.transmembrane.receptor..Secretin.family...PF00002.",3.36095574976893,0,0,0,0,0,1.30029275696846,4.17021279988013,0,3.50592994666312,0,0,0,0,0
"X7.transmembrane.sweet.taste.receptor.of.3.GCPR..PF00003.",0,0,0,0,0,0,0,0,0,3.50592994666312,0,0,0,0,0
"ATPase.family.associated.with.various.cellular.activities..AAA...PF00004.",0,0,309.782941762315,101.118031128327,210.260155821996,199.875730146526,256.157673122786,339.87234319023,308.808872133726,156.013882626509,271.702945582836,310.583602944832,304.517422826226,319.525868958183,120.340095163905
"ABC.transporter..PF00005.",0,0,925.427522226663,672.654728810177,821.766775670967,898.653873335954,772.373897639264,713.106388779502,1115.12380771626,908.035856185749,1133.72452113701,1214.71334037119,1196.44203343372,1213.61646434345,269.561813167148
"ATP.synthase.alpha.beta.family..nucleotide.binding.domain..PF00006.",0,0,103.914531097485,65.9465420402134,82.3518943636151,121.184497805374,92.3207857447606,168.893618395145,127.770976407077,73.6245288799256,114.838475201378,120.305111022109,126.305521967696,147.883748152118,38.5088304524497
"EGF.like.domain..PF00008.",6.72191149953787,0,0,0,0,0,0,25.0212767992808,0.348149799474325,0,0,0,0.865106314847233,0,4.81360380655621
"Elongation.factor.Tu.GTP.binding.domain..PF00009.",0,0,208.809387960042,57.153669768185,219.020995647912,247.090469551217,183.341278732553,350.297875189931,270.512394191551,129.719408026536,285.874502097048,325.92864261602,292.405934418365,298.676684792474,57.7632456786745
"Helix.loop.helix.DNA.binding.domain..PF00010.",0,0,0.980325765070617,0,0,1.57382464682304,5.20117102787383,10.4255319997003,4.87409719264055,1.75296497333156,1.95469745023623,0,1.73021262969447,0,0
"Hsp20.alpha.crystallin.family..PF00011.",0,0,0,0,1.7521679651833,0,5.20117102787383,0,4.87409719264055,0,4.88674362559057,7.97942062901743,14.706807352403,4.36378273235758,0
"Hsp70.protein..PF00012.",0,17.522199294761,87.2489930912849,24.1803987480783,50.8128709903157,59.8053365792754,58.5131740635806,108.425532796883,83.5559518738381,45.5770893066206,65.9710389454727,71.2009840743094,73.5340367620148,69.8205237177212,0
"KH.domain..PF00013.",0,0,43.1343336631072,0,36.7955272688493,58.2315119324523,27.3061478963376,45.8723407986814,55.0076683169434,10.5177898399894,56.6862260568506,47.2627221872571,44.9855283720561,43.6378273235758,19.2544152262248
"Kunitz.Bovine.pancreatic.trypsin.inhibitor.domain..PF00014.",0,0,0,0,0,0,0,0,0.348149799474325,0,0,0,0,0,0
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.",0,0,90.1899703864968,116.505557604377,82.3518943636151,58.2315119324523,98.8222495296029,0,228.386268455157,282.227360706382,260.952109606536,152.222793538179,125.440415652849,230.795620066912,0
"Ribulose.bisphosphate.carboxylase.large.chain..catalytic.domain..PF00016.",0,0,5.8819545904237,2.19821806800711,1.7521679651833,1.57382464682304,3.90087827090538,2.08510639994006,0.348149799474325,0,1.46602308767717,3.06900793423747,0.865106314847233,4.36378273235758,0
"SH2.domain..PF00017.",0,0,0,0,0,0,0,4.17021279988013,0,1.75296497333156,0,0,0,0,0
"SH3.domain..PF00018.",0,0,10.7835834157768,8.79287227202846,0,0,13.0029275696846,29.1914895991609,4.52594739316623,1.75296497333156,6.84144107582679,2.45520634738998,0.865106314847233,0.484864748039731,0
