"rows.list[[i]]","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"total",0,689.699257578462,107944.171861936,26684.9660785929,66546.0524839842,68909.6721671869,75146.0907106934,53914.5786043109,127510.079715521,69218.1519980952,116697.925637888,104692.265352249,82145.5662944203,114823.829286549,21458.6199157976
"Abiotrophia",0,0,0,0,1.80890650440318,0,0,0,1.5064753199641,0,0.664790138132334,2.70245072186188,0.763434630989036,0,2.47961866371593
"Acanthamoeba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acaryochloris",0,0,0,0,0,0,0,0,0,0,0,0,1.52686926197807,0.581760571539921,0
"Acetobacter",0,2.22483631476923,2.06619397549789,0,0,1.45323868925697,2.43518287378497,0,0.502158439988034,2.37438776063718,0.664790138132334,0.675612680465471,4.58060778593422,4.07232400077945,0
"X.Acetobacteraceae.",0,0,72.3167891424262,0,0,5.81295475702787,36.5277431067745,1.20302076500158,4.01726751990427,0,2.65916055252934,20.9439930944296,42.752339335386,23.8521834331367,0
"Acetohalobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetonema",0,0,0,0,0,0,0,0,0,0,0.664790138132334,0,0.763434630989036,0,0
"X.Acetothermia.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",0,0,0,0,1.80890650440318,0,0,0,0,0,0,0,0,0,0
"Achromobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X.Acidaminococcaceae.",0,0,1.03309698774895,0,0,1.45323868925697,0,0,0,0,0,0,0,0,0
"Acidaminococcus",0,0,0,0,0,0,0,0,0.502158439988034,0,0.664790138132334,0.675612680465471,0,0,0
"Acidianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.581760571539921,0
"Acidilobus",0,0,0,0,0,0,0,0,0,0,0,0.675612680465471,0,0.581760571539921,0
"X.Acidimicrobiaceae.",0,0,0,0,0,0,0,0,0,0,0,0,0.763434630989036,0,0
"Acidimicrobium",0,0,0,0,0,0,0,0,0,0,0,0.675612680465471,0.763434630989036,1.74528171461976,0
"Acidiphilium",0,0,2.06619397549789,0,0,0,0,0,0,0,1.32958027626467,0,0,2.32704228615968,0
"Acidithiobacillus",0,0,0,0.98453977562695,0,0,0,0,2.00863375995214,0,0,1.35122536093094,0,0.581760571539921,0
"X.Acidobacteria.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X.Acidobacteriaceae.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
