"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"phosphopantetheine.binding..GO.0031177.",8.75898164404991,10.2888714554434,19.4837071732695,15.6882194467161,1.07023931863726e-09,1.38060872104206e-07
"urocanate.hydratase.activity..GO.0016153.",8.53511425422852,9.51065163436704,18.6059427861324,11.4342043830536,3.47291163198913e-08,2.24002800263299e-06
"X3.oxoacyl..acyl.carrier.protein..reductase..NADPH..activity..GO.0004316.",8.34614841134908,10.2507149749114,15.7659959650685,8.54940009462577,1.96898618595147e-07,8.46664059959134e-06
"queuine.tRNA.ribosyltransferase.activity..GO.0008479.",6.80194474874826,11.5004434895748,12.8783105083055,9.0373040558161,9.87856849384497e-07,3.185838339265e-05
"phosphorus.oxygen.lyase.activity..GO.0016849.",217.344442678394,56.8088231991821,282.560598002459,84.8486302817549,1.43731726164326e-06,3.70827853503961e-05
"glucose.6.phosphate.dehydrogenase.activity..GO.0004345.",6.99104761475871,6.37023095181192,12.3401361580322,8.40511065028449,7.49547458648649e-06,0.000161152703609459
"X.alpha.alpha.trehalose.phosphate.synthase..UDP.forming..activity..GO.0003825..",6.01038432896144,10.2565041442598,8.68458173131236,6.62581573833134,6.7655352418591e-05,0.00113170747413955
"GMP.synthase..glutamine.hydrolyzing..activity..GO.0003922.",8.06387490764714,13.8132239237142,9.01521144405394,8.34574648591301,7.01834092489641e-05,0.00113170747413955
"X2.methylisocitrate.dehydratase.activity..GO.0047456.",4.35957503675422,6.29926908248118,8.31379510548959,7.8112042685775,0.000125738068120809,0.00180224564306494
"UDP.N.acetylglucosamine.2.epimerase.activity..GO.0008761.",6.23380176291738,10.6434702218701,6.9702951819334,5.07180094208169,0.000142385243895521,0.00183676964625223
"phosphogluconate.dehydratase.activity..GO.0004456.",4.55656328859189,4.12721933188322,9.57098054893896,4.97732736751459,0.000356981824403026,0.00410996336965582
"X.GDP.mannose.4.6.dehydratase.activity..GO.0008446..",3.03040585696318,3.21323698060903,6.58417030503884,5.72892405922264,0.000382322173921472,0.00410996336965582
"NAD..synthase.activity..GO.0008795.",4.37284426252306,4.88667236522061,6.21059275998778,3.17441156410332,0.00113291477698651,0.0112420004793276
"O.phospho.L.serine.2.oxoglutarate.aminotransferase.activity..GO.0004648.",6.50431153340774,3.51555631517683,10.8305997750154,5.79160342320466,0.00148268616442892,0.0136618939436665
"tRNA.dimethylallyltransferase.activity..GO.0052381.",2.2075098373995,1.76538083961096,5.28120926270839,4.53927878995523,0.0025179286719457,0.021654186578733
"cobalt.ion.transmembrane.transporter.activity..GO.0015087.",3.80777510151888,5.17282736287928,4.37130213891481,4.85613551311778,0.00448055712074283,0.036124491785989
"deoxyribose.phosphate.aldolase.activity..GO.0004139.",1.05626962742495,1.67632695942169,4.83538814759022,3.16325083423441,0.00534388921807493,0.0405506887724509
