"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"signal.transducer.activity..GO.0004871.",169.250442490854,198.288512010957,328.255924756453,146.554752781902,1.36035650236957e-106,6.10800069563938e-104
"RNA.binding..GO.0003723.",305.129320755914,343.369488807996,427.478698530576,284.372293355189,1.0842460224641e-66,2.4341323204319e-64
"molybdenum.ion.binding..GO.0030151.",107.192164540191,96.101781686847,177.337450427971,63.9798896116093,7.60839286129882e-35,1.13872279824106e-32
"protein.serine.threonine.kinase.activity..GO.0004674.",61.3611216950085,71.2580916779729,91.7685161042428,41.2903326030097,7.58855112315348e-26,8.51814863573978e-24
"X.hydrolase.activity..acting.on.acid.anhydrides..catalyzing.transmembrane.movement.of.substances..GO.0016820..",28.0260571665365,26.5827887489333,56.7323114979291,27.0260842100981,5.15251659945261e-15,4.62695990630844e-13
"phosphopantetheine.binding..GO.0031177.",13.7223922203388,16.655939904173,30.5270424220627,24.7156668895706,1.06240961564822e-13,7.95036529043415e-12
"acetate.CoA.ligase.activity..GO.0003987.",21.5399044739543,19.4678006176072,41.9198010466722,19.5248374162242,2.74368725718813e-11,1.75987939782496e-09
"X3.oxoacyl..acyl.carrier.protein..reductase..NADPH..activity..GO.0004316.",12.7295763795707,16.5988517212793,24.8744406252908,13.3935797666219,4.12231811345943e-11,2.3136510411791e-09
"serine.type.D.Ala.D.Ala.carboxypeptidase.activity..GO.0009002.",22.6942344845734,25.47901340807,30.7977255130788,15.2848950871861,2.66758623682613e-10,1.33082913370548e-08
"argininosuccinate.lyase.activity..GO.0004056.",16.825854215172,17.4718794978158,33.7314055095261,12.1433777552988,7.23206962724685e-10,3.24719926263384e-08
"X.fructose.1.6.bisphosphate.1.phosphatase.activity..GO.0042132..",12.4795474345126,16.1748953199735,20.2251000581675,11.6563136879106,8.89749912279629e-10,3.63179736921412e-08
"queuine.tRNA.ribosyltransferase.activity..GO.0008479.",10.5012156924408,18.1886391205471,20.281905269921,14.0966300902198,1.38781809296785e-09,5.19275269785471e-08
"sequence.specific.DNA.binding.RNA.polymerase.II.transcription.factor.activity..GO.0000981.",39.3658744693588,37.9667851231827,32.6015716578819,38.9531317338767,8.91589823858353e-09,3.07941408394154e-07
