"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"pyruvate.metabolic.process..GO.0006090.",15.9177678618421,16.8509946208754,29.1247865149637,16.5115746923732,8.9356828781465e-12,8.75696922058357e-10
"intracellular.signal.transduction..GO.0035556.",216.509502657038,66.8982620888751,264.325599097886,84.6514054030471,4.63928745719382e-10,2.27325085402497e-08
"amino.acid.transport..GO.0006865.",40.6878139289699,58.297105187023,43.287023664922,33.9735186237211,1.80105984142597e-09,5.88346214865817e-08
"bacterial.type.flagellum.organization..GO.0044781.",10.9207584977075,12.5902882923566,20.0898981824658,11.9159246231414,2.78167012839888e-09,6.81509181457726e-08
"cilium.or.flagellum.dependent.cell.motility..GO.0001539.",62.7948067677771,37.9016341198274,107.012603440375,74.3007631468276,5.06190902154986e-09,9.92134168223773e-08
"cellular.response.to.stress..GO.0033554.",9.06272702325505,14.0221388897313,10.68744604278,15.0742201060641,3.73332634215781e-07,6.09776635885775e-06
"AMP.salvage..GO.0044209.",6.71411136039383,11.2313681471438,10.8503063104096,8.26123902211074,9.41553408088932e-06,0.00013181747713245
"oxaloacetate.metabolic.process..GO.0006107.",11.8901380411202,6.75880149175138,18.6727118304785,9.34567290489208,1.86875466538186e-05,0.000228922446509277
"UDP.glucose.metabolic.process..GO.0006011.",9.59204085580318,8.00439982051644,23.6472962493121,15.1628568264392,7.68686508078486e-05,0.000837014197685463
"UDP.N.acetylglucosamine.metabolic.process..GO.0006047.",6.38897760584222,10.9111339919324,6.79122282927526,4.83931946830984,0.000152239135530489,0.0014919435281988
"threonylcarbamoyladenosine.biosynthetic.process..GO.0070526.",13.509586973646,6.06203258700421,16.3238932002294,8.58629053246454,0.000219620499557224,0.00195661899605527
"ribonucleoside.monophosphate.biosynthetic.process..GO.0009156.",6.45472123725422,7.40341501414936,8.2519807499403,6.98392486980187,0.000296953540411782,0.00242512058002955
"GDP.mannose.metabolic.process..GO.0019673.",3.09497912834588,3.29570470025895,6.41900960108357,5.5456396649663,0.000415941920529892,0.00313556217014842
"urea.catabolic.process..GO.0043419.",4.0125474412429,5.55185635785684,3.75689847744786,2.16502420481133,0.00194827396136365,0.0136379177295455
"cellular.component.movement..GO.0006928.",2.60445920883519,4.356348041184,4.4565532167198,2.78033440035878,0.00242600715625739,0.0158499134208816
"glucarate.catabolic.process..GO.0019394.",2.12687947643796,2.4990643537006,4.32964095258392,3.78180277886619,0.00357258672648426,0.0218820936997161
"deoxyribose.phosphate.catabolic.process..GO.0046386.",0.90633554243987,1.41577635953293,4.63736717458136,2.98749987114171,0.00688832549584393,0.0382590597818012
"ADP.L.glycero.beta.D.manno.heptose.biosynthetic.process..GO.0097171.",1.70165091411058,1.79087339427272,3.82090554612492,3.28186893546439,0.00702717424563696,0.0382590597818012
"protein.secretion.by.the.type.II.secretion.system..GO.0015628.",30.405655815679,10.8493925145512,28.1875029756067,9.45322807442084,0.00874445837397323,0.0428478460324688
"hypoxanthine.salvage..GO.0043103.",2.28382843616282,2.76419595678101,2.97396186096255,2.54885106950749,0.00863177620744147,0.0428478460324688
