"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"chorismate.biosynthetic.process..GO.0009423.",63.2365093175505,59.0949233993912,93.3064197843829,26.3704169595316,9.32543709582913e-19,4.43890805761467e-16
"pyruvate.metabolic.process..GO.0006090.",24.2732977213678,27.1480815509375,45.3980504092506,25.7093957871675,7.13431898827957e-18,1.37919006654484e-15
"fatty.acid.biosynthetic.process..GO.0006633.",126.076008532929,115.414321527239,144.496845453947,69.8658790041581,1.15898324919735e-17,1.37919006654484e-15
"aromatic.amino.acid.family.biosynthetic.process..GO.0009073.",69.5370282652542,63.0977062563128,93.1089570571811,31.598416911538,1.07185208235659e-17,1.37919006654484e-15
"regulation.of.nitrogen.utilization..GO.0006808.",26.0609194011932,24.3637590063978,47.8077782609141,30.0555057827376,3.85298858928998e-15,3.66804513700406e-13
"aerobic.respiration..GO.0009060.",84.1989683564417,78.1123236749759,119.279508135049,31.0009098848016,1.20185046721412e-14,9.53468037323203e-13
"Gram.negative.bacterium.type.cell.outer.membrane.assembly..GO.0043165.",55.2551527714978,48.9342948189653,104.875425916208,29.7742346912681,6.02140020601729e-14,4.03501966829048e-12
"bacterial.type.flagellum.organization..GO.0044781.",16.6101409796376,20.2350322658237,31.3309285543498,18.5489793865972,6.78154566099241e-14,4.03501966829048e-12
"peptidoglycan.metabolic.process..GO.0000270.",21.548022133315,19.2064571091913,43.7904992148073,27.7001571336684,4.62234888853277e-13,2.2002380709416e-11
"leucyl.tRNA.aminoacylation..GO.0006429.",36.1959753326887,39.7110443047443,67.0103448855797,6.9639870929012,4.5809002558377e-13,2.2002380709416e-11
"acetyl.CoA.biosynthetic.process.from.acetate..GO.0019427.",18.9523933573326,18.8147423398228,38.358648671013,17.1172004517957,2.67603064367163e-11,1.15799144217063e-09
"intracellular.signal.transduction..GO.0035556.",336.878090373651,104.182830177441,411.325860815161,131.761444276051,1.61864805419048e-10,6.42063728162224e-09
"cellular.response.to.stress..GO.0033554.",13.6344476062242,21.7912786505478,16.3248676171284,23.1909836500619,3.52056719082466e-10,1.28906921756349e-08
"malate.metabolic.process..GO.0006108.",38.6789028013411,34.6521793783036,50.4023225795642,15.8113507623585,6.51382090740387e-10,2.21469910851732e-08
"X.de.novo..pyrimidine.nucleobase.biosynthetic.process..GO.0006207.",32.6008278553706,32.8790319814926,46.4641613798969,14.026456797018,1.61348027231069e-09,5.12011073079924e-08
