"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.",99.148924081355,75.4387204647307,162.836107111953,100.384899143025,6.18124370550328e-40,3.27605916391674e-37
"GGDEF.domain..PF00990.",209.506109478157,80.2080110469699,260.509743797494,68.4328513817323,1.68040392073636e-24,4.45307038995135e-22
"PF12729",33.0556873085785,39.5291229744304,52.4539228260949,32.4863713778441,6.00382366583037e-24,1.0606755142967e-21
"EAL.domain..PF00563.",117.468558184221,82.1696210407702,203.894467453967,78.4560417561497,3.25078290140179e-15,4.30728734435738e-13
"Zinc.finger.found.in.FPG.and.IleRS..PF06827.",15.0244348975652,19.5597121846637,25.9907000152592,15.1577351077204,1.9450364260766e-12,2.0617386116412e-10
"Bacterial.extracellular.solute.binding.protein..family.7..PF03480.",15.8383322132603,23.4525295312982,21.0197470363209,15.0917789099027,8.30659006676000e-12,7.33748789230467e-10
"Glycosyltransferase.family.36..PF06165.",10.4218131166891,13.3202607069966,23.9262818937814,20.817057288066,4.22128885905429e-11,3.19611870756967e-09
"Putative.carbohydrate.binding.domain..PF06204.",10.0441552524679,13.7924361948648,23.3204239807489,20.2479045403922,2.80171327636627e-10,1.70744191668653e-08
"Putative.glucoamylase..PF10091.",10.1565432165624,16.0770037464615,23.4073958773458,18.1271831455593,2.89942966984505e-10,1.70744191668653e-08
"SMP.30.Gluconolaconase.LRE.like.region..PF08450.",8.71164005400052,14.6429986966823,21.3212718561373,14.1177333819353,3.41517383126676e-10,1.81004213057138e-08
"Glycosyltransferase.36.associated.family..PF06205.",9.47089989138246,13.9634273317751,23.6488617553783,20.6525591906476,3.86471996948569e-09,1.86209234893401e-07
"Urocanase..PF01175.",9.68200714894675,11.6408212407685,18.9094116255531,11.0412501506181,7.97829658354746e-09,3.52374765773346e-07
"Bacterial.flagellin.N.terminal.helical.region..PF00669.",10.3099403178106,11.9666207590884,18.6409061222028,16.4245251675617,9.58377691358283e-09,3.90723212630684e-07
"Bacterial.flagellin.C.terminal.helical.region..PF00700.",8.74000981861957,11.5582919826054,17.7934895262115,17.044772078437,3.00641890431432e-08,1.13814429949042e-06
"Substrate.binding.domain.of.ABC.type.glycine.betaine.transport.system..PF04069.",9.35588182681425,9.39213516076528,22.5776292785847,17.3355416582248,5.13180001597103e-08,1.8132360056431e-06
"Transglycosylase.SLT.domain..PF01464.",37.2966719743836,16.4467646590304,51.2656911751861,16.4630925017463,1.52354312045402e-07,5.04673658650394e-06
"Aconitate.hydratase.2.N.terminus..PF06434.",7.04106674884451,9.63782984288988,11.3857504410195,9.38205870606446,8.41217187144744e-07,2.47691727325952e-05
"Argininosuccinate.lyase.C.terminal..PF14698.",9.76475866358601,9.91554869316505,15.1587564930034,8.76079949654256,8.17935857129829e-07,2.47691727325952e-05
"Aconitate.B.N.terminal.domain..PF11791.",6.22396755798549,9.27365666587377,11.9219573348825,8.94472136511843,1.02181251438234e-06,2.85031911906654e-05
"Glucose.6.phosphate.dehydrogenase..NAD.binding.domain..PF00479.",7.33615691575695,7.9304487927657,12.6065889078158,8.85844817984416,1.28537479395834e-06,3.4062432039896e-05
"tRNA.synthetases.class.I..E.and.Q...anti.codon.binding.domain..PF03950.",10.9758173836465,8.62651118867811,12.6555380731171,9.81349713698768,1.57456744423745e-06,3.97390831164691e-05
"Glucose.6.phosphate.dehydrogenase..C.terminal.domain..PF02781.",7.80585607892761,7.78866942211512,12.7489290500543,9.00754629147008,2.05807734721064e-06,4.95809542737109e-05
"Sigma.54.interaction.domain..PF00158.",53.8678569769536,34.795009561945,65.5811324267119,23.6592270462704,2.68608483039708e-06,6.18967373961067e-05
"Penicillin.binding.protein.5..C.terminal.domain..PF07943.",8.48686763262174,9.63125212006962,13.6527388942931,6.98862502974932,3.45983771503802e-06,7.64047495404229e-05
"X4Fe.4S.dicluster.domain..PF13247.",5.29485817899724,8.85394379376606,10.9542339550228,6.51599818657988,3.70773122332061e-06,7.86039019343969e-05
"HDOD.domain..PF08668.",5.55449716489043,9.3866445392531,10.4903027754634,7.5753399680646,6.46803119386872e-06,0.000131848328182709
"Domain.of.unknown.function..DUF3458...PF11940.",8.14375249288787,8.0456137231002,24.2492723047605,13.493022355957,1.74775644398267e-05,0.000343078116781783
"DSBA.like.thioredoxin.domain..PF01323.",5.08551106944972,6.43195669649394,8.37654138436282,7.22139123172847,2.66592525100507e-05,0.000504621565368817
"Periplasmic.glucan.biosynthesis.protein..MdoG..PF04349.",3.99752076500969,4.59629479371996,9.29769655894684,8.18496788379765,2.96631462519224e-05,0.000542119569431686
"FAD.binding.domain.in.molybdopterin.dehydrogenase..PF00941.",5.02595279532496,7.20412659594277,8.09818991090892,5.32144189605897,3.95820566316892e-05,0.000699283000493176
"CO.dehydrogenase.flavoprotein.C.terminal.domain..PF03450.",5.0356935232633,7.22094066321202,7.68553904891606,4.75955274692058,5.49066886225615e-05,0.000926350000859029
"Bacterial.type.II.III.secretion.system.short.domain..PF03958.",33.0148236499312,15.3390112921716,30.9099918970952,10.1163137799672,5.59305660896018e-05,0.000926350000859029
"Formamidopyrimidine.DNA.glycosylase.N.terminal.domain..PF01149.",4.56917810162638,5.41934029319468,7.89261308713001,5.80243021684248,7.10359748682428e-05,0.0011073254905932
"Formamidopyrimidine.DNA.glycosylase.H2TH.domain..PF06831.",4.56917810162638,5.41934029319468,7.89261308713001,5.80243021684248,7.10359748682428e-05,0.0011073254905932
"Beta.ketoacyl.synthase..N.terminal.domain..PF00109.",26.381828377116,36.9108558370192,28.390893417546,30.2095842552643,9.84249654037573e-05,0.00149043519039975
"PF09327",6.53207760735632,5.63706235172668,16.6746708525273,7.84584367332576,0.000112625195928292,0.00165809316227763
"UDP.N.acetylglucosamine.2.epimerase..PF02350.",7.32594149765222,12.557189822857,7.15263526318612,5.12598935435955,0.00012785317118613,0.00169652878714673
"PF02754",10.7145883764703,18.17139811792,12.1043413902369,9.30023464132555,0.000128039908463904,0.00169652878714673
"Male.sterility.protein..PF07993.",4.51369217284631,5.21784093937829,8.30418944034303,5.10902377078196,0.000119101158850679,0.00169652878714673
"Threonine.synthase.N.terminus..PF14821.",5.91707165988367,10.0146247342512,7.14416299936482,5.42141248463763,0.000124860478236962,0.00169652878714673
"Phosphoribosyl.synthetase.associated.domain..PF14572.",6.54329069772433,8.67365226746981,9.22938078934918,8.81209315207864,0.000140850299775477,0.00182074777758544
"Beta.ketoacyl.synthase..C.terminal.domain..PF02801.",26.757456626612,36.4358105210466,28.3333983890014,29.0093744674963,0.000149612393416098,0.00185615426498788
"PF11818",4.32371028510525,6.25559852695439,8.00822060816139,7.17910245566163,0.000150593647914111,0.00185615426498788
"PF05936",7.75314537812024,4.32517408817972,10.5732170460995,6.95728742296165,0.000286177892123065,0.00344714279148238
"PF05943",4.52524515605267,7.70627914114717,6.25064827481514,4.596706999443,0.000347656735374528,0.00409462377218889
"ATP.dependent.Clp.protease.adaptor.protein.ClpS..PF02617.",5.13055692415322,8.75469819749589,5.64851951247317,4.30703820989654,0.000439127781304289,0.00488239772232053
"CHASE.domain..PF03924.",5.46438533004854,5.39373620999365,7.33654288430679,4.14206151955963,0.000442179416361104,0.00488239772232053
"UDP.3.O..3.hydroxymyristoyl..glucosamine.N.acyltransferase..LpxD..PF04613.",6.53276570956074,8.56633082098634,7.45749619559124,4.65263029804486,0.000436800404507419,0.00488239772232053
"SPFH.domain...Band.7.family..PF01145.",10.5181366702864,12.1505708657126,14.747609502376,14.7925829053945,0.000517022160623715,0.00559228051286875
"XdhC.Rossmann.domain..PF13478.",3.19029912231909,4.0440317265164,6.80212288802715,4.40131567023845,0.000594133516108538,0.0062978152707505
"Basic.membrane.protein..PF02608.",5.54159022483842,9.46662230126001,5.09351525627662,3.5359768791356,0.000613330352092875,0.00637382522763184
"TolB.amino.terminal.domain..PF04052.",2.88625499307735,3.52397896929417,7.0186919963949,3.9634064385422,0.000644571232550402,0.00656966833176371
"N.terminal.domain.of.ribose.phosphate.pyrophosphokinase..PF13793.",6.86942946486336,8.06440722059959,8.83817499871076,6.96018776000103,0.000740609265659791,0.00740609265659791
"XdhC.and.CoxI.family..PF02625.",3.0997320794198,4.15100193419266,5.51907097653819,5.03742308800066,0.000931770870776529,0.00905494243162838
"PF02667",3.77880689634185,6.41342981249518,4.97258585575783,3.39231760620398,0.000939663837244454,0.00905494243162838
"Sodium.sulfate.symporter.transmembrane.region..PF00939.",4.05861767645946,3.24648150959975,10.73388879554,9.2820772750131,0.0011388629336352,0.0107785241933331
"IPP.transferase..PF01715.",2.57271081963754,2.31417356008886,5.760165688795,5.15779680662479,0.00116275679962437,0.0108115983122968
"PF02465",3.38730090043786,5.73533539271816,4.80359566989119,3.7652137425812,0.00127469722078919,0.0114506699494622
"PF07195",3.38730090043786,5.73533539271816,4.80359566989119,3.7652137425812,0.00127469722078919,0.0114506699494622
"Spermine.spermidine.synthase..PF01564.",2.95602965856441,2.67310297519369,7.37856751350729,4.44150502105189,0.00133652690702341,0.0118059876787068
"PF00872",6.14678854237225,9.14025746888871,6.24614183305984,5.97874350545282,0.00146930985664488,0.0127661348200293
"PF08521",3.222485881642,4.36140093127192,4.58410189951167,4.08707941442129,0.00149529863621525,0.0127823915676465
"NYN.domain..PF01936.",4.18882337775501,4.58537960708271,7.1561771353599,2.92574716579017,0.00152741493264524,0.0128496811793965
"Cytochrome.c.oxidase.subunit.III..PF00510.",12.1209236093849,9.15969517612882,12.4345134970793,6.2131470662692,0.00215843575640044,0.0174356280553401
