"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"Bacterial.regulatory.helix.turn.helix.protein..lysR.family..PF00126.",195.586749358777,204.874963330888,322.231397821834,139.047117514766,1.26622787564895e-91,1.27382524290284e-88
"LysR.substrate.binding.domain..PF03466.",197.070267523715,204.923719667587,325.24760472326,138.797843151807,9.29457092098622e-91,4.67516917325607e-88
"AcrB.AcrD.AcrF.family..PF00873.",168.013069262697,229.225998131963,249.088655715232,78.6568799264665,4.31699224833308e-82,1.44763140060769e-79
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.",140.853752038017,107.672577059124,231.591803142402,142.835186156915,5.40420887036772e-40,1.35915853089748e-37
"GGDEF.domain..PF00990.",297.795743140045,114.310191624914,370.547472154292,97.3412239316842,3.06289215164795e-34,6.16253900911568e-32
"Phosphopantetheine.attachment.site..PF00550.",67.4197527995866,74.6268114854071,87.6397110790221,57.3710101059078,1.11713691726734e-33,1.87306623128491e-31
"PF12729",46.6035123232887,56.6285203164708,74.6634381233751,46.1896606061337,1.50022620948489e-33,2.15603938105971e-31
"Molydopterin.dinucleotide.binding.domain..PF01568.",87.4966920227977,81.5102523935049,125.837920175494,55.476777686448,2.6349516905966e-32,3.31345175092523e-30
"FAD.linked.oxidases..C.terminal.domain..PF02913.",33.8197574551355,45.2833483610885,41.1052997237216,20.2021732416625,1.49770194702651e-18,1.67409795412074e-16
"Pyruvate.phosphate.dikinase..PEP.pyruvate.binding.domain..PF01326.",27.4109827748244,26.9591934348265,48.7704267992424,26.9201024697151,1.0077762643316e-16,1.01382292191759e-14
"Fungal.Zn.2..Cys.6..binuclear.cluster.domain..PF00172.",22.9296477057188,37.9758137083485,26.5305055276248,32.8173590002193,4.1713521318423e-15,3.81489113148487e-13
"NAD.synthase..PF02540.",33.8373463547306,39.4862905617784,48.3705669516632,11.9887549267105,7.97504346705692e-15,6.68574477321605e-13
"Bacterial.extracellular.solute.binding.protein..family.7..PF03480.",22.2681131940889,33.4486255283298,29.886284710599,21.4669272583774,1.18536317699638e-14,8.58788810396818e-13
"Glutathione.S.transferase..N.terminal.domain..PF13417.",35.3384534192638,34.803036492527,50.6059752172907,20.2646902498598,1.19513353335541e-14,8.58788810396818e-13
"EAL.domain..PF00563.",166.745692409723,117.339173388143,290.045443867695,111.532561761025,4.88031409507754e-14,3.273063986432e-12
"Putative.carbohydrate.binding.domain..PF06204.",14.3582314492445,19.8438782096179,33.1697257876952,28.8716365177269,7.3659025030636e-14,4.45304050589328e-12
"TOBE.domain..PF08402.",29.6944984685766,29.3661103349602,47.5984681184982,19.5888799263284,7.52501874753338e-14,4.45304050589328e-12
"Putative.glucoamylase..PF10091.",14.349436999447,23.1231238659232,33.2976211947641,25.7342414945709,1.05172260310456e-13,5.87796077068439e-12
"Glycosyltransferase.36.associated.family..PF06205.",13.5494394706328,20.0647007474252,33.6565797875201,29.4474733898829,3.99436706850007e-12,2.11491224784793e-10
"Urocanase..PF01175.",13.5582339204303,16.9617942962749,26.9584437408683,15.6882484703051,4.24756709216172e-12,2.13652624735735e-10
"Oligonucleotide.oligosaccharide.binding..OB..fold..PF07717.",22.4329595606658,23.6049451408006,36.8876762482607,12.53293428341,1.3386776207423e-10,6.41290326888931e-09
"DegT.DnrJ.EryC1.StrS.aminotransferase.family..PF01041.",24.7208724793168,24.9390272470844,37.4073427526784,11.9292042867746,2.44876150375992e-10,1.11975185126476e-08
"Citrate.synthase..PF00285.",26.4593305541295,28.7860063752579,33.8560564475089,17.1288708925556,2.6877049238041e-10,1.12659631389455e-08
"Transglycosylase.SLT.domain..PF01464.",52.8014053401507,23.8018889539756,72.9657070198352,23.4314764070435,2.60985453639738e-10,1.12659631389455e-08
"Bacterial.flagellin.C.terminal.helical.region..PF00700.",12.4813103572476,16.6386720302904,25.4215702236336,24.3785490996991,2.43422147924569e-09,9.79530723248467e-08
