"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"Acidovorax",2364.1646686005,2054.22293826944,1608.03702263047,1759.96465544857,0,0
"X.Bacteria.",1563.65967537222,1866.66971833375,1759.88937142877,1026.8426667131,0,0
"X.Burkholderiales.",1069.50190435051,1268.53886100197,612.345354568579,550.935320390653,0,0
"X.Comamonadaceae.",3013.18916507877,2886.49663719508,2409.45746085119,2660.73021057061,0,0
"X.Enterobacteriaceae.",3454.73300597564,3075.6176463855,8807.21636872729,8339.50668546032,0,0
"X.Flavobacteriaceae.",1325.89916567972,1773.01530633014,468.147977221367,303.986677837995,0,0
"Pantoea",623.391317292295,553.044454614024,1536.75385426241,1322.78317020298,0,0
"Pseudomonas",1453.26053684601,1432.87030730427,3678.52118350608,1991.41702211366,0,0
"Unknown",24045.4833797237,23888.6384394348,29410.6180353534,12586.5311431234,0,0
"X.Sphingomonadaceae.",486.556468454447,421.414198089097,1064.18436064694,606.755599453964,6.22596346152358e-148,4.61343892498897e-146
"Enterobacter",25.2432667478755,27.4363237599458,584.759025142424,682.598186484852,1.62857281395947e-141,1.0970658683127e-139
"X.Ascomycota.",1023.50217373329,912.639672818961,1055.79461719661,540.183770937349,7.19911531304539e-123,4.44545370580553e-121
"X.Lactobacillales.",307.116562356403,458.006799736222,34.6737547222185,30.8402534175088,2.94430546372765e-93,1.67825411432476e-91
"X.Actinomycetales.",693.974800499303,740.561773700206,807.018650679959,746.40381012406,4.00035518427101e-92,2.11733085110344e-90
"X.Pseudomonadaceae.",91.9659213641352,81.2347891718775,300.462028145791,220.654479592752,1.40686056426728e-79,6.94989118748038e-78
"X.Proteobacteria.",1544.54039026965,1450.6671173833,2049.82450500396,1110.02577621716,9.08346582031508e-54,4.20678010803342e-52
"Paenibacillus",78.0455410739289,107.666478549904,273.447374429378,280.248440552253,1.11586462279325e-48,4.86385697346938e-47
"X.Alphaproteobacteria.",291.641762864187,278.116204426095,549.597930685051,141.747070422082,4.35185054573398e-46,1.79151180799382e-44
"Providencia",49.8310789956569,69.7447343837492,82.51800829256,127.647506980223,1.32693276724492e-39,5.1750377922552e-38
"X.Rhizobiales.",43.903927291789,76.0438327211884,38.5437614810974,46.341903056023,4.62284227567195e-25,1.71276306313646e-23
"X.Flavobacteriales.",95.8468395161577,110.013778100918,45.7069804413829,42.2088044687582,3.08788542816792e-16,1.08958242965354e-14
"X.Bacillales.",81.0370550135586,76.9019664459527,161.616034599093,157.858509286359,2.3364716819551e-14,7.61471602121221e-13
"Delftia",42.7679647608979,37.3781352694018,38.5556559294857,50.7017033733906,2.36354208485669e-14,7.61471602121221e-13
"Arthrobacter",106.181950996374,105.770975753225,258.439466582083,200.987573720962,2.76973875678946e-12,8.55156841158747e-11
"X.Actinobacteria.",47.4763120874411,74.2507176339991,76.6077982506125,66.7229787673092,3.22264018620496e-12,9.5519055119115e-11
"Spirosoma",53.8228092392233,61.5997644275256,36.3928893588997,32.6131633758649,6.35420988641942e-10,1.81094981762953e-08
"X.Geodermatophilaceae.",13.8955190755157,24.0677450363357,17.5851027191641,20.3797252707529,7.26920164115423e-10,1.99499200596122e-08
"X.Clostridiales.",56.9170409466652,49.5104184059753,74.0073672446125,85.8413700005152,9.18099940756813e-10,2.42968591464571e-08
"X.Dothideomycetes.",98.0834523757526,82.3860736769317,101.243338444307,25.5323411257496,1.90895167072319e-09,4.87770064829616e-08
"X.Oxalobacteraceae.",44.3276197424551,64.2116649130559,118.937314996534,103.290282520095,1.20005621363171e-07,2.96413884767033e-06
"Sphingobium",12.1216230233222,20.9952669465907,9.07368102981283,10.6531253581181,1.49527128692489e-07,3.5741807213269e-06
"Prevotella",13.5899789522923,17.444089885963,7.87163076646122,13.6340644259332,1.84097448476556e-07,4.26300654128525e-06
"Setosphaeria",32.0974666494558,28.6275001896236,32.2831873681883,23.6649278290553,4.35459529144001e-07,9.77804579077893e-06
"Flavobacterium",9.75642828706422,16.8986294935974,9.63594037027435,11.5854757640057,6.09552748350777e-07,1.32846643096449e-05
"Sphingobacterium",31.0652710994462,32.7028977185789,9.39553031760402,12.1027567350327,1.53234520120083e-06,3.24419369739947e-05
"Clostridium",11.8850498450113,12.2073865528766,11.9134266947248,18.4562737214611,1.91813972026567e-06,3.9481709242135e-05
"Psychrobacter",45.9977968538543,39.970855003985,38.9929709084527,25.6374021001078,3.97248749729036e-06,7.95571144727609e-05
"Bartonella",15.6199612217535,19.5518983517429,21.1156913113733,19.8628083898942,5.5115208256363e-06,0.000107474656099908
"Skermanella",19.0496009986978,21.352296629336,30.8770224366289,6.3618680427637,9.54074609636636e-06,0.000181274175830961
"X.Mycosphaerellaceae.",8.38163199427171,10.042812726555,7.60277175118651,11.020314417524,3.85736628338717e-05,0.000714577103997474
"X.Myoviridae.",27.4953888089992,47.6234103910473,36.7353535077619,59.1223234326437,4.1211538067609e-05,0.000744823163612152
"X.Basidiomycota.",4.58256480149986,7.93723506517454,9.26110080996667,10.9631068792572,7.53285452467356e-05,0.00132901076256741
"Salmonella",4.83383988988472,4.48829164368634,7.68511609360547,7.11973551929133,0.000193528985151345,0.00333499948830574
"Ustilago",4.65153174641235,5.15875388225235,8.96860559207795,5.10307479277666,0.000242048847042989,0.00407632262861034
"X.Fungi.",41.868596846594,36.550540370313,36.8018957491003,20.7337853353505,0.000644862062187983,0.0106187286240288
"Janthinobacterium",18.8574020740343,18.0277256700606,20.2264515831568,3.3901060761056,0.000684595182103463,0.0110279354334493
"Stenotrophomonas",5.74538060724657,8.10715856862419,12.744545050461,22.0741995467489,0.00104228051689767,0.0164325502770463
"Herbaspirillum",2.84315222176261,3.4296104847718,7.34460253317738,4.19598778057321,0.0015528763218183,0.02397252821807
"Geodermatophilus",6.24311965513347,9.23539728007741,12.1262928920888,6.57301787728693,0.00177741846810601,0.0268789200993174
"X.Metazoa.",3.17328503625111,2.92622625110784,59.991526687892,96.2226704520759,0.00201442909539882,0.0298538391938106
"Fibrella",6.6521101957256,11.5217928365437,6.98361448551623,6.05154625645977,0.00243130240558077,0.0353253937752029
"Elizabethkingia",24.4131609037206,22.8300961354137,5.72857394964812,7.80536178706275,0.00251119500113581,0.0357845287661853
"Nocardioides",6.50428552470948,11.2657529957316,18.624274512274,16.5151745693339,0.00272935717397891,0.0381595031305353
"X.Enterococcaceae.",287.795831786218,474.258222355029,4.78756739618665,6.02395024618973,0.00313909759047956,0.0430753947138028
"Dolosigranulum",3.17328503625111,2.92622625110784,4.62362464866008,4.11216335858713,0.00331367567631456,0.0446442486572562
