"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"X.Enterobacteriaceae.",3103.96747957128,4872.18502317006,400.119232892337,355.903495727179,0,0
"Unknown",24781.1679018722,21534.538499291,29341.024467903,19423.0985746521,6.14193759885867e-252,2.24487819238284e-249
"X.Comamonadaceae.",1453.52815457228,1481.76722089341,2599.31003131212,2314.50589212783,1.91180172478436e-207,4.6584235360579e-205
"Acidovorax",864.15262744512,1007.38532745297,1734.17964255556,1544.0828079501,1.49801378081228e-184,2.73762018443444e-182
"X.Burkholderiales.",385.992400512261,667.612936490247,1032.92369838722,919.511699424676,1.33566866092395e-179,1.95274758227081e-177
"Arthrobacter",172.349717355848,149.83025703352,571.415838306515,557.162837362885,4.23016542576425e-126,5.15375154372278e-124
"X.Proteobacteria.",813.251546469989,780.246852108119,1409.79526723677,1255.10040044482,7.77335210902847e-104,8.11760055957116e-102
"X.Rhizobiaceae.",87.925382134007,77.575026402408,341.286095499245,268.951020337118,6.92808673091748e-86,6.33053925037585e-84
"X.Betaproteobacteria.",102.356189562067,176.371698250799,324.866259009866,288.931174126547,1.07013967295453e-69,8.69191223255289e-68
"X.Alphaproteobacteria.",665.060902989405,586.229349252704,1044.52618201484,568.950324793615,5.83055122737255e-56,4.26213294720933e-54
"Agrobacterium",24.0835773063889,20.0591397606894,83.414465615323,67.7218974146048,1.38237424562822e-20,9.18650521412938e-19
"X.Micrococcaceae.",53.6955111911659,45.667439133439,118.430555877157,81.4144472880917,8.29289433509949e-17,5.05175479913144e-15
"X.Sphingomonadales.",122.546647628777,111.125474618435,209.219178687752,100.849552995329,3.82727394599565e-16,2.15210558040217e-14
"X.Sphingobacteriales.",57.3184433858605,49.500673788882,116.295330389964,103.187879345293,3.1227871249991e-14,1.63054099169596e-12
"Rhizobium",19.5238712541768,16.4088561984997,59.6014669284188,52.7060437898656,1.2355841580968e-13,6.02141346379173e-12
"Corynebacterium",196.394150532071,170.055999819853,288.681530244539,41.7885348953434,5.47302304288133e-13,2.50048740271641e-11
"Skermanella",43.5894376281837,39.9271480061874,88.9212203207364,12.676733053205,2.41979303526046e-11,1.040511005162e-09
"X.Insecta.",30.5626036417924,52.9359823191741,4.28296298835442,0.347463158732307,4.19793333793682e-11,1.7048273722399e-09
"X.Rhizobiales.",188.345799229717,162.202648470891,249.308475748247,221.595882820802,4.88764220603292e-07,1.88045602768951e-05
"Rhodococcus",18.6591772753716,15.9830777417377,4.5776624847368,3.88880747984227,3.06992080637694e-06,0.000112205605473077
"X.Oxalobacteraceae.",14.2573846848671,11.62019260759,31.7816299563034,27.9446623422781,1.32604616103757e-05,0.000461590354151648
"Sphingobium",20.4552523488888,17.638235266764,39.8080291191072,35.0867489173701,2.24406875769729e-05,0.000745642846307599
"Novosphingobium",23.1836160585128,19.8019860336163,43.173852896463,15.7733742411532,2.88194347663656e-05,0.000915956818009271
"Pseudomonas",492.90625336524,158.259685389868,1037.5481949243,252.3111537799,4.45893608473203e-05,0.00135811761580796
"X.Candidatus_Saccharibacteria.",6.46655541400653,6.96646781214855,57.0218579086145,32.3615710880727,8.0077364453249e-05,0.002341462136613
"Influenzavirus_B",10.9238666722692,8.77703800320555,1.63150558103937,0.543164386390361,8.71537792675452e-05,0.00245036202479137
"Niastella",24.438514930422,21.3002395907091,43.0181436237309,37.9437749128921,0.000110465999659032,0.00299076465743526
"Dyadobacter",4.07483742958513,3.05462441448444,13.9552429800429,12.055188331741,0.000152747215443219,0.00398779337460689
"Puccinia",3.85550199792695,4.12694685215592,13.3594022015928,2.40783672992497,0.000196908893903717,0.00496346211874542
"X.Eukaryota.",10.5919323899402,9.05559520225233,22.6816314618776,19.8517790337044,0.000394352372113961,0.00960905280051019
"X.Cyanobacteria.",45.6232543045053,38.6428891677689,66.4332490628422,20.4238019324318,0.00071204267237907,0.0167904255970677
"Magnetospirillum",0.83885983533854,0.573580609198436,7.77999982442894,2.59487118221634,0.000788193958156026,0.0180053057316267
"X.Sphingobacteriaceae.",49.7598444377472,68.3658248443191,70.8340713934055,62.7068248822995,0.00094485713212285,0.0209300170782365
"Pontibacter",16.2946489193411,3.29310691382308,29.3242023299173,3.85882868296623,0.000988788004736843,0.0212589421018421
"X.Firmicutes.",101.651122779881,87.6373400766512,129.473815877215,84.4433095077272,0.00156734748444851,0.0327351717466245
"Sphingomonas",912.061556475304,279.099770310188,1833.96964646974,619.17559899245,0.00203756127867254,0.0413738137419342
"Eubacterium",0.892062174540883,1.01515829760021,6.4816031442861,2.24573904357011,0.00235257457670134,0.0464792436640184
"X.Deinococci.",1.40559269094287,1.18187405519342,7.06755457741714,0.194917871438047,0.00245444506522942,0.0472157721758608
