"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"tRNA.guanine.family.transglycosylase..TIGR00449.",8.55580857372015,13.2919058946003,14.734991960569,10.4560137513159,4.08173626235723e-08,7.63284681060802e-06
"tRNA.guanine.transglycosylase..TIGR00430.",8.20789179662489,12.6900041345957,12.1575922466805,8.54278753038949,2.37218467077663e-07,2.21799266717615e-05
"X3.deoxy.7.phosphoheptulonate.synthase..TIGR00034.",7.90258712461145,11.2305299224343,12.2730558772016,10.5853026535084,6.25259453773034e-07,2.61229129975859e-05
"glutamine..tRNA.ligase..TIGR00440.",10.2686474181982,7.82607173865201,13.8888879151043,10.7799115187319,6.98473609561121e-07,2.61229129975859e-05
"cytochrome.c.oxidase..cbb3.type..subunit.I..TIGR00780.",9.2746171999457,14.5356424311757,11.4020708700276,8.00268680651874,4.28823943774525e-07,2.61229129975859e-05
"sugar..Glycoside.Pentoside.Hexuronide..transporter..TIGR00792.",4.16088089660921,3.92535175393478,11.2628981819184,9.69445959270881,2.22121365535208e-05,0.000692278255918066
"aminopeptidase.N..TIGR02414.",8.42620801623761,8.45476319837413,25.495953605693,13.9011924454693,2.94126544183908e-05,0.000785738053748441
"ubiquinol.oxidase..subunit.II..TIGR01433.",6.35689981283707,4.62764691772034,10.0233624304648,7.94450143692525,4.65959138328785e-05,0.00108917948584353
"ATP.dependent.DNA.helicase.Rep..TIGR01074.",3.20031292864194,4.30864813392027,10.9277227080708,9.44990220850845,7.42097614569181e-05,0.00154191393249374
"GDP.mannose.4.6.dehydratase..TIGR01472.",3.58854135746804,4.413005318654,7.68818502962364,6.62605069140749,0.000127936304834692,0.00239240890040875
"Tol.Pal.system.beta.propeller.repeat.protein.TolB..TIGR02800.",2.74971010021441,3.28144677325573,8.86094433617243,5.37405502949889,0.000154669366822333,0.00262937923597966
"transcription.termination.factor.NusA..C.terminal.duplication..TIGR01954.",3.7703745412774,6.40309810547629,8.1394512295074,6.08025003976218,0.00018988822542903,0.00295909151293572
"lipoprotein.releasing.system..transmembrane.protein..LolC.E.family..TIGR02212.",5.81793711903982,8.8185424442532,5.71164272026323,5.05777661361963,0.000230643635956652,0.00331771999414568
"formate.dehydrogenase.N.alpha.subunit..TIGR01553.",1.79615999492758,2.9837538198683,10.6776388226028,8.30845708465004,0.000304503127324103,0.00406729177211481
"TDP.4.keto.6.deoxy.D.glucose.transaminase..TIGR02379.",5.59286295755321,9.5597130899691,5.45996916145005,3.79587656549592,0.000430949505905288,0.00537250384028592
"flagellar.motor.stator.protein.MotA..TIGR03818.",2.61781408455795,4.40684262938543,7.07931887431714,5.00077946689792,0.000538144766610003,0.0062895669597544
"dihydroorotate.dehydrogenase..fumarate...TIGR01036.",3.17775222279747,4.01159769693449,6.78970394607082,3.56617798596678,0.000692433918782274,0.00708988336271044
"flagellar.hook.associated.protein.FlgK..TIGR02492.",3.47703765094019,4.78327480643627,5.5662472647621,5.36858959549633,0.000720362480703199,0.00708988336271044
"type.VI.secretion.protein..VC_A0114.family..TIGR03353.",7.07465647086163,3.53680562695309,10.117240553789,6.32570667231595,0.000687272702117837,0.00708988336271044
"type.VI.secretion.protein..EvpB.VC_A0108.family..TIGR03355.",2.83306176374349,4.7796530903418,6.16262025644993,4.40012850820785,0.000776539906755883,0.00726064812816751
"dTDP.4.dehydrorhamnose.reductase..TIGR01214.",2.14647901741011,2.37309210926075,6.51395676355705,4.4688934011096,0.000925011538986871,0.00823700751383547
"exodeoxyribonuclease.V..gamma.subunit..TIGR01450.",1.07213772559274,1.72984026558696,5.32199679299469,3.67513360511925,0.00374395390334881,0.0318236081784649
"epoxyqueuosine.reductase..TIGR00276.",2.57088963901715,2.1075816579825,6.82122546638305,3.54846281044062,0.00429232382484772,0.0348984589237619
