"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"diguanylate.cyclase..GGDEF..domain..TIGR00254.",282.071357584939,114.119649803355,367.256326013203,87.25977303915,2.67025999876255e-15,1.21763855943572e-12
"acetate..CoA.ligase..TIGR02188.",19.2053617264419,19.5581994970686,37.6364816123012,18.9437550853297,9.8180246388965e-12,2.2385096176684e-09
"tRNA.guanine.family.transglycosylase..TIGR00449.",11.8755849510422,18.815384650999,20.7442201342498,14.6440868179955,9.90797045525825e-11,1.50601150919925e-08
"tRNA.guanine.transglycosylase..TIGR00430.",11.3490089580516,17.9047620717978,17.0815519340273,11.9532541417091,1.11163312929916e-09,1.26726176740104e-07
"X3.deoxy.7.phosphoheptulonate.synthase..TIGR00034.",11.1133460703096,15.8194999173483,17.2426365013016,14.9398868722241,3.73719864250325e-09,3.40832516196296e-07
"glutamine..tRNA.ligase..TIGR00440.",14.6308367434632,10.9291608995755,19.4254222678443,15.2621585633337,4.51833896148744e-09,3.43393761073045e-07
"cytochrome.c.oxidase..cbb3.type..subunit.I..TIGR00780.",12.7970929387758,20.4092822800282,16.0215885366587,11.2199546506305,1.16433124119786e-08,7.5847863712318e-07
"methylmalonyl.CoA.mutase.N.terminal.domain..TIGR00641.",12.5061798335272,21.6613388802624,13.4815048587573,14.5227824208765,4.19616656180963e-08,2.39181494023149e-06
"glycogen.starch.alpha.glucan.phosphorylases..TIGR02093.",13.5170446930394,12.3121594291018,33.379401083421,10.9570968842486,1.29697657720962e-07,6.57134799119541e-06
"ubiquinol.oxidase..subunit.II..TIGR01433.",8.98859345858056,6.65359524910105,14.1327660159631,11.3247538929754,1.06137022004895e-06,4.83984820342323e-05
"gamma.glutamyltransferase..TIGR00066.",17.2940367406375,16.0366369025221,16.8611887624282,9.5863464289878,2.75779377544198e-06,0.000114323087418322
"outer.membrane.protein.assembly.complex..YaeT.protein..TIGR03303.",28.4138643564659,22.444461683445,39.4834516723701,7.54171256460284,3.07396038197148e-06,0.000116810494514916
"GDP.mannose.4.6.dehydratase..TIGR01472.",5.48297417788167,6.22053362856284,10.7884487359554,9.34309536938265,3.6665609402958e-06,0.000128611676059606
"ATP.dependent.DNA.helicase.Rep..TIGR01074.",4.63516504742121,6.33061367027823,15.3151048363151,13.281306908628,3.98437156042024e-06,0.000129776673682259
"glutamate..cysteine.ligase..TIGR01434.",13.3723419019612,7.60496487861568,18.7923007948956,12.3555030766534,4.34979611904096e-06,0.000132233802018845
"phosphogluconate.dehydratase..TIGR01196.",7.32329522988088,7.96125471513254,15.4792940773641,7.41996895532089,5.41514474754716e-06,0.000154331625305094
"Tol.Pal.system.beta.propeller.repeat.protein.TolB..TIGR02800.",3.84530105793528,4.98567389546497,12.4604884525327,7.46743291020982,6.0985525677936e-06,0.000163584704171405
"uroporphyrinogen.decarboxylase..TIGR01464.",13.574989834014,8.98372714469539,22.2623360185145,9.65604600266715,1.17927946784461e-05,0.000283027072282706
"transcription.termination.factor.NusA..C.terminal.duplication..TIGR01954.",5.26575992990619,9.12056373905785,11.5300612131092,8.52750665054919,1.1260628248793e-05,0.000283027072282706
"urea.ABC.transporter..urea.binding.protein..TIGR03407.",9.40197409309007,12.8862638133827,9.34727544656648,9.12372415803349,1.27699346182641e-05,0.000291154509296422
"DNA.topoisomerase.III..TIGR01056.",10.4551260790713,14.689861952726,9.91730010085656,9.81384165203776,1.49665356261456e-05,0.000320494607839867
"DNA.ligase.D..polymerase.domain..TIGR02778.",7.24041990362101,12.5407751412045,7.89512320788208,9.12978538301228,1.5462459150169e-05,0.000320494607839867
"urocanate.hydratase..TIGR01228.",11.9584602773021,14.1947205303583,20.723412827363,16.5289214272172,1.80247545072728e-05,0.000357360350231148
"Rhs.element.Vgr.protein..TIGR01646.",72.2630914635966,72.9403416849961,65.2347147818809,55.4096058487871,1.9247455181862e-05,0.000365701648455378
"lipoprotein.releasing.system..transmembrane.protein..LolC.E.family..TIGR02212.",8.05790900186023,12.2182178451478,7.99334880335083,7.1686016722133,2.17600641513508e-05,0.000396903570120638
"flagellar.biosynthetic.protein.FliP..TIGR01103.",6.37416213339401,7.7545633769819,10.2812830534708,9.26941179320841,2.43865563068413e-05,0.000427702679843064
"threonine.ammonia.lyase..biosynthetic..TIGR01124.",9.03466720710039,10.7552023647046,10.9841863863337,4.71700724628127,2.69176719432606e-05,0.000440233080872222
"amino.acid.N.acetyltransferase..TIGR01890.",4.47589594042026,7.75247917819917,10.0222107375808,3.66296624600366,2.70318558430312e-05,0.000440233080872222
"metal.ion.transporter..metal.ion..Mn2..Fe2...transporter..Nramp..family..TIGR01197.",4.79443415442215,5.16771685844623,8.57411456008337,7.5413720173143,3.08317635338591e-05,0.00048480290246344
"TRAP.transporter..DctM.subunit..TIGR00786.",28.1467897379197,33.2302862316085,26.2992912226488,17.8852422209124,3.39359348002813e-05,0.000506212611527575
"formate.dehydrogenase.N.alpha.subunit..TIGR01553.",2.6328799649531,4.56028186952893,15.094741664716,11.6995781210861,3.44135766608659e-05,0.000506212611527575
"phosphoribosylformylglycinamidine.synthase..TIGR01735.",32.5131812401167,15.2085477040015,46.2978041759967,6.6701208948272,4.37498503499929e-05,0.00062229045799557
"flagellar.motor.stator.protein.MotA..TIGR03818.",3.68603195093433,6.3843946173405,9.98731980762376,6.97899251053936,4.50341778812584e-05,0.00062229045799557
"dihydroorotate.dehydrogenase..fumarate...TIGR01036.",4.3718770509259,5.88111420375354,9.57098113879331,4.95184309256256,4.82711327233166e-05,0.000647401074171541
"ATP.dependent.protease.HslVU..ATPase.subunit..TIGR00390.",4.92607815266981,5.37764500537983,10.536537155027,6.23253935099695,5.35621864434751e-05,0.000660117757249315
"TRAP.transporter.solute.receptor..DctP.family..TIGR00787.",20.9616200518053,17.234364763925,22.4164976976802,18.1434804252863,5.26305110138556e-05,0.000660117757249315
"TDP.4.keto.6.deoxy.D.glucose.transaminase..TIGR02379.",7.63535189836398,13.2248174216339,7.77298563175176,5.26560536286604,5.20513654407394e-05,0.000660117757249315
"type.VI.secretion.protein..VC_A0114.family..TIGR03353.",10.1273156942896,5.03638360921906,14.1956249877687,8.99380588298943,5.73582361695452e-05,0.000688298834034543
"D.alanyl.D.alanine.carboxypeptidase.D.alanyl.D.alanine.endopeptidase..TIGR00666.",4.89845304391652,6.78098503328438,11.9181939932381,3.63637363126359,6.30073535332408e-05,0.000736701364388662
"flagellar.hook.associated.protein.FlgK..TIGR02492.",4.89845304391652,6.78098503328438,7.70296592498456,7.51136673063029,6.83137750273768e-05,0.000778777035312095
"dTDP.4.dehydrorhamnose.reductase..TIGR01214.",3.05543706844935,3.657940632767,9.11975154000578,6.25098167883482,7.61036739627158e-05,0.000836606310908287
"type.VI.secretion.protein..EvpB.VC_A0108.family..TIGR03355.",3.94931994742964,6.84042280429339,8.63697353188893,6.09897183526989,7.70558444257633e-05,0.000836606310908287
"flagellar.basal.body.rod.protein.FlgG..TIGR02488.",4.13621416318388,4.14682637202233,10.7920291034362,10.1927735264297,0.000102975044575383,0.00109201442619476
"outer.membrane.insertion.C.terminal.signal..TIGR03304.",51.2775372232958,29.5101290231045,51.8564942744376,31.243958398502,0.000124100849945147,0.0012861360812497
"mannose.1.phosphate.guanylyltransferase.mannose.6.phosphate.isomerase..TIGR01479.",6.34653702464072,9.26792189455999,6.51704673715181,4.82153139978308,0.000131044794845468,0.00132792058776741
"acetyl.CoA.carboxylase..carboxyl.transferase..alpha.subunit..TIGR00513.",5.42502903690713,7.68372991612968,5.83829323180358,8.49507207940188,0.000161947064492343,0.00160538829148931
"sugar..Glycoside.Pentoside.Hexuronide..transporter..TIGR00792.",6.00685524740433,5.92571878047135,15.7978828444319,13.694933579038,0.000169603178439523,0.00164551168868984
"flagellar.biosynthesis.protein.FlhA..TIGR01398.",6.9771319071257,12.0847469542517,10.3090132484663,4.60977689900825,0.000190814761288042,0.00177574553361933
"lytic.murein.transglycosylase.B..TIGR02282.",2.10630397196248,3.64822549562314,8.89580800092589,4.54512497586393,0.000189952676826881,0.00177574553361933
"aspartate.carbamoyltransferase..TIGR00670.",11.2726151773105,14.5111126227402,19.613999183261,15.3478474976444,0.000214905362155307,0.0019599369028564
"GMP.synthase..glutamine.hydrolyzing...C.terminal.domain..TIGR00884.",12.5061798335272,21.6613388802624,10.2669615835476,12.6469175760137,0.000233053433025617,0.00204913631517636
"type.VI.secretion.system.Vgr.family.protein..TIGR03361.",71.4732274741106,71.5738176936025,63.0519290153382,56.1052060786497,0.000233673439449936,0.00204913631517636
"chorismate.mutase..TIGR01807.",2.50123596670544,4.33226777605248,8.22421523053929,4.16265307682022,0.000240207602973899,0.00206669182936033
"glucarate.dehydratase..TIGR03247.",3.45036906319231,4.31865987210956,6.54859514648112,5.92657390769695,0.000304974581092198,0.00257534090700078
"tRNA.dimethylallyltransferase..TIGR00174.",3.74128216844091,3.56909821409433,7.51057079523399,7.23298001469467,0.000388925230039986,0.00322454372542243
"TIGR00725.family.protein..TIGR00725.",4.50352104917355,6.10574290591479,4.91502672734166,5.0703505543869,0.000460220755811325,0.0036817660464906
"glucose.6.phosphate.dehydrogenase..TIGR00871.",10.4063574070835,10.4662025386251,16.2455320757386,12.7902259440951,0.000455077182582455,0.0036817660464906
"epoxyqueuosine.reductase..TIGR00276.",3.60963817019326,3.38533919568839,9.57098113879331,4.95184309256256,0.000518765718346325,0.0040785718545849
"tartrate.dehydrogenase..TIGR02089.",4.13621416318388,4.14682637202233,8.857336703488,9.25809988098101,0.000533346484678078,0.00412213554259667
"X3.oxoacyl..acyl.carrier.protein..reductase..TIGR01830.",4.39950215967919,4.54839288392113,5.48863174911256,5.21956167015443,0.000587256276763839,0.00446314770340518
"exodeoxyribonuclease.V..gamma.subunit..TIGR01450.",1.57972797897186,2.73616912171736,7.58059050200119,5.1955571073523,0.000597089256708067,0.00446348690260457
"deoxyribose.phosphate.aldolase..TIGR00126.",1.57972797897186,2.73616912171736,7.19221987501923,4.87057731039884,0.00069393696786448,0.00502278186263814
"urease..alpha.subunit..TIGR01792.",4.50352104917355,6.10574290591479,4.23985358947424,4.06421808259243,0.000693761838579946,0.00502278186263814
"polyhydroxyalkanoate.depolymerase..intracellular..TIGR01849.",5.26575992990619,9.12056373905785,5.45708333978325,4.40103615092195,0.000717665303366776,0.00511336528648828
"Na..H..antiporter..TIGR00831.",3.29109995619137,5.70035233691116,6.00630068718648,2.11030086963709,0.000854277176197423,0.00599308295916962
"phosphoglycerate.transporter.family.protein..TIGR00881.",4.82205926317544,4.30857468723996,13.3631854969608,11.1957002656957,0.00107629753899909,0.00730456795245054
