"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"sequence.specific.DNA.binding.transcription.factor.activity..GO.0003700.",543.032795757873,339.562580427379,636.680514551779,316.758656575072,5.60254274049371e-55,9.47950231691535e-52
"RNA.binding..GO.0003723.",221.10774705275,156.818660127769,283.572685345348,271.174619398275,1.80800196591117e-33,1.52956966316085e-30
"sugar.proton.symporter.activity..GO.0005351.",76.6527030615828,51.7748067051504,91.3933461689419,57.3902005777628,3.13635359918984e-27,1.76890342994307e-24
"porin.activity..GO.0015288.",26.1655837930202,14.4871387730726,33.6526908391949,31.0650913189206,4.23685780978721e-17,1.79219085353999e-14
"motor.activity..GO.0003774.",40.3715315135837,23.3999912808602,70.6642454358474,44.9338904100143,3.08966548283004e-15,1.04554279938969e-12
"nucleic.acid.binding..GO.0003676.",406.847566066104,264.063195493746,513.081389567731,181.975823817156,3.33474560008541e-14,9.40398259224086e-12
"transporter.activity..GO.0005215.",1064.92433552956,665.719554851343,1321.33984867516,388.940693082092,1.25296680277547e-11,3.02859975756586e-09
"GTP.binding..GO.0005525.",338.527033861266,210.595099927225,405.579823220095,132.775020267485,4.51835677720735e-10,9.55632458379355e-08
"ATP.dependent.helicase.activity..GO.0008026.",164.176636931528,100.805163899169,195.547713773956,42.843088841434,7.51157628174842e-10,1.4121763409687e-07
"GTPase.activity..GO.0003924.",214.963199332981,134.626245084827,252.537030022709,109.618043980682,3.23626885200517e-09,5.47576689759274e-07
"heme.binding..GO.0020037.",240.68279487662,156.270923496543,238.980517969638,80.1413587310709,4.07562047073078e-07,6.26904530588771e-05
"FMN.binding..GO.0010181.",117.880207027282,75.3369925622151,145.315239073978,68.8870625733683,4.45736582513702e-07,6.2848858134432e-05
"helicase.activity..GO.0004386.",153.912129508241,104.231599890455,170.692915950989,39.091170012014,4.93306987733894e-07,6.42058017881346e-05
"protein.serine.threonine.kinase.activity..GO.0004674.",64.2645769728449,49.7619697855892,57.2903142356703,23.9216104875703,7.7659582645092e-07,9.38571527396398e-05
"DNA.directed.DNA.polymerase.activity..GO.0003887.",231.180856786478,138.940588869249,273.147963042147,53.9624428803061,9.81903874979293e-07,0.000110758757097664
"nucleobase.transmembrane.transporter.activity..GO.0015205.",16.8622548622276,10.660477321198,17.006492292093,12.99890600877,1.20367902498385e-06,0.000127289056892042
"kinase.activity..GO.0016301.",194.10118307746,117.433159794164,222.086824726509,41.3491975293825,1.4699606468399e-06,0.000146304318497242
"X.transferase.activity..transferring.acyl.groups.other.than.amino.acyl.groups..GO.0016747..",81.8508942737171,51.8682839310275,102.230045948226,42.9192416638435,4.14967871146944e-06,0.000390069798878127
"transmembrane.transporter.activity..GO.0022857.",51.5903942638228,33.1482582964452,59.9759807016748,21.8298951336711,6.50319580140893e-06,0.000579126699788627
"X.transferase.activity..transferring.pentosyl.groups..GO.0016763..",20.0048089141471,14.2084751609659,27.8301297770912,15.9229984539598,7.9787653906515e-06,0.000642860525761064
"nucleoside.triphosphatase.activity..GO.0017111.",279.293522190459,173.266614378586,297.933779983694,95.7117173297673,7.6910113314612e-06,0.000642860525761064
"X3..5..exonuclease.activity..GO.0008408.",102.037185917104,63.7031913887814,134.554216371569,33.5116324675539,1.4387511196245e-05,0.00110653040654757
"sulfuric.ester.hydrolase.activity..GO.0008484.",48.2033094491687,24.869059704985,47.2937147001944,21.3635131326679,1.5323004853962e-05,0.00112724018316972
"siderophore.transmembrane.transporter.activity..GO.0015343.",110.211799789768,72.2684990575157,112.291683643607,53.5198471782758,1.91959034485765e-05,0.00135331119312464
"peptide.transporter.activity..GO.0015197.",29.3651077280925,20.2053643687635,28.2302227593293,18.7795923641588,4.51029246403e-05,0.00305256593965551
"maltose.transporting.porin.activity..GO.0015481.",2.77459396697312,2.7652989756875,5.76311277609734,7.48248524014216,5.84717961619025e-05,0.00366423255947923
"maltodextrin.transmembrane.transporter.activity..GO.0042958.",2.77459396697312,2.7652989756875,5.76311277609734,7.48248524014216,5.84717961619025e-05,0.00366423255947923
"carbohydrate.binding..GO.0030246.",147.607415691409,98.6160554850664,174.419602545193,67.3164599652978,6.89618430649397e-05,0.00416726565949564
"phosphoglycerate.mutase.activity..GO.0004619.",3.00542140370525,4.71877480334977,2.3120156467546,2.84392103934771,0.000122477728349278,0.00714594194368893
