"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"X.Enterobacteriaceae.",3171.55549130164,2954.36919365531,4688.88256929159,4577.60075608365,0,0
"Pantoea",493.944384432432,457.38734356058,625.11851313091,786.920988248291,0,0
"Erwinia",80.3708459171997,129.768993651235,189.498740438111,291.939296759244,2.84333155821633e-202,9.43986077327821e-200
"X.Firmicutes.",145.141116911076,167.487372104076,107.93896385476,132.061079614401,3.32922563654767e-74,8.2897718350037e-72
"X.Pleosporaceae.",147.661751429549,148.455706623381,142.940356663434,122.831805130519,9.54497858860322e-60,1.90135973484976e-57
"Bacillus",87.0824359585887,147.9914930649,34.3935913308035,56.3958771463998,3.24511321429267e-55,5.38688793572584e-53
"Pseudomonas",2186.73719738194,1962.22719993296,1832.67059487676,2040.72332005984,7.8899785923901e-50,1.12263123971722e-47
"X.Gammaproteobacteria.",1168.98450872266,842.569500809445,1247.56220575578,773.253475826894,3.88530688406394e-49,4.8372070706596e-47
"X.Alphaproteobacteria.",494.475360200321,423.639828054487,535.525086931057,576.267897011859,3.3184895419043e-48,3.67246175970743e-46
"Dietzia",63.404677456947,78.9799083995249,76.2861683029431,60.4736134088828,5.14721492748728e-44,5.12662606777733e-42
"Corynebacterium",183.412767471087,199.232283748557,165.484902410577,151.662808106303,3.74591018787207e-39,3.39175140647326e-37
"Bipolaris",48.4195883274787,48.9510376238761,41.4115847501523,49.4999046854019,3.15413712611848e-31,2.61793381467834e-29
"X.Bacteroidales.",48.7795784010738,56.2593756670217,50.2701794876298,61.6671283099263,3.93417940170255e-31,3.01418668007364e-29
"X.Eukaryota.",70.061427645614,93.6700829195993,38.0375735433744,37.6584629987705,4.5326037335836e-24,3.22462379903519e-22
"Nitrososphaera",110.360678317915,171.931592067991,115.269767267892,189.868938110218,4.33497900816701e-20,2.87842606142289e-18
"Skermanella",31.794768430159,30.8374251085055,39.7728963490635,41.3286968870017,1.14193213052526e-13,7.10852751251976e-12
"Lactococcus",4.11362630510021,5.83089296924719,14.3792160920175,21.1377550033598,6.56369717652363e-10,3.84555434577502e-08
"X.Sphingomonadales.",103.456817146721,76.6876051493222,141.572376585542,124.593319721846,8.55051287262144e-08,4.7312837895172e-06
"Janthinobacterium",8.8330338355873,12.902544264898,9.25957656490744,9.07560744859044,1.47257310785513e-05,0.000771938323907218
"Modestobacter",16.4143867464557,17.4855689891691,4.25834747196667,7.81392018784471,4.05866511853943e-05,0.00202121522903264
"X.Bifidobacteriaceae.",13.5741200315493,24.1804254469564,9.59281212353697,24.449902931267,0.000106366589065253,0.00504481536709484
"Microlunatus",13.4649142817821,16.2469244078849,4.35769512267279,8.8895214161856,0.000161281763617059,0.00730166529829957
"Streptomyces",13.8622483970149,26.2689851338551,4.84746011317412,12.7045821616785,0.000174823322515538,0.00757060996632505
"Lactobacillus",51.3816870062692,63.3657699031388,50.6151348577292,125.487969208902,0.000427243041038463,0.0177305862030962
"Staphylococcus",16.471901670001,20.3400534782895,10.1703810824787,15.525227070921,0.000518076730874268,0.0206401769580308
"Novosphingobium",23.5752210063654,16.0708469630347,30.4817804530694,24.0709946574603,0.000616802719906724,0.0236282888087345
"Flavobacterium",5.17251518810755,10.6937048207645,5.90937169195992,8.94816514645179,0.0012489319676344,0.0460717125838466
