"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"Protein.N.pi..phosphohistidine..sugar.phosphotransferase..2.7.1.69.",68.1789820072923,47.9502144783126,77.0787801645347,67.2216025770756,1.48783871062074e-33,7.6326125854844e-31
"Cu.2...exporting.ATPase..3.6.3.4.",32.0851703064596,16.5388933911938,23.7174100672196,23.5191003908339,4.19182567744475e-10,1.07520328626458e-07
"Transferases....Transferring.phosphorous.containing.groups....Phosphotransferases.with.a.nitrogenous.group.as.acceptor..2.7.3...",57.2407766073063,34.1421032332672,68.5054591920474,48.820517573513,1.16354833532511e-09,1.98966765340594e-07
"Nucleoside.triphosphate.phosphatase..3.6.1.15.",16.7853342406528,20.3996831411441,8.24599330608173,9.66432450471498,2.66690246630756e-09,3.42030241303945e-07
"Oxidoreductases..1.......",95.9176778101095,57.5055259544014,91.2690496228345,46.0221849065134,1.75518416334609e-08,1.50068245966091e-06
"Transferases....Glycosyltransferases....Hexosyltransferases..2.4.1...",25.7280850717477,16.4745502846548,25.6685008917814,25.5844198686822,1.57937305345114e-08,1.50068245966091e-06
"IMP.dehydrogenase..1.1.1.205.",22.6126857970327,15.9588656957025,26.8889453153743,13.02645317987,1.66989762124081e-07,1.07082184962067e-05
"X5.methyltetrahydropteroyltriglutamate..homocysteine.S.methyltransferase..2.1.1.14.",11.8054141622885,12.0815285998565,23.3725881407736,19.8735893820463,1.53668864721472e-07,1.07082184962067e-05
"Adenosylhomocysteinase..3.3.1.1.",22.3781126445863,14.4046546403748,23.6452614246917,18.6197443614628,2.22690923488572e-07,1.26933826388486e-05
"X1.deoxy.D.xylulose.5.phosphate.synthase..2.2.1.7.",20.4288959512148,13.3443099385646,33.952647008639,16.0837261688306,5.67544080544036e-07,2.9115011331909e-05
"Succinate..CoA.ligase..ADP.forming...6.2.1.5.",22.9341410683446,17.1571295915691,31.1885681199892,20.5358317225187,1.0009452435038e-06,4.66804463561317e-05
"Undecaprenyl.diphosphate.phosphatase..3.6.1.27.",12.2288240730663,10.5167460104056,12.8319675392089,9.34864544563948,1.99614204359807e-06,8.53350723638175e-05
"Transferases..2.......",23.5422721061377,15.1999963131971,27.6567685453114,17.3853240389324,7.66088227912521e-06,0.000302310200707018
"Quinoprotein.glucose.dehydrogenase..PQQ..quinone...1.1.5.2.",11.6948272895489,9.08727955509478,16.6147361842015,14.4270596363714,8.30934362290225e-06,0.000304478091324918
"Urease..3.5.1.5.",14.1959798560834,13.284871735112,9.2979290946013,8.74528697707438,9.02138521001921e-06,0.000308531374182657
"Phosphopyruvate.hydratase..4.2.1.11.",15.2094157162678,13.5243209509334,11.4672029292866,13.7924280802134,1.99633000166691e-05,0.000640073306784454
"Non.specific.serine.threonine.protein.kinase..2.7.11.1.",12.0772689679586,11.5929984870813,11.0521877513007,10.5185413371494,2.18433120526534e-05,0.00065915406370654
"Glutamate.dehydrogenase..1.4.1.2.",6.94395260352052,7.58771106006919,3.19516560226963,5.48139534489911,6.57011192583841e-05,0.00187248189886395
"Hydrolases....Acting.on.carbon.nitrogen.bonds..other.than.peptide.bonds....In.linear.amides..3.5.1...",13.3456463294035,10.1870762147755,17.1254238069732,10.2437308187442,0.000123323398126445,0.00332973174941401
"Rhomboid.protease..3.4.21.105.",2.96415055368962,2.07900014890251,2.36653619076443,2.69545343140265,0.000171992661518199,0.0044116117679418
"Cyclopropane.fatty.acyl.phospholipid.synthase..2.1.1.79.",7.29144381989836,6.57569277958693,4.25821479411405,5.36639450784149,0.000198450010814249,0.00474115497496788
"Sulfate.adenylyltransferase..2.7.7.4.",26.36126298805,17.7304500474627,26.4782552354336,23.4215308626576,0.000212566402386474,0.00474115497496788
"Threonine.synthase..4.2.3.1.",16.167916397467,11.6011482607805,14.2719357957504,12.9015385234292,0.000210893523676953,0.00474115497496788
"Pyruvate..water.dikinase..2.7.9.2.",20.4015705592943,13.6819658186008,27.9725460032579,14.8382352127063,0.000267527716235779,0.00571840493453979
"Nicotinamide.nucleotide.adenylyltransferase..2.7.7.1.",1.76880758731177,2.52538087265979,3.07922231171426,4.45329869638495,0.000284170845213819,0.00583118574378757
"X2.dehydropantoate.2.reductase..1.1.1.169.",7.72480447680957,5.96111226987346,6.10733166157909,5.64345580223679,0.000431401738243311,0.00737696972396062
"Alkanesulfonate.monooxygenase..1.14.14.5.",10.9082366686001,7.97996885535584,13.4699253694761,9.15072280848844,0.000419585378964583,0.00737696972396062
"Transferases....Transferring.sulfur.containing.groups....Sulfurtransferases..2.8.1...",12.6538317521181,10.1844847848038,13.4537584506601,11.2367491739437,0.000389879589568396,0.00737696972396062
"X6.phospho.beta.glucosidase..3.2.1.86.",14.0424616862589,12.2161573191358,19.3330373313915,20.0320884499223,0.000406994322888437,0.00737696972396062
"Ligases....Forming.carbon.nitrogen.bonds....Acid..amino.acid.ligases..peptide.synthases...6.3.2...",11.5353509547271,11.2195232655641,12.4903165954513,8.4613646253184,0.000400579395592394,0.00737696972396062
"Transferred.entry..1.5.5.2..1.5.99.8.",17.2246347784853,11.6155065554971,13.0357047561832,10.3264910652547,0.000497346824222526,0.00823028776858567
"Glutamine..fructose.6.phosphate.transaminase..isomerizing...2.6.1.16.",26.9972023783905,20.0733828738894,25.0658341045674,14.877138341527,0.000825833761168899,0.0128379611963529
"Glutamate..cysteine.ligase..6.3.2.2.",18.8716797885634,13.0928878483665,26.5296518546741,13.7108204854037,0.000818854524822028,0.0128379611963529
"Phosphoribulokinase..2.7.1.19.",1.38546983712242,1.38793751636839,3.65116407995569,5.51352856351113,0.00134393217214207,0.0193990034688157
"X.2.3.dihydroxybenzoyl.adenylate.synthase..2.7.7.58.",1.93780009031325,2.61544917455982,6.73404934490451,5.56776717261439,0.001361333576759,0.0193990034688157
"Lysine.decarboxylase..4.1.1.18.",6.1220522443739,5.35661159809227,7.56456969572955,9.0921946138389,0.00131377138814059,0.0193990034688157
"Adenylosuccinate.lyase..4.3.2.2.",12.217242943449,8.73193692885226,14.0127942924874,10.8951428756114,0.00145007368043188,0.0201050756232852
"Phosphatidylglycerol..membrane.oligosaccharide.glycerophosphotransferase..2.7.8.20.",2.62437747151025,2.54817871056401,6.95387025905857,9.48702088775232,0.00172733902794707,0.0233190768772854
"N.acetylglucosamine.6.phosphate.deacetylase..3.5.1.25.",4.38323029929825,2.49066169010574,8.68893566072486,8.58460666812966,0.00242521836418693,0.0319009492519974
"Oxidoreductases....Acting.on.NADH.or.NADPH..1.6.....",3.28241309038684,4.23742121658632,1.20501984321298,1.75392628731621,0.00347079569063591,0.0445129547324055
