"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"phosphoenolpyruvate.dependent.sugar.phosphotransferase.system..GO.0009401.",106.824528622215,80.3437332222727,124.189688345951,90.8425801272353,8.00024090728499e-47,1.05523177567089e-43
"chemotaxis..GO.0006935.",136.491339001146,92.5939001808588,191.299118305094,143.990684839521,3.19790932506618e-38,2.10902119988115e-35
"transcription..DNA.templated..GO.0006351.",876.978454460968,547.222471053571,932.77641762375,467.125041122347,3.2953914999351e-35,1.44887379613813e-32
"cilium.or.flagellum.dependent.cell.motility..GO.0001539.",54.7913840660117,39.5120932345,90.6021745058503,68.4714598909263,3.55041433971338e-30,1.17074912852049e-27
"transmembrane.transport..GO.0055085.",578.448181113241,339.308339206887,614.601964698286,289.084279208015,1.35777308280386e-29,3.58180539243658e-27
"sodium.ion.transport..GO.0006814.",17.8583232192724,20.4447951730177,25.1516170669468,20.518604483698,2.2826420553752e-23,5.01800811839982e-21
"response.to.antibiotic..GO.0046677.",58.1987697281496,39.411450236253,67.2297426424415,42.4468548958888,1.63648005316249e-18,3.08359598588761e-16
"regulation.of.transcription..DNA.templated..GO.0006355.",420.806363307247,260.395914463978,477.720041310653,165.363587453145,7.52767152201289e-15,1.24112484219188e-12
"cell.adhesion..GO.0007155.",41.4745344162207,36.9517686950854,50.0963641331212,32.2071211819461,5.93701295980626e-12,8.7010223266494e-10
"cell.wall.macromolecule.catabolic.process..GO.0016998.",48.8303009982685,30.7519621429447,63.8916693799535,40.5496147333626,1.07404105776614e-10,1.41666015519354e-08
"lipopolysaccharide.biosynthetic.process..GO.0009103.",71.4323385716599,37.0824107037899,110.780127449883,45.2874052818203,2.18482863359384e-09,2.40149080642523e-07
"negative.regulation.of.transcription..DNA.templated..GO.0045892.",27.4669626505998,21.7836220624626,28.7998707680071,13.4684316775845,2.14792083683191e-09,2.40149080642523e-07
"galactose.metabolic.process..GO.0006012.",22.9992038925207,15.976897224342,23.9114611727583,16.8251379551924,7.02342472481915e-09,7.12607477848958e-07
"lipid.A.biosynthetic.process..GO.0009245.",52.5402944271779,27.9972144490188,67.2282006786411,37.7622229973707,5.24046680864704e-08,4.93726837186103e-06
"one.carbon.metabolic.process..GO.0006730.",40.7787088062759,27.3178803094818,39.3965144653101,21.6291560516091,1.36464036039932e-07,1.19997375691114e-05
"X.de.novo..UMP.biosynthetic.process..GO.0044205.",77.0533991079408,52.3987169130439,92.6983423153844,44.7239736150056,1.98751454167248e-07,1.63845730029125e-05
"siderophore.biosynthetic.process..GO.0019290.",16.684060787461,12.4070416154368,16.1880910720179,9.98283412950733,3.93465386813602e-07,3.05282850121847e-05
"cell.redox.homeostasis..GO.0045454.",104.173043167808,66.2718467159298,102.605502083037,55.4649554365471,9.83444036570343e-07,7.20645935686823e-05
"carbohydrate.metabolic.process..GO.0005975.",578.807539349992,380.792270548962,645.558305587782,244.188399414382,1.23856709036095e-06,8.16834996093044e-05
"GMP.biosynthetic.process..GO.0006177.",29.1946749632865,20.3924217227328,33.4010443343877,18.0464817000284,1.22020159132282e-06,8.16834996093044e-05
"response.to.stress..GO.0006950.",122.047023723706,76.0891129176143,129.403501516281,59.0146216528513,1.87947387273518e-06,0.000118048858958938
"arginine.biosynthetic.process..GO.0006526.",109.273981616054,71.1738150586116,135.129866137138,43.6145087512969,4.69457503839322e-06,0.000281461112529121
"tRNA.modification..GO.0006400.",41.0961047766823,25.779841392831,52.7057087970686,20.8934226498288,5.04676805457734e-06,0.000289421176695109
"ATP.hydrolysis.coupled.proton.transport..GO.0015991.",46.5721689693235,29.7667209280389,51.8419978891546,26.4100979534261,6.59547227502066e-06,0.000362476163781344
"terpenoid.biosynthetic.process..GO.0016114.",53.0398397441114,34.2003735885617,70.1274843143569,28.3459134971783,1.00973505998704e-05,0.000532736217649165
"intracellular.protein.transport..GO.0006886.",38.7992351143629,35.8942188475604,35.857983803251,24.3627015929914,2.65083061797642e-05,0.00131383637185164
