"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"phosphoenolpyruvate.dependent.sugar.phosphotransferase.system..GO.0009401.",144.303903834924,108.683275412428,167.781496392259,123.214875342898,5.02174369427316e-63,1.94843655337799e-60
"chemotaxis..GO.0006935.",184.251244666217,125.264409644477,258.118071141392,194.910914292269,1.76036708900293e-51,3.41511215266568e-49
"cilium.or.flagellum.dependent.cell.motility..GO.0001539.",73.872078868346,53.5282892820093,122.185696079439,92.9810761925226,8.42958139392269e-41,1.09022586028067e-38
"transmembrane.transport..GO.0055085.",781.392694678664,458.68157587188,830.158178199402,391.221714659498,1.51018761372327e-39,1.46488198531157e-37
"sodium.ion.transport..GO.0006814.",23.9619011493436,27.6728930604653,33.831803483132,28.0123324091738,1.53900136554764e-31,1.19426505966497e-29
"response.to.antibiotic..GO.0046677.",78.5278454807065,53.4452728161987,90.6514895798252,57.7928470343,6.48548996781595e-25,4.19395017918765e-23
"regulation.of.transcription..DNA.templated..GO.0006355.",568.422063871773,352.031029706303,645.151493297016,223.969094778282,1.19024094640656e-19,6.59733553151065e-18
"cell.adhesion..GO.0007155.",55.867933237761,49.9778091757134,67.4855996088563,43.9905420319667,5.19974196990034e-16,2.52187485540167e-14
"cell.wall.macromolecule.catabolic.process..GO.0016998.",65.7992248337052,41.7386000954284,86.2418391477499,55.2941703244567,2.63693895796077e-14,1.13681368409865e-12
"negative.regulation.of.transcription..DNA.templated..GO.0045892.",37.0372976211003,29.645294607994,38.8140233087829,18.3105777703796,1.63611456826754e-12,6.34812452487807e-11
"lipopolysaccharide.biosynthetic.process..GO.0009103.",96.4046042097783,50.2703021033584,149.782687975311,61.4057156387629,2.51498309004506e-12,8.87103126306802e-11
"lactate.metabolic.process..GO.0006089.",12.3171219642566,10.4296729409235,18.8025338704064,16.7524150194059,3.42089389391303e-12,1.10608902569855e-10
"galactose.metabolic.process..GO.0006012.",30.9617530426782,21.7619667672073,32.068283987128,23.0898599297425,7.43286383770856e-12,2.21842397617763e-10
"mismatch.repair..GO.0006298.",54.1505280656341,32.7177225794332,56.0112195904944,27.4945678211001,4.07990871981845e-11,1.13071755949254e-09
"lipid.A.biosynthetic.process..GO.0009245.",70.8408493593525,38.0354145806615,90.7190755637648,51.5908691816818,1.3853926435122e-10,3.58354897121822e-09
"chromosome.condensation..GO.0030261.",25.9780024186907,21.9193757315224,39.0821106387208,24.9555215378744,5.23021849623496e-10,1.26832798533698e-08
"one.carbon.metabolic.process..GO.0006730.",54.9075089660015,37.0174450893681,53.1897609219294,29.5194074397976,7.65365823884201e-10,1.74683493921806e-08
"positive.regulation.of.transcription..DNA.templated..GO.0045893.",10.5412361952718,8.09186133106727,20.924025780678,19.3303808638955,2.05842932320425e-09,4.43705876335138e-08
"siderophore.biosynthetic.process..GO.0019290.",22.4372072635576,16.8806160802236,21.7259822598681,13.8176611962347,2.21203531945805e-09,4.51720896815645e-08
"cellular.respiration..GO.0045333.",5.23426976819179,5.91465383497736,13.5269304170917,12.7946108528201,3.4073451109144e-09,6.61024951517393e-08
"cell.redox.homeostasis..GO.0045454.",140.614255003717,89.7352339254554,138.353795307919,75.4393922208969,8.90723740917189e-09,1.64571814988509e-07
"response.to.stress..GO.0006950.",164.71172038144,103.007123703681,174.585533351467,80.2586846407696,2.25926958137345e-08,3.98452998896771e-07
"ATP.hydrolysis.coupled.proton.transport..GO.0015991.",62.756583277205,40.3741539879476,69.7047123687056,36.0308239604837,1.86479315257902e-07,3.14582497043766e-06
"bacterial.type.flagellum.assembly..GO.0044780.",25.7603354120657,20.2818823266434,38.6986545095146,25.9760745633728,7.71035946871545e-07,1.246508114109e-05
"dephosphorylation..GO.0016311.",12.9025746631932,12.9016757098701,12.2711208661018,8.90434023226591,1.24982725534147e-06,1.93973190028997e-05
"peptidoglycan.catabolic.process..GO.0009253.",52.9695840069457,32.7801650098135,55.0186945737058,29.2644371677681,1.64925246535115e-06,2.46119214060095e-05
"UDP.N.acetylglucosamine.metabolic.process..GO.0006047.",5.01171707872551,8.793761142639,5.28031957329302,6.41764872429736,2.6313276938776e-06,3.52053498353279e-05
"potassium.ion.transport..GO.0006813.",37.4395488906803,25.7765033076307,38.7609136365288,24.1847457321995,2.50292858180424e-06,3.52053498353279e-05
"histidine.catabolic.process.to.glutamate.and.formate..GO.0019557.",29.9094648320474,23.8335522576495,34.671073085021,21.7934682711636,2.58379297509935e-06,3.52053498353279e-05
"glutamine.catabolic.process..GO.0006543.",14.872665068023,10.5562067858259,23.8240541241455,14.4578215124147,3.2516392116518e-06,4.20545338040299e-05
"histidine.catabolic.process.to.glutamate.and.formamide..GO.0019556.",30.0726844774438,23.9866793564994,34.671073085021,21.7934682711636,3.46779040065383e-06,4.34033121114093e-05
"regulation.of.nitrogen.utilization..GO.0006808.",24.158785161923,16.2265253615769,31.5785410857134,24.9310932605443,6.49688000143279e-06,7.87746700173726e-05
"ubiquinone.biosynthetic.process..GO.0006744.",57.7826080452536,37.2721728236527,49.0164265349468,27.7629407155421,6.78905463285588e-06,7.98228241681237e-05
"glucan.biosynthetic.process..GO.0009250.",13.308618672926,10.1625300538013,13.3480698781798,9.05465874523416,1.11802083240096e-05,0.000127585906756345
"phospholipid.biosynthetic.process..GO.0008654.",49.0622900829827,32.9514465446893,52.8746268744113,26.6704232859123,1.26353271458518e-05,0.000140071626645443
"generation.of.precursor.metabolites.and.energy..GO.0006091.",11.2696806168621,8.86348818610309,9.39265057180163,13.2368308533444,1.92975807049816e-05,0.000207985036487023
"carbamoyl.phosphate.biosynthetic.process..GO.0070409.",13.2734526744506,9.95888294820939,21.1313316402873,12.597728493212,3.68452845238537e-05,0.000386377578250141
"L.phenylalanine.catabolic.process..GO.0006559.",7.77349642942143,8.15969556114237,4.82490228672247,8.19738625595152,4.56141388192516e-05,0.000465744364786043
"protein.insertion.into.membrane..GO.0051205.",58.439992693209,31.6988032211987,88.0585230171106,44.8745265771519,4.88544087036892e-05,0.000486038732744395
"glutathione.biosynthetic.process..GO.0006750.",17.3098740047539,11.7348540548373,26.4731221905611,13.8333167336879,0.000127808988935767,0.00123974719267694
"phenylacetate.catabolic.process..GO.0010124.",7.52028023584541,10.9769071301307,9.88478337455983,8.27631832642275,0.000158122635217561,0.00149638006010765
"carbohydrate.biosynthetic.process..GO.0016051.",37.745895548369,27.4072638900495,38.1992652918385,21.2405469476449,0.000166720485518398,0.00154017972336044
"sulfur.compound.metabolic.process..GO.0006790.",17.631721688764,15.9033751371634,19.2683530766595,12.5884692186617,0.000249424020923773,0.00219946636632781
"Gram.negative.bacterium.type.cell.outer.membrane.assembly..GO.0043165.",56.548024892842,33.035780667503,78.0501511005263,39.2292092051547,0.000248216720705732,0.00219946636632781
"protein.initiator.methionine.removal..GO.0070084.",18.695521592014,13.825770117983,18.5559652497184,10.6879122551948,0.000262411327926543,0.00226256878301108
"heme.O.biosynthetic.process..GO.0048034.",10.4697227732263,7.63730708940646,13.3632499720791,10.4942830180981,0.000280402684970081,0.0023651356906172
"urea.catabolic.process..GO.0043419.",10.7071941068766,9.18924523851392,6.37176029557742,6.48407722521501,0.000348540868621048,0.00287731610691418
"lipid.glycosylation..GO.0030259.",15.4615729927914,12.4436164487736,17.9013450386135,10.2697651980613,0.000482305654383615,0.00389863737293422
"tetrapyrrole.biosynthetic.process..GO.0033014.",11.9839327342858,8.41788879164343,13.6641993661169,9.58329175637579,0.000590801056438239,0.00467817979383749
"iron.ion.transport..GO.0006826.",10.0427458820758,9.96374730090584,8.64294981584095,6.95409423555449,0.000805894702844888,0.00625374289407633
"peptidyl.diphthamide.biosynthetic.process.from.peptidyl.histidine..GO.0017183.",3.81853661766552,3.51774018702769,2.06301072731668,2.4139776221974,0.000879126203260607,0.00668825425225717
"IMP.biosynthetic.process..GO.0006188.",10.1122280863449,8.68309100633758,12.9322156010745,9.23870911479372,0.00113401276377696,0.00830182928953696
"pyridoxine.biosynthetic.process..GO.0008615.",41.3456749087613,24.2014230341154,44.5274549458189,22.5415326733935,0.00112365434159567,0.00830182928953696
"carbon.utilization..GO.0015976.",18.1906261980675,13.702620014833,23.247314809208,8.22703695277303,0.00124464352327681,0.00894299420428522
"amino.acid.transmembrane.transport..GO.0003333.",6.50459502295827,9.46032809044817,8.0345410225292,11.0637013687589,0.00200050845828444,0.0141126778511702
"cellulose.biosynthetic.process..GO.0030244.",6.61051806029387,8.40824994953011,11.581503670144,10.3984531265204,0.00226814865747494,0.0157150299839335
"pantothenate.biosynthetic.process..GO.0015940.",26.5219550149737,17.429491593112,21.5931821665302,11.1788838407759,0.00296736160794686,0.0201988825242699
"regulation.of.barrier.septum.assembly..GO.0032955.",0.964198453589655,1.1000584850929,2.18919704416691,2.84435943599795,0.00317420266274701,0.0212343212611352
"telomere.maintenance..GO.0000723.",14.067502308384,7.77427724446317,23.1845951045556,18.4473936864202,0.00360957078468102,0.0237375163467158
"glucose.metabolic.process..GO.0006006.",30.6899424776692,20.3451907944272,34.2853529674393,16.66308661594,0.00394729951618724,0.0255258702046775
"ion.transport..GO.0006811.",20.3715008542614,17.4353456019581,39.4455604073117,40.5098976113918,0.00424463404873558,0.0265881112274222
"negative.regulation.of.barrier.septum.assembly..GO.0010974.",0.780193679635027,0.88581652921846,1.84647537226343,2.73809132029498,0.00426665644139035,0.0265881112274222
"propionate.catabolic.process..2.methylcitrate.cycle..GO.0019629.",7.88770434879738,6.21945442156531,3.73052555234439,4.63601397535444,0.00431714177146288,0.0265881112274222
"anaerobic.respiration..GO.0009061.",0.887640800233757,1.86290988606624,5.5006055716211,9.23970147716682,0.00453762568586009,0.0275093557205268
"trehalose.catabolic.process..GO.0005993.",7.28213728284512,10.1432338247182,9.51378934274784,11.462747284083,0.00493103404925167,0.0294344801709176
"thiazole.biosynthetic.process..GO.0052837.",2.94167814399502,2.91255513311995,7.93613283181197,8.40446868344703,0.0052435075902364,0.030825468863814
"chromosome.segregation..GO.0007059.",105.972595852826,54.2269452449061,136.262098707363,32.9274272614793,0.00590469596771769,0.0341943587384248
"thiamine.transport..GO.0015888.",5.3009750145563,4.38810018150629,5.09385799490605,6.93419678899728,0.00767666767227806,0.0438021626006454
"formation.of.translation.preinitiation.complex..GO.0001731.",5.47268210367089,6.47901521176297,3.5098506771338,6.32840174364302,0.00816322863949009,0.0457601502841538
"pyridoxal.5..phosphate.salvage..GO.0009443.",7.47311150785528,5.93417709571844,5.01118724449616,6.13572623424745,0.00836121283738845,0.0457601502841538
"spore.germination..GO.0009847.",4.56175808953712,4.95299842531495,2.88370234173647,2.97355046408029,0.00837363574787351,0.0457601502841538
