"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.",97.1766989907374,75.7842614855682,135.530308559523,122.065629238559,6.22210502673751e-43,6.67009658866261e-40
"LysR.substrate.binding.domain..PF03466.",185.883883123409,127.445945101033,210.685491768753,127.561420533054,4.43532403066718e-34,2.37733368043761e-31
"Major.Facilitator.Superfamily..PF07690.",451.924997493365,256.859766365553,472.84363142046,224.883225821607,1.13526053804358e-32,4.05666432260907e-30
"Bacterial.regulatory.helix.turn.helix.protein..lysR.family..PF00126.",183.284265536015,125.951988788075,208.762979604428,126.67361609355,3.81970375964438e-32,1.02368060758469e-29
"Bacterial.extracellular.solute.binding.proteins..family.3..PF00497.",76.8700592075925,40.4665987530218,79.6636838821066,58.7349272413716,4.5381182533876e-21,9.72972553526302e-19
"Glycosyl.hydrolase.family.1..PF00232.",21.2813907716223,20.3546888151827,30.4233782468537,22.5338849144769,1.21441875348106e-20,1.85979557675957e-18
"Outer.membrane.usher.protein..PF00577.",27.2140885074861,22.9264707728112,47.2425729302667,37.0505491022919,1.0589010175319e-20,1.85979557675957e-18
"PapC.C.terminal.domain..PF13953.",20.4697970837238,20.813476848937,35.0038144252594,26.7596796720341,1.05281851736275e-19,1.41077681326609e-17
"Glycosyltransferase.family.36..PF06165.",10.516342526664,10.640757238525,22.932932041239,23.8158407669386,2.12326702376396e-19,2.27614224947497e-17
"Bacterial.Ig.like.domain..group.3...PF12245.",22.5726348897299,16.7413325357063,27.152034557075,24.2025940851931,1.96881150950089e-19,2.27614224947497e-17
"Glycosyltransferase.36.associated.family..PF06205.",9.83903874239116,10.9240946553587,22.7933107947935,23.6944917640036,4.07417987622284e-19,3.97047347937353e-17
"Putative.carbohydrate.binding.domain..PF06204.",10.4319678855842,10.9487576063301,22.995995395547,23.9303369725138,1.39433914518789e-18,1.24560963636785e-16
"Thioesterase.domain..PF00975.",13.6744056341342,12.1269223565906,28.3005860333518,25.8947707718034,1.94919992848048e-18,1.60734024871621e-16
"Bacterial.regulatory.proteins..lacI.family..PF00356.",68.0064910830036,53.3200533898629,85.4938007626263,33.2400928799751,6.05392327322901e-17,4.63557553492964e-15
"Hpt.domain..PF01627.",68.2955299814459,48.4884176609306,93.9047147102023,53.0763736314398,1.70774455742597e-14,1.22046811037376e-12
"ATPase.family.associated.with.various.cellular.activities..AAA...PF07726.",16.5656470168491,13.1691863156009,21.8445822466765,26.3538544361635,6.89371507375733e-14,4.61878909941741e-12
"Periplasmic.binding.protein.domain..PF13407.",41.2719143968424,28.8122408530419,48.3786551003419,29.3693728696348,8.35459820455847e-14,5.26831133840393e-12
"Helix.turn.helix.domain..rpiR.family..PF01418.",13.5500671176297,14.0926391336606,20.6007697219519,11.8843980412746,2.12889834160934e-13,1.26787723455845e-11
"Flagella.basal.body.rod.protein..PF00460.",18.5175480882059,13.9279334001155,35.815705382229,23.5816654348038,2.77718666738153e-13,1.56691795128053e-11
"Flagellar.basal.body.rod.FlgEFG.protein.C.terminal..PF06429.",18.6551416042035,14.6039676869204,31.5110546046041,21.7140893467495,1.26098607211458e-12,6.75888534653414e-11
"DegT.DnrJ.EryC1.StrS.aminotransferase.family..PF01041.",18.9596998349065,16.2904894608285,31.6866470018585,21.7533186632809,9.89367637744208e-12,5.05048622696091e-10
"Chain.length.determinant.protein..PF02706.",22.3547978660296,12.5431409755775,28.0243017087723,20.5751299167689,2.65552787266371e-11,1.29396630886159e-09
"Bacterial.extracellular.solute.binding.proteins..family.5.Middle..PF00496.",109.490811574897,69.4728474902103,137.964318768524,55.2953378761717,3.78283806267727e-10,1.76313147964784e-08
