"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"X.Enterobacteriaceae.",3577.33896250468,3332.38970584072,5288.83573669327,5163.35893486527,0,0
"Erwinia",90.648472532983,146.385702578387,213.724424112856,329.278865675294,8.26016506787649e-228,1.04491088108638e-225
"X.Firmicutes.",163.710468297628,188.978583575379,121.656906095654,148.956411923663,1.46253864025911e-83,1.23340758661851e-81
"X.Pleosporaceae.",166.540581464513,167.446506164196,161.19747811276,138.538468764005,3.85381026281828e-67,2.43753499123256e-65
"Dietzia",71.5065321479492,89.1146733808148,86.0357392614632,68.2016005049519,1.73748071402598e-49,8.79165241297146e-48
"X.Bacteroidales.",54.9968273860093,63.4589715397187,56.6000855982573,69.5213325457717,5.41257242614531e-35,1.95625831973538e-33
"Bipolaris",54.6015990552273,55.2120970194382,46.66171877858,55.82832093042,5.14193594960504e-35,1.95625831973538e-33
"Lactococcus",4.66240165637057,6.67729355414859,16.19510150325,23.9180723276891,6.2039455318107e-11,1.96199777443513e-09
"X.Bifidobacteriaceae.",15.3448790309718,27.3194835020107,10.8021938786279,27.5988784666269,0.000121669347092341,0.00342026053492913
"Lactobacillus",57.9684900882686,71.4575433099899,57.0519398293012,141.579107916726,0.000880345483353129,0.0222727407288342
