"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"filamentous.hemagglutinin.family.N.terminal.domain..TIGR01901.",12.2750347475898,13.3571824002777,25.3793903398124,32.1187820994331,1.55796413770467e-23,1.667021627344e-20
"type.I.secretion.C.terminal.target.domain..VC_A0849.subclass...TIGR03661.",33.2021552881184,23.924932417677,25.6006125692223,16.3086459945378,2.77644539132977e-10,1.48539828436143e-07
"flagellar.hook.basal.body.protein..TIGR03506.",12.2081744713245,9.29048622244935,22.7687968677507,16.5898901874002,6.38609556842471e-09,2.27770741940481e-06
"heavy.metal.translocating.P.type.ATPase..TIGR01525.",61.1204174116281,29.6838410797981,38.1069255396474,27.63622900203,2.36609808718282e-08,6.32931238321406e-06
"inosine.5..monophosphate.dehydrogenase..TIGR01302.",18.6736716080803,13.938080121659,22.8328976959921,12.9372441298086,1.50899515868193e-07,3.22924963957932e-05
"adenosylhomocysteinase..TIGR00936.",22.027754255588,14.789847806605,22.776788278707,18.6314346301351,4.27327430860738e-07,6.47911986993202e-05
"HAD.ATPase..P.type..family.IC..TIGR01494.",119.070904987363,56.877208002988,84.0835067713486,43.029615904613,4.84420177191179e-07,6.47911986993202e-05
"outer.membrane.insertion.C.terminal.signal..TIGR03304.",33.1532958560145,28.1488173684027,24.4860943032932,26.9775184157513,4.12922302928705e-07,6.47911986993202e-05
"non.ribosomal.peptide.synthase.domain.TIGR01720..TIGR01720.",10.5910919013984,12.750166174674,9.23061676813436,9.81122223944874,9.435052652449e-07,0.000112172292645783
"amino.acid.peptide.transporter..Peptide.H..symporter...TIGR00924.",11.8900269660216,9.41665987649328,10.8226104190523,8.55396246178379,1.13489010201906e-06,0.000121433240916039
"GTP.binding.protein.TypA.BipA..TIGR01394.",22.1376434864685,18.2061838598501,26.0912581334573,19.2775605618526,5.27251197382258e-06,0.000512871619271833
"succinate.CoA.ligase..beta.subunit..TIGR01016.",13.9760991208625,10.2545841288117,17.1965396715696,13.1964619961345,1.17404009630328e-05,0.00104685241920376
"X1.deoxy.D.xylulose.5.phosphate.synthase..TIGR00204.",19.3258611671661,12.755927215162,30.5353198586463,13.3968821353911,2.24994636001965e-05,0.00153362400338072
"drug.resistance.MFS.transporter..drug.H..antiporter.2..14.Spanner...DHA2..family..TIGR00711.",37.1586528096771,27.3664461694942,35.1568027502974,23.1939661725179,2.29326953776557e-05,0.00153362400338072
"phosphopyruvate.hydratase..TIGR01060.",15.8782223221775,14.1671484996717,11.5143971437094,13.300871795391,2.26437958957251e-05,0.00153362400338072
"thiamin.thiamin.pyrophosphate.ABC.transporter..thiamin.thiamin.pyrophospate.binding.protein..TIGR01276.",3.01034577962625,2.81675350437698,2.13221222849478,3.35891947598919,1.87703976349181e-05,0.00153362400338072
"rhomboid.family.protease.GlpG..TIGR04239.",2.58682501186758,2.24316378777052,2.48414135914025,3.0653659649705,6.53650266068456e-05,0.00411415167466617
"aromatic.amino.acid.transport.protein..TIGR00837.",3.07757550622594,5.31693866225327,4.15842919978913,5.05532472987626,8.3261870214807e-05,0.00494945561832464
"sucrose.6.phosphate.hydrolase..TIGR01322.",4.19194676781019,5.51118506628274,9.67530022382557,11.4208755061861,9.15548647627087e-05,0.00515598448926833
"Cof.like.hydrolase..TIGR00099.",12.9842197682839,8.36032970111305,12.4910676071199,8.78610982188408,0.000169274610023462,0.00862494441548118
"decarboxylase..UbiD.family..TIGR00148.",2.90573326048284,4.32998275219717,2.36359231639579,5.18772580539485,0.00016821389763352,0.00862494441548118
"hydrolyase..tartrate.beta.subunit.fumarate.domain.protein..Fe.S.type..TIGR00723.",11.4210638578819,8.71014624782597,7.7620801605232,10.2278766663599,0.00018021602434591,0.00870323153819316
"ABC.transporter.periplasmic.binding.protein..thiB.subfamily..TIGR01254.",2.16805738240298,1.78363917360991,1.59833019641346,2.42380246827601,0.0001870788087649,0.00870323153819316
"PTS.system..maltose.and.glucose.specific.subfamily..IIC.component..TIGR00852.",3.95673499124977,6.12156279377859,6.9263400406113,9.16306972423578,0.000210971776140264,0.00940582501958675
"threonine.synthase..TIGR00260.",15.0476953487777,13.1502426716807,12.0024722288606,12.5729703258844,0.000229017503053473,0.00947480182639418
"drug.resistance.transporter..Bcr.CflA.subfamily..TIGR00710.",9.86920811135688,7.14515893427551,10.45221221441,6.53134489039214,0.000230228829426401,0.00947480182639418
"type.VI.secretion.protein..EvpB.VC_A0108.family..TIGR03355.",5.14825509529566,6.16974115261408,8.06264492557375,6.406839390123,0.000239816643138768,0.00950384474661044
"efflux.transporter..outer.membrane.factor..OMF..lipoprotein..NodT.family..TIGR01845.",38.9055955317224,23.1856005911816,31.6045926825634,20.6295052927319,0.000251549120651307,0.00961276996774638
"carbamoyl.phosphate.synthase..small.subunit..TIGR01368.",13.6108612608941,10.1307405641997,21.01723946466,12.570671874258,0.000292929246173425,0.0108080790829505
"penicillin.binding.protein..1A.family..TIGR02074.",25.8796139394392,18.3096731678876,35.512998087943,21.8948722210834,0.000395877836201064,0.0141196428245046
"hydrolyase..tartrate.alpha.subunit.fumarate.domain.protein..Fe.S.type..TIGR00722.",9.74339532513265,7.13090571840561,7.41576273126671,9.49296974113755,0.00042229800334581,0.0145760923735489
"phosphoenolpyruvate.synthase..TIGR01418.",17.0026669285121,12.000216195977,24.1749216820715,13.8794337282353,0.000455082605599682,0.0152168246247394
"N.acetylglucosamine.6.phosphate.deacetylase..TIGR00221.",3.84456876856062,2.73703279465811,6.80750995051579,6.23518754612023,0.000524258849310619,0.0164987343753636
"DNA.gyrase..A.subunit..TIGR01063.",38.4703238092504,30.3415698122267,41.5534631930421,23.8514690292907,0.00052146358735044,0.0164987343753636
"glutamine.fructose.6.phosphate.transaminase..isomerizing...TIGR01135.",27.2900634627012,20.9964450476413,24.2878042208287,13.164627793705,0.000547324465096188,0.0167324907900835
"bacterioferritin..TIGR00754.",3.30865011781278,4.96722580536578,1.50820278234866,3.99032948875022,0.000654883956931834,0.0194646064976962
"X3.isopropylmalate.dehydratase..large.subunit..TIGR00170.",16.5580468218837,12.9262925571158,11.9400742703685,10.0573800848085,0.000675235768182254,0.0195270884312165
"transporter..solute.sodium.symporter..SSS..family..TIGR00813.",29.2354261859308,19.8180113662969,27.4177542482194,16.4873063113687,0.000701058392941322,0.0197403284328214
"protoheme.IX.farnesyltransferase..TIGR01473.",9.55296589267873,7.07414426746551,10.7947949106432,7.89292527168774,0.000761628946685331,0.0208959736654693
"PTS.system..N.acetylglucosamine.specific.IIBC.component..TIGR01998.",1.91889381198002,2.3287801345871,2.4378582781167,4.16961441037064,0.000795784619752195,0.0212872385783712
"transporter..basic.amino.acid.polyamine.antiporter..APA..family..TIGR00905.",1.0243287468638,1.71903649252991,1.92938943363541,1.85027650786595,0.00111430241942956,0.0290805753363324
"diphthamide.biosynthesis.enzyme.Dph1.Dph2.domain..TIGR00322.",3.04846324156985,3.0072886838054,1.43649917176407,1.7027582096266,0.00127995307356641,0.0326083283027632
"PTS.system..lactose.cellobiose.family.IIC.component..TIGR00410.",9.79496060088954,10.6486168562092,10.1702858798258,6.82842107636542,0.00152329474982871,0.037905241449226
"putative.protein.insertion.permease.FtsX..TIGR00439.",1.97642732165801,2.86720957703643,2.74119562669062,4.25430924345171,0.00164813092713529,0.0400795475462446
"RhaT.L.rhamnose.proton.symporter.family.protein..TIGR00776.",1.18424010247224,1.22142588599151,1.96405953843738,2.71532099805546,0.00174443350261279,0.0414787521732374
