"Annotation","p.overall","CAvsDE","CAvsHF","DEvsHF"
"Phosphoribosyl.transferase.domain..PF00156.",0,0.999981623371026,9.28655495336729e-13,9.07397192992793e-12
"Amino.acid.permease..PF00324.",0,8.26793153351724e-25,1.53080539643329e-29,0.999757147308527
"Prolyl.oligopeptidase.family..PF00326.",0,2.17127161763556e-08,1.7637220662867e-37,5.99068558707083e-13
"tRNA.synthetase.class.II.core.domain..G..H..P..S.and.T...PF00587.",0,0.349427801610434,9.38570031333177e-21,1.40161218202685e-11
"TonB.dependent.receptor..PF00593.",0,6.13490366004108e-10,1.37292503289324e-42,1.57812343640589e-92
"Elongation.factor.G.C.terminus..PF00679.",0,0.991963125144193,5.49678834267929e-16,5.59379499102122e-22
"Cys.Met.metabolism.PLP.dependent.enzyme..PF01053.",0,0.999981623371026,6.92678536890895e-14,9.33674574588105e-12
"Bacterial.extracellular.solute.binding.protein..PF01547.",0,3.64335549786191e-06,4.21024203207439e-31,7.06669983561037e-12
"GAF.domain..PF01590.",0,0.999981623371026,1.45569330410752e-14,1.13804949658031e-11
"PF01970",0,0.999981623371026,4.73736172719267e-05,0.000597660449878482
"Outer.membrane.efflux.protein..PF02321.",0,8.18778632784984e-18,0.771080614798067,5.59379499102122e-22
"Glycine.cleavage.system.P.protein..PF02347.",0,0.999981623371026,1.99345251572551e-10,2.14622366657629e-09
"PHP.domain..PF02811.",0,0.0914785252798786,3.21488140839287e-30,4.77480804431972e-17
"Carbohydrate.binding.module.48..Isoamylase.N.terminal.domain...PF02922.",0,2.24478006032992e-05,1.46777303060315e-33,3.9734218981922e-15
"Anticodon.binding.domain..PF03129.",0,0.744493250723334,8.13040865582479e-21,5.35095484106918e-13
"MMPL.family..PF03176.",0,0.999981623371026,0.00661482381020881,0.0552552106766756
"Carbohydrate.binding.module..family.6...PF03422.",0,0.999981623371026,0.00160608942714633,0.010109071010191
"RNA.polymerase.Rpb2..domain.7..PF04560.",0,0.427435559519805,2.91738478809742e-19,2.9701320639617e-11
"NmrA.like.family..PF05368.",0,0.999981623371026,0.0291822635550364,0.149492126421879
"TonB.dependent.Receptor.Plug.Domain..PF07715.",0,4.41994022517778e-10,9.9590092578712e-56,2.54890182609422e-111
"Bacterial.DNA.polymerase.III.alpha.subunit..PF07733.",0,0.00392258974840527,1.9209840797657e-30,3.10623899348348e-14
"GAF.domain..PF13492.",0,0.999981623371026,0.00530268750646778,0.00806478357217115
"Amino.acid.permease..PF13520.",0,0.999981623371026,4.95478637766129e-14,1.64126599402847e-09
"Elongation.Factor.G..domain.II..PF14492.",0,0.999981623371026,1.54195461134389e-13,5.67214426117798e-18
"Helix.hairpin.helix.motif..PF14579.",0,0.00986065650495612,3.98150475529608e-30,7.29225827134831e-15
"DNA.topoisomerase..PF01131.",4.8140750645113e-13,0.999981623371026,2.18141582833347e-08,8.52749856848558e-11
"FtsK.SpoIIIE.family..PF01580.",7.55550704743074e-12,0.58589577391873,6.98700893715635e-11,3.69830435474178e-05
"HD.domain..PF01966.",1.17343079697463e-11,0.991963125144193,2.02903187931704e-06,6.84126765922932e-11
"Xylose.isomerase.like.TIM.barrel..PF01261.",2.06187470725212e-10,0.000744696522016199,6.06248994828742e-10,0.265134942231916
"Sugar..and.other..transporter..PF00083.",2.4882254923142e-10,3.90894897386614e-07,1.36589286223073e-08,0.999757147308527
"HlyD.family.secretion.protein..PF00529.",6.67132523516073e-10,1.31366437018788e-05,6.28515381373634e-09,0.925318895069822
"S.adenosyl.L.homocysteine.hydrolase..PF05221.",8.76224015993871e-09,0.000783769068485952,1.55969111422077e-07,0.645594777796872
