"Annotation","p.overall","CAvsDE","CAvsHF","DEvsHF"
"Alicycliphilus",0,0.999999999999999,0.03321560551207,0.0097231731102547
"X.Bacteroidales.",0,0.946383919305652,0.00617298649964986,0.000169303357865316
"Bacteroides",0,0.849409337191594,0.00203963001281241,2.10109960013439e-05
"Botrytis",0,0.999999999999999,0.999999999999995,6.70105078734329e-05
"Corynebacterium",0,0.0342419458250253,0.999999999999995,0.999998869665022
"X.Microbacteriaceae.",0,0.999999999999999,4.39779680970592e-05,9.13733835036053e-05
"Microbacterium",0,0.999999999999999,1.20047283417655e-17,1.13749418985787e-16
"Microvirga",0,8.87544230773894e-22,1.94028303974306e-49,6.81069721404398e-27
"X.Sphingomonadales.",0,3.74777231919619e-11,5.5392972138653e-103,1.27501973138947e-58
"Dietzia",2.58973508678872e-06,0.22794849526695,2.25240379755864e-12,2.0545748467476e-19
"Snodgrassella",8.06510247082913e-05,0.999999999999999,0.999999999999995,0.000172430873257278
"Thalassiosira",0.00018469486861223,0.999999999999999,0.999999999999995,0.0165591180983518
"X.Eurotiomycetes.",0.000389253512871344,0.999999999999999,2.74464113250106e-06,1.65498575006384e-06
"Blumeria",0.000876916094556221,0.999999999999999,0.999999999999995,0.0388253697395598
"Rivularia",0.000876916094556221,0.999999999999999,0.0278489066747393,0.999998869665022
"Trichosporon",0.000876916094556221,0.999999999999999,0.00915333812626252,0.00338338493107032
"X.Nostocales.",0.00104915254564688,0.999999999999999,0.00250684125899054,0.999998869665022
"Bifidobacterium",0.00155525783396966,0.940498673669379,0.000213815587109054,7.91899737700745e-06
"Coniosporium",0.00160882525668595,0.434572213375221,9.0782068220973e-05,0.00348840172885063
"X.Cyanobacteria.",0.00171868404836889,0.0217880653051936,0.0614639774805343,1.06077993351166e-07
"Filobasidiella",0.00171868404836889,0.796192400054886,0.00248196849645101,0.00155582094919603
"Melampsora",0.00176406842969355,0.849409337191594,0.00168599642418807,0.00348840172885063
"X.Staphylococcaceae.",0.00249889144739809,0.195371756107571,0.0118902738605855,7.47938120594083e-06
"Macrococcus",0.00468615107190696,0.0216320498828083,0.999999999999995,0.00348840172885063
"X.Tremellales.",0.00715014323763935,0.668696601932624,0.00593045633865422,0.0112978226392087
"Lactobacillus",0.00874826060126055,0.668696601932624,0.0133979257527111,0.000126507678493998
"X.Aspergillaceae.",0.00992882508493241,0.999999999999999,0.999999999999995,0.0498950232421874
"Acyrthosiphon",0.0162205645302611,0.999999999999999,0.00559818628452116,0.00847955243803564
"X.Halomonadaceae.",0.0162205645302611,0.179929913573437,0.999999999999995,0.0388253697395598
"X.Nostocaceae.",0.0169699526716602,0.92771689782075,0.0510194528619275,0.00532369341670936
"X.Neisseriales.",0.0179772517297381,0.999999999999999,0.0307978063064721,0.0265533120937725
"Micrococcus",0.0185305897692519,0.219340650442075,0.489510573875582,0.00348840172885063
"Tribolium",0.0185305897692519,0.999999999999999,0.0135687367240764,0.0113965755077202
"Macrophomina",0.025005375317262,0.999999999999999,0.00942655586612798,0.0423315390018555
"Fischerella",0.0261617442766271,0.586238299996211,0.249850892933015,0.020065749617678
"Rubellimicrobium",0.0324447445926922,0.999999999999999,0.00553324014519527,0.00348840172885063
"X.Trypanosomatidae.",0.0359535152978965,0.680422200130485,0.124880992742676,0.0146827743050187
"X.Lactobacillaceae.",0.0429294773252369,0.680422200130485,0.212017561626048,0.0139212113627282
"Caenorhabditis",0.0485813416844368,0.62995570368354,0.0256278810681496,0.268720203510277
