"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO21","PHYLLO12","PHYLLO14","PHYLLO22"
"Oxidoreductases..1.......",0,68.6026051756795,60.6698540382777,8.65798638823271,63.3346843134914,29.3924792996129
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors..1.1.....",0,9.65518146916971,0,0,5.9749702182539,7.09473638266517
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors....With.NAD....or.NADP....as.acceptor..1.1.1...",0,16.2613582638648,12.4263556463942,0,29.8748510912695,2.02706753790434
"Alcohol.dehydrogenase..1.1.1.1.",0,21.8512001670683,25.5836733896352,0,14.3399285238094,27.3654117617085
"L.xylulose.reductase..1.1.1.10.",0,0,0,0,0,0
"X3.oxoacyl..acyl.carrier.protein..reductase..1.1.1.100.",0,21.8512001670683,23.390787099095,0,0,1.01353376895217
"L.threonine.3.dehydrogenase..1.1.1.103.",0,4.57350701171197,1.46192419369344,6.49348979117453,4.77997617460312,4.05413507580867
"All.trans.retinol.dehydrogenase..NAD......1.1.1.105.",0,0,0,2.16449659705818,0,0
"Pyridoxal.4.dehydrogenase..1.1.1.107.",0,0,0,0,0,0
"Carnitine.3.dehydrogenase..1.1.1.108.",0,1.52450233723732,0,0,0,0
"D.arabinitol.4.dehydrogenase..1.1.1.11.",0,0,0,0,8.36495830555547,0
"D.arabinose.1.dehydrogenase..NAD......1.1.1.116.",0,0,0,0,0,0
"Galactose.1.dehydrogenase..NADP......1.1.1.120.",0,0,0,0,0,0
"D.threo.aldose.1.dehydrogenase..1.1.1.122.",0,0,0,0,8.36495830555547,0
"Sorbose.5.dehydrogenase..NADP......1.1.1.123.",0,0,0,0,0,0
"X2.deoxy.D.gluconate.3.dehydrogenase..1.1.1.125.",0,0.508167445745774,0.730962096846719,0,3.58498213095234,2.02706753790434
"X2.dehydro.3.deoxy.D.gluconate.5.dehydrogenase..1.1.1.127.",0,0,0,0,0,0
"X3.dehydro.L.gulonate.2.dehydrogenase..1.1.1.130.",0,0,1.46192419369344,4.32899319411636,3.58498213095234,0
"GDP.mannose.6.dehydrogenase..1.1.1.132.",0,0,0.730962096846719,0,0,0
"dTDP.4.dehydrorhamnose.reductase..1.1.1.133.",0,4.06533956596619,8.77154516216063,2.16449659705818,4.77997617460312,0
"UDP.N.acetylglucosamine.6.dehydrogenase..1.1.1.136.",0,0,0,0,0,0
"Ribitol.5.phosphate.2.dehydrogenase..1.1.1.137.",0,0.508167445745774,0,0,0,0
"L.iditol.2.dehydrogenase..1.1.1.14.",0,3.55717212022042,2.19288629054016,0,0,1.01353376895217
"Sorbitol.6.phosphate.2.dehydrogenase..1.1.1.140.",0,0,0,0,0,0
"X15.hydroxyprostaglandin.dehydrogenase..NAD......1.1.1.141.",0,0,0,0,0,0
"X3.beta.hydroxy.Delta.5..steroid.dehydrogenase..1.1.1.145.",0,0,0,0,0,0
"X20.alpha.hydroxysteroid.dehydrogenase..1.1.1.149.",0,2.0326697829831,0.730962096846719,0,10.754946392857,0
"D.iditol.2.dehydrogenase..1.1.1.15.",0,0,0,0,0,0
"Ureidoglycolate.dehydrogenase..1.1.1.154.",0,0,0,0,2.38998808730156,0
"X3.hydroxybutyryl.CoA.dehydrogenase..1.1.1.157.",0,0.508167445745774,0,0,0,0
"X7.alpha.hydroxysteroid.dehydrogenase..1.1.1.159.",0,0,0,0,0,0
"Erythrulose.reductase..1.1.1.162.",0,0,1.46192419369344,0,0,0
"Cyclopentanol.dehydrogenase..1.1.1.163.",0,0,0.730962096846719,0,0,0
"X2.dehydropantoate.2.reductase..1.1.1.169.",0,4.57350701171197,2.92384838738688,0,0,2.02706753790434
"Mannitol.1.phosphate.5.dehydrogenase..1.1.1.17.",0,0,2.92384838738688,0,0,1.01353376895217
"X.decarboxylating...1.1.1.170.",0,0,0,0,0,0
"D.xylose.1.dehydrogenase..1.1.1.175.",0,0,0.730962096846719,0,0,0
"X3.hydroxy.2.methylbutyryl.CoA.dehydrogenase..1.1.1.178.",0,0,0,0,0,0
"D.xylose.1.dehydrogenase..NADP......1.1.1.179.",0,0,1.46192419369344,0,0,0
"Inositol.2.dehydrogenase..1.1.1.18.",0,2.0326697829831,9.50250725900735,0,7.16996426190468,0
"Carbonyl.reductase..NADPH...1.1.1.184.",0,0.508167445745774,0,0,0,0
"GDP.4.dehydro.D.rhamnose.reductase..1.1.1.187.",0,0,0,0,0,0
"X5.amino.6..5.phosphoribosylamino.uracil.reductase..1.1.1.193.",0,0.508167445745774,0,0,0,0
"Cinnamyl.alcohol.dehydrogenase..1.1.1.195.",0,0.508167445745774,1.46192419369344,0,0,0
"Alcohol.dehydrogenase..NADP......1.1.1.2.",0,2.0326697829831,0,0,9.55995234920625,0
"Glucuronolactone.reductase..1.1.1.20.",0,1.01633489149155,1.46192419369344,2.16449659705818,0,0
"X1.3.propanediol.dehydrogenase..1.1.1.202.",0,0.508167445745774,0,0,0,0
"IMP.dehydrogenase..1.1.1.205.",0,13.7205210351359,16.8121282274745,0,3.58498213095234,12.162405227426
"X....neomenthol.dehydrogenase..1.1.1.208.",0,0,0,0,0,0
"Aldehyde.reductase..1.1.1.21.",0,1.01633489149155,0,0,0,2.02706753790434
"Gluconate.2.dehydrogenase..1.1.1.215.",0,2.0326697829831,5.84769677477375,0,8.36495830555547,1.01353376895217
"Morphine.6.dehydrogenase..1.1.1.218.",0,0.508167445745774,0,0,0,0
"Dihydrokaempferol.4.reductase..1.1.1.219.",0,0.508167445745774,0,0,0,0
"UDP.glucose.6.dehydrogenase..1.1.1.22.",0,7.11434424044084,10.9644314527008,0,5.9749702182539,7.09473638266517
"Histidinol.dehydrogenase..1.1.1.23.",0,9.14701402342393,7.30962096846719,2.16449659705818,0,6.08120261371301
"Tropinone.reductase.II..1.1.1.236.",0,0.508167445745774,0,0,0,0
"Quinate.dehydrogenase..1.1.1.24.",0,0,0,0,0,0
"Carveol.dehydrogenase..1.1.1.243.",0,0,0,0,0,0
"Methanol.dehydrogenase..1.1.1.244.",0,0.508167445745774,0,0,0,0
