"rows.list[[i]]","PHYLLO09","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29","PHYLLO30"
"Oxidoreductases..1.......",0,102.063633740564,129.641817164301,107.718052438208,0,99.6245489753413
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors..1.1.....",0,12.0864829429616,12.2126349502602,12.5496760122184,0,11.6067435699427
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors....With.NAD....or.NADP....as.acceptor..1.1.1...",0,49.0174030464553,48.8505398010409,42.878059708413,65.2641970352058,46.4269742797707
"Alcohol.dehydrogenase..1.1.1.1.",48.1223172201117,38.9453339273206,67.6392089552873,29.282577361843,17.4037858760549,29.0168589248567
"L.xylulose.reductase..1.1.1.10.",0,3.35735637304488,0,0,4.35094646901372,0
"X3.oxoacyl..acyl.carrier.protein..reductase..1.1.1.100.",0,61.1038859894168,61.0631747513011,75.2980560733106,8.70189293802744,70.6076900504846
"L.threonine.3.dehydrogenase..1.1.1.103.",0,5.37177019687181,13.1520684079725,3.66032217023038,8.70189293802744,3.86891452331423
"All.trans.retinol.dehydrogenase..NAD......1.1.1.105.",0,0.671471274608976,0,0.522903167175768,0,0
"Pyridoxal.4.dehydrogenase..1.1.1.107.",7.40343341847873,4.02882764765386,2.81830037313697,4.70612850458191,0,3.86891452331423
"Carnitine.3.dehydrogenase..1.1.1.108.",0,0,0.939433457712324,0.522903167175768,4.35094646901372,0.967228630828556
"D.arabinitol.4.dehydrogenase..1.1.1.11.",3.70171670923936,5.37177019687181,0.939433457712324,5.75193483893345,0,5.80337178497134
"D.arabinose.1.dehydrogenase..NAD......1.1.1.116.",0,0,0,0,0,0
"Galactose.1.dehydrogenase..NADP......1.1.1.120.",0,0,0,0,0,0
"D.threo.aldose.1.dehydrogenase..1.1.1.122.",0,0.671471274608976,1.87886691542465,0,0,0
"Sorbose.5.dehydrogenase..NADP......1.1.1.123.",0,0,0,0,0,0
