"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO21","PHYLLO12","PHYLLO14","PHYLLO22"
"X.alpha.1.6.mannosyltransferase.activity..GO.0000009..",0,0.959724901394147,0,0,0,0.945242078958714
"X.alpha.1.2.mannosyltransferase.activity..GO.0000026..",0,0.479862450697073,0,0,0,0
"mannosyltransferase.activity..GO.0000030.",0,4.31876205627366,7.11467422001,0,15.8171997018082,3.78096831583485
"adenine.deaminase.activity..GO.0000034.",0,3.35903715487951,3.557337110005,3.15900852339949,0,3.78096831583485
"ACP.phosphopantetheine.attachment.site.binding.involved.in.fatty.acid.biosynthetic.process..GO.0000036.",3.18320711868851,0.479862450697073,0.711467422001,0,0,0
"tRNA.binding..GO.0000049.",0,111.328088561721,119.526526896168,3.15900852339949,66.9189218153426,108.702839080252
"fatty.acyl.CoA.binding..GO.0000062.",0,0.479862450697073,2.134402266003,3.15900852339949,2.43341533873973,0.945242078958714
"succinate.dehydrogenase.activity..GO.0000104.",0,12.4764237181239,4.980271954007,0,31.6343994036165,14.1786311843807
"imidazoleglycerol.phosphate.synthase.activity..GO.0000107.",0,5.27848695766781,3.557337110005,0,3.6501230081096,7.56193663166971
"microfilament.motor.activity..GO.0000146.",0,0,0.711467422001,0,0,0
"recombinase.activity..GO.0000150.",0,11.0368363660327,7.11467422001,0,8.51695368558905,4.72621039479357
"phosphorelay.sensor.kinase.activity..GO.0000155.",0,281.679258559182,318.025937634447,0,208.057011462247,109.648081159211
"phosphorelay.response.regulator.activity..GO.0000156.",0,255.76668622154,270.35762036038,0,182.50615040548,113.429049475046
"nucleotide.binding..GO.0000166.",0,124.284374730542,120.94946174017,0,69.3523371540823,99.2504182906649
"X3..5..exoribonuclease.activity..GO.0000175.",0,11.9965612674268,9.96054390801401,0,0,13.233389105422
"X.rRNA..adenine.N6.N6...dimethyltransferase.activity..GO.0000179..",0,4.31876205627366,7.826141642011,0,3.6501230081096,5.67145247375228
"NAD..diphosphatase.activity..GO.0000210.",0,3.83889960557659,4.268804532006,6.31801704679897,1.21670766936987,1.89048415791743
"tRNA.intron.endonuclease.activity..GO.0000213.",0,0,0,0,0,0
