"rows.list[[i]]","PHYLLO09","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29","PHYLLO30"
"X.alpha.1.6.mannosyltransferase.activity..GO.0000009..",0,0,0,0,0,0
"X.alpha.1.2.mannosyltransferase.activity..GO.0000026..",0,0,0,0,0,0
"mannosyltransferase.activity..GO.0000030.",0,6.16408454166536,19.3495095091538,4.64377241755433,18.8602033624672,5.84807333868877
"adenine.deaminase.activity..GO.0000034.",0,12.3281690833307,8.79523159506991,11.8674184004166,0,11.6961466773775
"ACP.phosphopantetheine.attachment.site.binding.involved.in.fatty.acid.biosynthetic.process..GO.0000036.",0,0,0,0.515974713061592,0,0
"tRNA.binding..GO.0000049.",0,285.397114279106,290.242642637307,341.059285333712,182.315299170517,336.264216974604
"fatty.acyl.CoA.binding..GO.0000062.",0,1.23281690833307,4.39761579753496,0.515974713061592,0,0
"succinate.dehydrogenase.activity..GO.0000104.",0,18.4922536249961,36.0604495397867,29.9265333575723,0,28.2656878036624
"imidazoleglycerol.phosphate.synthase.activity..GO.0000107.",0,17.259436716663,18.4699863496468,18.0591149571557,6.28673445415574,17.5442200160663
"microfilament.motor.activity..GO.0000146.",0,0.616408454166536,0.879523159506992,0,0,0
"recombinase.activity..GO.0000150.",0,34.518873433326,43.0966348158426,30.4425080706339,0,29.2403666934439
"phosphorelay.sensor.kinase.activity..GO.0000155.",0,879.614864095647,617.425257973908,1051.55646521952,188.602033624672,1007.81797203403
"phosphorelay.response.regulator.activity..GO.0000156.",0,768.044933891504,550.581497851377,810.596274219761,182.315299170517,779.74311182517
"nucleotide.binding..GO.0000166.",0,207.113240599956,213.724127760199,226.512899034039,0,214.429355751922
"X3..5..exoribonuclease.activity..GO.0000175.",0,30.8204227083268,34.3014032207727,37.1501793404346,6.28673445415574,35.0884400321327
"X.rRNA..adenine.N6.N6...dimethyltransferase.activity..GO.0000179..",0,27.7383804374941,19.3495095091538,23.7348368008332,6.28673445415574,23.3922933547551
"NAD..diphosphatase.activity..GO.0000210.",0,0,6.15666211654894,1.03194942612318,12.5734689083115,1.94935777956292
"tRNA.intron.endonuclease.activity..GO.0000213.",0,0,0.879523159506992,0,0,0
"C.22.sterol.desaturase.activity..GO.0000249.",0,0,0,0,0,0
"nitrilase.activity..GO.0000257.",0,0,0,1.03194942612318,0,0.974678889781462
"alanine.dehydrogenase.activity..GO.0000286.",0,12.3281690833307,12.3133242330979,15.9952161049093,0,15.5948622365034
"magnesium.ion.binding..GO.0000287.",0,1139.73923175392,1105.56061150029,1199.6412078682,842.42241685687,1198.8550344312
"endopolyphosphatase.activity..GO.0000298.",0,0,1.75904631901398,0,0,0
"nicotinamide.nucleotide.adenylyltransferase.activity..GO.0000309.",0,0.616408454166536,6.15666211654894,1.03194942612318,0,0.974678889781462
"xanthine.phosphoribosyltransferase.activity..GO.0000310.",0,0,1.75904631901398,3.61182299143114,0,3.89871555912585
"X.3.hydroxyanthranilate.3.4.dioxygenase.activity..GO.0000334..",0,0.616408454166536,0,0.515974713061592,0,0
"RNA.cap.binding..GO.0000339.",0,0,0,0,0,0
"X..R.R..butanediol.dehydrogenase.activity..GO.0000721..",0,0,0,0,0,0
"adenyl.nucleotide.exchange.factor.activity..GO.0000774.",0,4.93126763333229,2.63856947852097,2.06389885224637,0,1.94935777956292
"inositol.heptakisphosphate.kinase.activity..GO.0000829.",0,0,0,0,0,0
