"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO21","PHYLLO12","PHYLLO14","PHYLLO22"
"mitochondrion.inheritance..GO.0000001.",0,0.972200555102819,2.03420459683748,6.19736266627434,1.31842848650868,0
"mitochondrial.genome.maintenance..GO.0000002.",0,2.43050138775705,2.03420459683748,0,0,0.984781285265795
"vacuole.inheritance..GO.0000011.",0,1.94440111020564,2.03420459683748,6.19736266627434,0,0.984781285265795
"ribosomal.large.subunit.assembly..GO.0000027.",0,9.72200555102819,4.7464773926208,0,13.1842848650868,27.5738759874423
"ribosomal.small.subunit.assembly..GO.0000028.",0,1.94440111020564,0.678068198945828,6.19736266627434,0,0
"cell.wall.mannoprotein.biosynthetic.process..GO.0000032.",0,0.48610027755141,0,0,0,0
"transition.metal.ion.transport..GO.0000041.",0,0,0,0,0,0
"protein.targeting.to.Golgi..GO.0000042.",0,0,0.678068198945828,0,1.31842848650868,0
"autophagic.vacuole.assembly..GO.0000045.",5.38527893604525,0,0,0,0,0
"ribosomal.subunit.export.from.nucleus..GO.0000054.",0,0.48610027755141,0.678068198945828,0,0,0.984781285265795
"ribosomal.large.subunit.export.from.nucleus..GO.0000055.",5.38527893604525,3.40270194285987,0,0,0,5.90868771159477
"ribosomal.small.subunit.export.from.nucleus..GO.0000056.",0,0.48610027755141,0.678068198945828,0,0,0
"cell.cycle.checkpoint..GO.0000075.",0,0,0,0,0,0
"DNA.replication.checkpoint..GO.0000076.",0,0,0,3.09868133313717,0,0
"DNA.damage.checkpoint..GO.0000077.",0,0,0,0,0,0
"regulation.of.cyclin.dependent.protein.serine.threonine.kinase.activity..GO.0000079.",0,1.94440111020564,4.7464773926208,6.19736266627434,2.63685697301736,3.93912514106318
"G1.S.transition.of.mitotic.cell.cycle..GO.0000082.",0,0,0,0,0,0.984781285265795
"sulfate.assimilation..GO.0000103.",0,8.74980499592537,12.2052275810249,0,23.7317127571562,30.5282198432396
"histidine.biosynthetic.process..GO.0000105.",0,59.7903341388234,54.2454559156662,15.4934066656858,38.2344261087517,69.9194712538714
"negative.regulation.of.transcription.from.RNA.polymerase.II.promoter..GO.0000122.",0,0,1.35613639789166,0,0,0
"establishment.of.mitotic.spindle.orientation..GO.0000132.",0,0.972200555102819,4.06840919367497,6.19736266627434,3.95528545952604,0
"phosphorelay.signal.transduction.system..GO.0000160.",0,3.88880222041128,0,0,2.63685697301736,4.92390642632897
"tryptophan.biosynthetic.process..GO.0000162.",0,20.9023119347106,20.3420459683748,0,14.5027133515955,27.5738759874423
"MAPK.cascade..GO.0000165.",0,0,0.678068198945828,0,0,0
"activation.of.MAPKK.activity.involved.in.osmosensory.signaling.pathway..GO.0000168.",0,0,0.678068198945828,0,0,0
"chromatin.silencing.at.rDNA..GO.0000183.",0,0.48610027755141,0,0,1.31842848650868,0
"nuclear.transcribed.mRNA.catabolic.process..nonsense.mediated.decay..GO.0000184.",0,4.8610027755141,2.03420459683748,6.19736266627434,2.63685697301736,0
"microtubule.cytoskeleton.organization..GO.0000226.",0,1.94440111020564,0,0,1.31842848650868,1.96956257053159
"spliceosomal.tri.snRNP.complex.assembly..GO.0000244.",0,1.94440111020564,0,0,0,0.984781285265795
"allantoin.catabolic.process..GO.0000256.",0,3.40270194285987,2.03420459683748,0,0,0
"mitochondrial.fission..GO.0000266.",0,0,0,0,0,1.96956257053159
"peptidoglycan.metabolic.process..GO.0000270.",0,15.0691086040937,10.8490911831332,9.2960439994115,46.1449970278038,22.6499695611133
"polysaccharide.biosynthetic.process..GO.0000271.",0,39.3741224816642,44.7525011304246,0,46.1449970278038,18.7108444200501
"polysaccharide.catabolic.process..GO.0000272.",0,3.88880222041128,0,0,0,0
"nuclear.division..GO.0000280.",5.38527893604525,0,0,0,0,0
"cellular.bud.site.selection..GO.0000282.",0,0,0.678068198945828,0,0,0
"deadenylation.dependent.decapping.of.nuclear.transcribed.mRNA..GO.0000290.",0,0.48610027755141,0,0,0,0
"response.to.reactive.oxygen.species..GO.0000302.",0,6.31930360816833,0.678068198945828,0,1.31842848650868,18.7108444200501
"Group.I.intron.splicing..GO.0000372.",0,0,0.678068198945828,0,0,0
"tRNA.type.intron.splice.site.recognition.and.cleavage..GO.0000379.",0,0,0,0,0,0
"spliceosome.conformational.change.to.release.U4..or.U4atac..and.U1..or.U11...GO.0000388.",0,1.94440111020564,2.03420459683748,0,0,0
"mRNA.splicing..via.spliceosome..GO.0000398.",2.69263946802262,13.6108077714395,9.49295478524159,0,0,12.8021567084553
"positive.regulation.of.transcription.by.galactose..GO.0000411.",0,0,0,0,0,0
"histone.peptidyl.prolyl.isomerization..GO.0000412.",0,0.48610027755141,0,0,0,0
"positive.regulation.of.transcription.from.RNA.polymerase.II.promoter.by.galactose..GO.0000435.",0,0,0,0,1.31842848650868,0
"endonucleolytic.cleavage.in.ITS1.to.separate.SSU.rRNA.from.5.8S.rRNA.and.LSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000447.",0,3.40270194285987,1.35613639789166,0,1.31842848650868,0
"maturation.of.SSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000462.",0,0,0,0,0,0
"maturation.of.LSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000463.",0,0,0,0,1.31842848650868,0
"maturation.of.5.8S.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000466.",0,0,0,0,1.31842848650868,0
