"rows.list[[i]]","PHYLLO10","PHYLLO15","PHYLLO23","PHYLLO16","PHYLLO24","PHYLLO25"
"mitochondrion.inheritance..GO.0000001.",0,4.27350776140461,1.90032298715541,8.13866759823709,0,3.84736173165323
"mitochondrial.genome.maintenance..GO.0000002.",0,0,0.380064597431082,0,0,1.64886931356567
"vacuole.inheritance..GO.0000011.",0,0,1.90032298715541,8.13866759823709,0,2.74811552260945
"ribosomal.large.subunit.assembly..GO.0000027.",0,17.0940310456184,11.0218733255014,14.2426682969149,24.6379159093094,15.9390700311348
"ribosomal.small.subunit.assembly..GO.0000028.",0,0,1.52025838972433,0,4.47962107441989,1.64886931356567
"cell.wall.mannoprotein.biosynthetic.process..GO.0000032.",0,0,0,2.03466689955927,0,0
"transition.metal.ion.transport..GO.0000041.",0,0,4.94083976660406,0,0,1.09924620904378
"protein.targeting.to.Golgi..GO.0000042.",0,0,1.52025838972433,0,0,1.64886931356567
"autophagic.vacuole.assembly..GO.0000045.",0,0,0.380064597431082,0,0,0
"ribosomal.subunit.export.from.nucleus..GO.0000054.",0,0,0.380064597431082,4.06933379911855,0,0
"ribosomal.large.subunit.export.from.nucleus..GO.0000055.",0,4.27350776140461,2.66045218201757,8.13866759823709,0,2.19849241808756
"ribosomal.small.subunit.export.from.nucleus..GO.0000056.",0,0,0,0,0,0
"cell.cycle.checkpoint..GO.0000075.",0,0,0,0,0,1.09924620904378
"DNA.replication.checkpoint..GO.0000076.",0,0,0,0,0,0
"DNA.damage.checkpoint..GO.0000077.",0,0,0.380064597431082,0,0,0
"regulation.of.cyclin.dependent.protein.serine.threonine.kinase.activity..GO.0000079.",0,0,5.32090436403515,4.06933379911855,0,6.0458541497408
"G1.S.transition.of.mitotic.cell.cycle..GO.0000082.",0,0,0,0,0,0
"sulfate.assimilation..GO.0000103.",0,36.3248159719392,33.0656199765041,20.3466689955927,17.9184842976796,29.6796476441821
"histidine.biosynthetic.process..GO.0000105.",0,117.521463438627,143.664417828949,101.733344977964,78.3933688023481,147.848615116389
"negative.regulation.of.transcription.from.RNA.polymerase.II.promoter..GO.0000122.",0,0,0,0,0,0
"establishment.of.mitotic.spindle.orientation..GO.0000132.",6.96898946300241,2.1367538807023,2.66045218201757,10.1733344977964,0,3.29773862713134
"phosphorelay.signal.transduction.system..GO.0000160.",0,0,15.5826484946744,6.10400069867782,15.6786737604696,12.0917082994816
"tryptophan.biosynthetic.process..GO.0000162.",0,34.1880620912369,55.869495822369,44.762671790304,71.6739371907183,41.2217328391418
"MAPK.cascade..GO.0000165.",0,0,0,0,0,0
"activation.of.MAPKK.activity.involved.in.osmosensory.signaling.pathway..GO.0000168.",0,0,0,0,0,0
"chromatin.silencing.at.rDNA..GO.0000183.",0,0,0,0,0,0
"nuclear.transcribed.mRNA.catabolic.process..nonsense.mediated.decay..GO.0000184.",0,2.1367538807023,0.760129194862164,2.03466689955927,4.47962107441989,3.29773862713134
"microtubule.cytoskeleton.organization..GO.0000226.",0,2.1367538807023,1.52025838972433,0,0,3.84736173165323
"spliceosomal.tri.snRNP.complex.assembly..GO.0000244.",0,0,0.760129194862164,0,0,1.64886931356567
"allantoin.catabolic.process..GO.0000256.",0,0,2.66045218201757,2.03466689955927,2.23981053720995,5.49623104521891
"mitochondrial.fission..GO.0000266.",0,2.1367538807023,0,0,0,0
