"rows.list[[i]]","PHYLLO09","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29","PHYLLO30"
"mitochondrion.inheritance..GO.0000001.",0,1.32611907257158,2.56678853573549,1.01599682595253,6.19945485074393,1.90142993851192
"mitochondrial.genome.maintenance..GO.0000002.",0,0.663059536285792,2.56678853573549,0.507998412976264,0,0
"vacuole.inheritance..GO.0000011.",0,0.663059536285792,2.56678853573549,1.01599682595253,0,0.950714969255958
"ribosomal.large.subunit.assembly..GO.0000027.",0,10.6089525805727,22.2455006430409,11.1759650854778,24.7978194029757,12.3592946003275
"ribosomal.small.subunit.assembly..GO.0000028.",0,0,0,0,0,0
"cell.wall.mannoprotein.biosynthetic.process..GO.0000032.",0,0,0,0,0,0
"transition.metal.ion.transport..GO.0000041.",0,4.64141675400054,0,3.55598889083385,0,3.80285987702383
"protein.targeting.to.Golgi..GO.0000042.",0,0,1.711192357157,0,0,0
"autophagic.vacuole.assembly..GO.0000045.",0,0,0,0,0,0
"ribosomal.subunit.export.from.nucleus..GO.0000054.",7.07165701146661,0,0,0,0,0
"ribosomal.large.subunit.export.from.nucleus..GO.0000055.",0,1.32611907257158,0.855596178578498,2.53999206488132,0,1.90142993851192
"ribosomal.small.subunit.export.from.nucleus..GO.0000056.",7.07165701146661,1.32611907257158,0.855596178578498,0,0,0
"cell.cycle.checkpoint..GO.0000075.",0,0,1.711192357157,0,0,0
"DNA.replication.checkpoint..GO.0000076.",0,0,0,0,0,0
"DNA.damage.checkpoint..GO.0000077.",0,0,0,0,0,0
"regulation.of.cyclin.dependent.protein.serine.threonine.kinase.activity..GO.0000079.",0,1.32611907257158,1.711192357157,2.03199365190506,0,1.90142993851192
"G1.S.transition.of.mitotic.cell.cycle..GO.0000082.",0,0,0,0,0,0
"sulfate.assimilation..GO.0000103.",0,15.913428870859,26.5234815359334,26.923915887742,0,24.7185892006549
"histidine.biosynthetic.process..GO.0000105.",0,126.644371430586,104.382733786577,144.779547698235,68.1940033581832,140.705815449882
"negative.regulation.of.transcription.from.RNA.polymerase.II.promoter..GO.0000122.",0,0,0,0,0,0
"establishment.of.mitotic.spindle.orientation..GO.0000132.",7.07165701146661,1.98917860885738,3.42238471431399,2.53999206488132,0,1.90142993851192
"phosphorelay.signal.transduction.system..GO.0000160.",0,12.59813118943,15.400731214413,13.2079587373829,0,12.3592946003275
"tryptophan.biosynthetic.process..GO.0000162.",0,36.4682744957186,47.0577898218174,50.7998412976264,18.5983645522318,49.4371784013098
"MAPK.cascade..GO.0000165.",0,0,0,0,0,0
"activation.of.MAPKK.activity.involved.in.osmosensory.signaling.pathway..GO.0000168.",0,0,0,0,0,0
"chromatin.silencing.at.rDNA..GO.0000183.",0,0,0,0.507998412976264,0,0
"nuclear.transcribed.mRNA.catabolic.process..nonsense.mediated.decay..GO.0000184.",0,1.98917860885738,1.711192357157,0,6.19945485074393,0
"microtubule.cytoskeleton.organization..GO.0000226.",0,0,0,0,0,0
"spliceosomal.tri.snRNP.complex.assembly..GO.0000244.",0,0,0,0,0,0
"allantoin.catabolic.process..GO.0000256.",0,5.30447629028633,7.70036560720648,5.5879825427389,12.3989097014879,5.70428981553575
"mitochondrial.fission..GO.0000266.",0,0,0,0,6.19945485074393,0
"peptidoglycan.metabolic.process..GO.0000270.",0,17.2395479434306,17.11192357157,25.9079190617895,0,24.7185892006549
"polysaccharide.biosynthetic.process..GO.0000271.",0,94.1544541525824,77.8592522506433,81.7877444891785,49.5956388059514,79.8600574175004
"polysaccharide.catabolic.process..GO.0000272.",0,3.31529768142896,0.855596178578498,3.55598889083385,0,3.80285987702383
"nuclear.division..GO.0000280.",0,0,0,0,0,0
"cellular.bud.site.selection..GO.0000282.",0,0,0.855596178578498,0,0,0
"deadenylation.dependent.decapping.of.nuclear.transcribed.mRNA..GO.0000290.",0,0,0,0,0,0
"response.to.reactive.oxygen.species..GO.0000302.",0,4.64141675400054,4.27798089289249,11.1759650854778,24.7978194029757,12.3592946003275
"Group.I.intron.splicing..GO.0000372.",0,0,0,0,0,0
"tRNA.type.intron.splice.site.recognition.and.cleavage..GO.0000379.",0,0,0.855596178578498,0,0,0
"spliceosome.conformational.change.to.release.U4..or.U4atac..and.U1..or.U11...GO.0000388.",0,4.64141675400054,0,0,0,0
"mRNA.splicing..via.spliceosome..GO.0000398.",0,0,0.855596178578498,3.04799047785758,0,2.85214490776787
"positive.regulation.of.transcription.by.galactose..GO.0000411.",0,0,0,0,0,0
"histone.peptidyl.prolyl.isomerization..GO.0000412.",0,0,0,0,0,0
"positive.regulation.of.transcription.from.RNA.polymerase.II.promoter.by.galactose..GO.0000435.",0,0,0,0,0,0
"endonucleolytic.cleavage.in.ITS1.to.separate.SSU.rRNA.from.5.8S.rRNA.and.LSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000447.",0,0.663059536285792,0.855596178578498,0.507998412976264,18.5983645522318,1.90142993851192
"maturation.of.SSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000462.",0,0,0,0,0,0
"maturation.of.LSU.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000463.",0,0,0.855596178578498,0.507998412976264,0,0
"maturation.of.5.8S.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000466.",0,0,0.855596178578498,0.507998412976264,0,0
"exonucleolytic.trimming.to.generate.mature.3..end.of.5.8S.rRNA.from.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000467.",0,0,0,0,12.3989097014879,0.950714969255958
"endonucleolytic.cleavage.to.generate.mature.5..end.of.SSU.rRNA.from..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000472.",0,0.663059536285792,0,0.507998412976264,18.5983645522318,1.90142993851192
"endonucleolytic.cleavage.in.5..ETS.of.tricistronic.rRNA.transcript..SSU.rRNA..5.8S.rRNA..LSU.rRNA...GO.0000480.",0,0.663059536285792,0,0.507998412976264,18.5983645522318,1.90142993851192
"box.H.ACA.snoRNA.3..end.processing..GO.0000495.",0,0,0,0,0,0
"transcription.coupled.nucleotide.excision.repair..DNA.damage.recognition..GO.0000716.",0,65.6428940922934,50.4801745361314,75.1837651204871,30.9972742537197,72.2543376634528
"telomere.maintenance..GO.0000723.",7.07165701146661,27.8485005240033,8.55596178578498,10.1599682595253,43.3961839552075,13.3100095695834
"double.strand.break.repair.via.homologous.recombination..GO.0000724.",0,3.31529768142896,0.855596178578498,2.03199365190506,12.3989097014879,2.85214490776787
"double.strand.break.repair.via.break.induced.replication..GO.0000727.",0,0,0,0,6.19945485074393,0
"DNA.synthesis.involved.in.DNA.repair..GO.0000731.",0,0,0,0,0,0
"gene.conversion.at.mating.type.locus..DNA.repair.synthesis..GO.0000734.",0,0,0,0,0,0
"DNA.catabolic.process..exonucleolytic..GO.0000738.",0,3.97835721771475,4.27798089289249,3.55598889083385,0,3.80285987702383
"conjugation..GO.0000746.",0,3.97835721771475,2.56678853573549,19.303939693098,0,18.0635844158632
"conjugation.with.cellular.fusion..GO.0000747.",0,0,0,0,0,0
"pheromone.dependent.signal.transduction.involved.in.conjugation.with.cellular.fusion..GO.0000750.",0,0,0,0,0,0
"adaptation.of.signaling.pathway.by.response.to.pheromone.involved.in.conjugation.with.cellular.fusion..GO.0000754.",0,0.663059536285792,0,0,0,0
"cell.morphogenesis..GO.0000902.",0,40.4466317134333,43.6354051075034,45.2118587548875,55.7950936566954,46.5850334935419
"regulation.of.cell.shape.during.vegetative.growth.phase..GO.0000903.",0,0,0,0,0,0
"cytokinesis..GO.0000910.",0,0,0,0,0,0
"actomyosin.contractile.ring.contraction..GO.0000916.",0,0,0,0,0,0
"barrier.septum.assembly..GO.0000917.",0,61.0014773382929,41.9242127503464,54.3558301884602,24.7978194029757,53.2400382783336
"barrier.septum.site.selection..GO.0000918.",0,4.64141675400054,2.56678853573549,15.2399523892879,0,14.2607245388394
"septin.ring.assembly..GO.0000921.",0,0,0,0,0,0
"amino.acid.catabolic.process.to.alcohol.via.Ehrlich.pathway..GO.0000947.",0,0,0,0,0,0
"posttranscriptional.tethering.of.RNA.polymerase.II.gene.DNA.at.nuclear.periphery..GO.0000973.",0,0,0,0,0,0
"transcription.initiation.from.bacterial.type.RNA.polymerase.promoter..GO.0001123.",0,23.8701433062885,24.8122891787764,40.1318746251248,0,38.0285987702383
"chronological.cell.aging..GO.0001300.",0,0,0,0,6.19945485074393,0
"replicative.cell.aging..GO.0001302.",0,0,0,0.507998412976264,0,0
"invasive.growth.in.response.to.glucose.limitation..GO.0001403.",0,0,0,0,0,0
"RNA.methylation..GO.0001510.",0,1.32611907257158,0,1.01599682595253,0,0.950714969255958
"selenocysteine.incorporation..GO.0001514.",0,9.28283350800109,11.978346500099,5.5879825427389,0,5.70428981553575
"pseudouridine.synthesis..GO.0001522.",35.358285057333,83.5455015720098,70.1588866434368,74.1677682945345,49.5956388059514,73.2050526327087
"cilium.or.flagellum.dependent.cell.motility..GO.0001539.",0,121.3398951403,104.382733786577,146.81154135014,0,136.902955572858
"oocyte.maturation..GO.0001556.",0,0,0,0,0,0
"regulation.of.cell.growth..GO.0001558.",0,0,0.855596178578498,0,0,0
"response.to.hypoxia..GO.0001666.",0,0,0,0,0,0
"tRNA.3..terminal.CCA.addition..GO.0001680.",0,3.97835721771475,7.70036560720648,5.5879825427389,0,5.70428981553575
"tRNA.5..leader.removal..GO.0001682.",0,0,0.855596178578498,0,0,0
"formation.of.translation.preinitiation.complex..GO.0001731.",0,1.98917860885738,0,0.507998412976264,0,0
"neuron.migration..GO.0001764.",0,0,0,0,0,0
"neural.tube.formation..GO.0001841.",0,0,0,0,0,0
"positive.regulation.of.cell.matrix.adhesion..GO.0001954.",0,0,0,0,0,0
"startle.response..GO.0001964.",0,0,0,0,0,0
"brain.renin.angiotensin.system..GO.0002035.",0,0,0,0,0,0
"pyoverdine.biosynthetic.process..GO.0002049.",0,0,0,0,0,0
"optic.cup.morphogenesis.involved.in.camera.type.eye.development..GO.0002072.",0,0,0,0,6.19945485074393,0
"tRNA.wobble.base.modification..GO.0002097.",0,4.64141675400054,9.41155796436348,1.52399523892879,0,1.90142993851192
"tRNA.wobble.uridine.modification..GO.0002098.",0,27.1854409877175,20.5343082858839,30.4799047785758,0,28.5214490776787
"tRNA.wobble.adenosine.to.inosine.editing..GO.0002100.",7.07165701146661,6.63059536285792,0.855596178578498,6.60397936869143,0,5.70428981553575
"tRNA.wobble.cytosine.modification..GO.0002101.",0,0,5.13357707147099,1.52399523892879,6.19945485074393,1.90142993851192
"inter.male.aggressive.behavior..GO.0002121.",0,0,0,0,0,0
"tRNA.nucleoside.ribose.methylation..GO.0002128.",7.07165701146661,0.663059536285792,1.711192357157,0,0,0
"retinoic.acid.biosynthetic.process..GO.0002138.",0,0,0,0,6.19945485074393,0
"tRNA.wobble.position.uridine.thiolation..GO.0002143.",0,0,2.56678853573549,0.507998412976264,0,0
"type.B.pancreatic.cell.development..GO.0003323.",0,0,0,0,0,0
"amino.acid.transmembrane.transport..GO.0003333.",0,1.32611907257158,27.3790777145119,2.53999206488132,0,1.90142993851192
