"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO21","PHYLLO12","PHYLLO14","PHYLLO22"
"X7.transmembrane.receptor..rhodopsin.family...PF00001.",2.45009843976492,0,0,0,0,9.08110081214152
"X7.transmembrane.receptor..Secretin.family...PF00002.",2.45009843976492,0,0.716210422495497,0,0,2.01802240269812
"X7.transmembrane.sweet.taste.receptor.of.3.GCPR..PF00003.",0,0,0,0,0,0
"ATPase.family.associated.with.various.cellular.activities..AAA...PF00004.",0,159.437996242006,141.093453231613,0,56.0068942425168,164.468825819896
"ABC.transporter..PF00005.",0,476.295786241942,425.428990962325,0,372.567600830655,345.081830861378
"ATP.synthase.alpha.beta.family..nucleotide.binding.domain..PF00006.",0,53.4823658280147,50.8509399971803,0,36.5262353755544,81.7299073092737
"EGF.like.domain..PF00008.",4.90019687952984,0,0,0,0,12.1081344161887
"Elongation.factor.Tu.GTP.binding.domain..PF00009.",0,107.469282277048,100.985669571865,0,31.6560706588138,169.513881826642
"Helix.loop.helix.DNA.binding.domain..PF00010.",0,0.504550621019007,2.86484168998199,0,0,5.04505600674529
"Hsp20.alpha.crystallin.family..PF00011.",0,0,2.86484168998199,0,0,0
"Hsp70.protein..PF00012.",0,44.9050052706916,32.2294690122974,9.96867331195898,13.3929529710366,52.468582470151
"KH.domain..PF00013.",0,22.2002273248363,15.0404188724054,0,0,22.1982464296793
"Kunitz.Bovine.pancreatic.trypsin.inhibitor.domain..PF00014.",0,0,0,0,0,0
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.",0,46.4186571337486,54.4319921096578,0,64.5296824968128,0
"Ribulose.bisphosphate.carboxylase.large.chain..catalytic.domain..PF00016.",0,3.02730372611404,2.14863126748649,0,1.21754117918515,1.00901120134906
"SH2.domain..PF00017.",0,0,0,0,0,2.01802240269812
"SH3.domain..PF00018.",0,5.55005683120908,7.16210422495497,0,4.87016471674059,14.1261568188868
"TNFR.NGFR.cysteine.rich.region..PF00020.",0,0,0,2.49216832798974,0,0
"Actin..PF00022.",0,1.00910124203801,2.14863126748649,0,0,0
"Ankyrin.repeat..PF00023.",0,13.1183161464942,5.72968337996398,0,4.87016471674059,8.07208961079246
"PAN.domain..PF00024.",2.45009843976492,0.504550621019007,0.716210422495497,0,0,2.01802240269812
"ADP.ribosylation.factor.family..PF00025.",0,2.01820248407603,0,0,0,0
"Eukaryotic.aspartyl.protease..PF00026.",0,4.03640496815205,0,0,0,0
"Cyclic.nucleotide.binding.domain..PF00027.",0,20.6865754617793,13.6079980274145,0,15.8280353294069,14.1261568188868
"Cadherin.domain..PF00028.",7.35029531929476,0,4.29726253497298,0,0,6.05406720809435
"Beta.Gamma.crystallin..PF00030.",0,0,0,0,0,0
"Cytochrome.b.C.terminal..b6.petD..PF00032.",0,18.1638223566842,15.7566292949009,0,10.9578706126663,2.01802240269812
"Cytochrome.b.N.terminal..b6.petB..PF00033.",0,1.00910124203801,9.31073549244147,4.98433665597949,1.21754117918515,4.03604480539623
"Cytochrome.c..PF00034.",0,11.6046642834372,12.891787604919,9.96867331195898,13.3929529710366,0
"Double.stranded.RNA.binding.motif..PF00035.",0,1.00910124203801,3.58105211247749,0,9.74032943348118,6.05406720809435
"EF.hand..PF00036.",0,0,0,0,0,2.01802240269812
"X4Fe.4S.binding.domain..PF00037.",0,1.51365186305702,1.43242084499099,0,0,2.01802240269812
"Fibronectin.type.III.domain..PF00041.",0,7.0637086942661,3.58105211247749,0,0,11.0991232148396
"Globin..PF00042.",0,7.5682593152851,7.87831464745047,12.4608416399487,9.74032943348118,3.02703360404717
"Glutathione.S.transferase..C.terminal.domain..PF00043.",0,14.1274173885322,23.6349439423514,4.98433665597949,14.6104941502218,13.1171456175378
"Glyceraldehyde.3.phosphate.dehydrogenase..NAD.binding.domain..PF00044.",0,13.1183161464942,16.4728397173964,0,13.3929529710366,12.1081344161887
"Hemopexin..PF00045.",0,0,0,0,0,0
"Homeobox.domain..PF00046.",0,1.51365186305702,1.43242084499099,2.49216832798974,1.21754117918515,4.03604480539623
"Kazal.type.serine.protease.inhibitor.domain..PF00050.",0,0,0,0,0,1.00901120134906
"Kringle.domain..PF00051.",4.90019687952984,0,0,0,0,0
"PF00052",0,0,0,0,0,1.00901120134906
"Laminin.EGF.like..Domains.III.and.V...PF00053.",0,0,0,0,0,5.04505600674529
"Laminin.G.domain..PF00054.",2.45009843976492,0,0,0,0,6.05406720809435
"lactate.malate.dehydrogenase..NAD.binding.domain..PF00056.",0,2.52275310509503,2.86484168998199,0,0,5.04505600674529
"Low.density.lipoprotein.receptor.domain.class.A..PF00057.",0,0,0,0,0,9.08110081214152
"Low.density.lipoprotein.receptor.repeat.class.B..PF00058.",0,0,0,0,0,5.04505600674529
"Lectin.C.type.domain..PF00059.",0,0,0,0,0,1.00901120134906
"Ligand.gated.ion.channel..PF00060.",0,0,0,0,0,1.00901120134906
"Myosin.head..motor.domain...PF00063.",0,5.04550621019007,14.3242084499099,7.47650498396923,6.08770589592574,15.1351680202359
"Neuraminidase..PF00064.",0,0,10.026945914937,14.9530099679385,0,0
"LNR.domain..PF00066.",0,0,0,0,0,0
"Cytochrome.P450..PF00067.",0,48.4368596178247,30.0808377448109,0,9.74032943348118,19.1712128256321
"Protein.kinase.domain..PF00069.",0,89.8100105413832,89.5263028119372,0,36.5262353755544,42.3784704566604
"Pyridine.nucleotide.disulphide.oxidoreductase..PF00070.",0,104.441978550934,113.877457176784,0,48.7016471674059,76.6848513025284
"Ras.family..PF00071.",0,6.55915807324709,7.16210422495497,12.4608416399487,2.4350823583703,4.03604480539623
"Response.regulator.receiver.domain..PF00072.",0,259.843569824789,270.727539703298,0,185.066259236142,124.108377765934
"RNase.H..PF00075.",0,10.5955630413991,7.16210422495497,2.49216832798974,10.9578706126663,13.1171456175378
"RNA.recognition.motif...a.k.a..RRM..RBD..or.RNP.domain...PF00076.",0,15.1365186305702,14.3242084499099,7.47650498396923,20.6982000461475,24.2162688323774
"Retroviral.aspartyl.protease..PF00077.",0,0,0.716210422495497,0,1.21754117918515,58.5226496782454
"Reverse.transcriptase..RNA.dependent.DNA.polymerase...PF00078.",0,0,0,0,0,164.468825819896
"Serpin..serine.protease.inhibitor...PF00079.",0,0,0,0,0,0
"Copper.zinc.superoxide.dismutase..SODC...PF00080.",0,0.504550621019007,4.29726253497298,0,1.21754117918515,1.00901120134906
"Iron.manganese.superoxide.dismutases..alpha.hairpin.domain..PF00081.",0,4.54095558917106,4.29726253497298,0,6.08770589592574,1.00901120134906
"Subtilase.family..PF00082.",0,11.6046642834372,23.6349439423514,0,0,6.05406720809435
"Sugar..and.other..transporter..PF00083.",0,91.8282130254592,88.8100923894417,39.8746932478359,93.7506707972564,67.6037504903869
"Sushi.domain..SCR.repeat...PF00084.",0,0,0,0,0,3.02703360404717
"Thioredoxin..PF00085.",0,13.1183161464942,9.31073549244147,19.937346623918,2.4350823583703,6.05406720809435
"Trypsin..PF00089.",0,2.52275310509503,4.29726253497298,9.96867331195898,0,3.02703360404717
"Thrombospondin.type.1.domain..PF00090.",0,0,0,0,0,1.00901120134906
"Tubulin.FtsZ.family..GTPase.domain..PF00091.",0,7.5682593152851,8.59452506994597,0,0,37.3334144499151
"von.Willebrand.factor.type.A.domain..PF00092.",0,2.52275310509503,0,0,0,0
"von.Willebrand.factor.type.C.domain..PF00093.",0,0,0,0,0,1.00901120134906
"PF00094",0,0,0,0,0,0
"Zinc.finger..C2H2.type..PF00096.",2.45009843976492,5.04550621019007,2.14863126748649,0,0,15.1351680202359
"Zinc.finger..C3HC4.type..RING.finger...PF00097.",0,4.03640496815205,0,0,2.4350823583703,0
"Zinc.knuckle..PF00098.",0,19.1729235987223,12.1755771824235,9.96867331195898,41.396400092295,31.2793472418208
"Zona.pellucida.like.domain..PF00100.",2.45009843976492,0,0,0,0,3.02703360404717
"Ribulose.bisphosphate.carboxylase..small.chain..PF00101.",0,0.504550621019007,1.43242084499099,0,0,0
"Protein.tyrosine.phosphatase..PF00102.",0,0.504550621019007,1.43242084499099,0,2.4350823583703,5.04505600674529
"Ligand.binding.domain.of.nuclear.hormone.receptor..PF00104.",0,0,0,0,0,2.01802240269812
"Zinc.finger..C4.type..two.domains...PF00105.",0,0,0,0,0,2.01802240269812
"short.chain.dehydrogenase..PF00106.",0,126.642205875771,101.701879994361,0,48.7016471674059,46.4145152620567
"Zinc.binding.dehydrogenase..PF00107.",0,103.937427929915,115.309878021775,0,38.9613177339247,57.5136384768963
"Thiolase..N.terminal.domain..PF00108.",0,45.9141065127296,47.2698878847028,0,20.6982000461475,52.468582470151
"Beta.ketoacyl.synthase..N.terminal.domain..PF00109.",0,46.4186571337486,45.1212566172163,0,0,30.2703360404717
"wnt.family..PF00110.",0,0,0,0,0,0
"X2Fe.2S.iron.sulfur.cluster.binding.domain..PF00111.",0,28.2548347770644,35.0943107022794,0,0,10.0901120134906
"Papain.family.cysteine.protease..PF00112.",0,0.504550621019007,0,0,0,0
"Enolase..C.terminal.TIM.barrel.domain..PF00113.",0,10.5955630413991,12.1755771824235,0,0,4.03604480539623
"Pilin..bacterial.filament...PF00114.",0,0,2.86484168998199,2.49216832798974,0,0
"Cytochrome.C.and.Quinol.oxidase.polypeptide.I..PF00115.",0,63.0688276273758,74.4858839395317,0,18.2631176877772,44.3964928593586
