"rows.list[[i]]","PHYLLO10","PHYLLO15","PHYLLO23","PHYLLO16","PHYLLO24","PHYLLO25"
"X7.transmembrane.receptor..rhodopsin.family...PF00001.",0,0,0.402197376856491,0,6.0752978895275,0
"X7.transmembrane.receptor..Secretin.family...PF00002.",0,0,0,0,4.05019859301833,0
"X7.transmembrane.sweet.taste.receptor.of.3.GCPR..PF00003.",0,0,0,0,4.05019859301833,0
"ATPase.family.associated.with.various.cellular.activities..AAA...PF00004.",0,242.901427077456,356.749073271708,230.904899223235,180.233837389316,313.882737151073
"ABC.transporter..PF00005.",425.519574023426,949.339744161059,1288.23819807134,1038.16297209817,1049.00143559175,1309.72652911959
"ATP.synthase.alpha.beta.family..nucleotide.binding.domain..PF00006.",78.2564733836186,95.1363922720037,147.606437306332,139.997458584166,85.054170453385,132.666264803061
"EGF.like.domain..PF00008.",0,0,0.402197376856491,0,0,0
"Elongation.factor.Tu.GTP.binding.domain..PF00009.",347.263100639808,253.02231987235,312.507361817494,285.449363606676,149.857347941678,330.254318765068
"Helix.loop.helix.DNA.binding.domain..PF00010.",0,0,5.63076327599088,1.81814881278138,2.02509929650917,2.25814918813722
"Hsp20.alpha.crystallin.family..PF00011.",0,2.0241785589788,5.63076327599088,0,0,5.64537297034304
"Hsp70.protein..PF00012.",9.78205917295232,58.7011782103853,96.5273704455579,69.0896548856923,52.6525817092383,76.212535099631
"KH.domain..PF00013.",4.89102958647616,42.5077497385549,63.5471855433256,67.2715060729109,12.150595779055,65.4863264559793
"Kunitz.Bovine.pancreatic.trypsin.inhibitor.domain..PF00014.",0,0,0.402197376856491,0,0,0
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.",63.5833846241901,95.1363922720037,263.841479217858,67.2715060729109,326.040986737976,301.462916616318
"Ribulose.bisphosphate.carboxylase.large.chain..catalytic.domain..PF00016.",0,2.0241785589788,0.402197376856491,1.81814881278138,0,1.69361189110291
"SH2.domain..PF00017.",0,0,0,0,2.02509929650917,0
"SH3.domain..PF00018.",0,0,5.22856589913438,0,2.02509929650917,7.90352215848026
"TNFR.NGFR.cysteine.rich.region..PF00020.",0,0,0,0,0,0
"Actin..PF00022.",0,0,4.4241711454214,0,0,3.38722378220582
"Ankyrin.repeat..PF00023.",0,10.120892794894,12.0659213056947,1.81814881278138,0,15.2425070199262
