"rows.list[[i]]","PHYLLO09","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29","PHYLLO30"
"X7.transmembrane.receptor..rhodopsin.family...PF00001.",0,0,0,0,0,0
"X7.transmembrane.receptor..Secretin.family...PF00002.",3.18662133539392,0,0,0,0,0
"X7.transmembrane.sweet.taste.receptor.of.3.GCPR..PF00003.",0,0,0,0,0,0
"ATPase.family.associated.with.various.cellular.activities..AAA...PF00004.",0,340.01849501157,338.654953003365,343.276248449923,131.629029786009,326.036204548366
"ABC.transporter..PF00005.",0,1329.8351810828,1330.56761364674,1303.82465837657,294.84902672066,1220.25246146757
"ATP.synthase.alpha.beta.family..nucleotide.binding.domain..PF00006.",0,131.706768818711,140.464838461623,158.875957173333,42.1212895315228,148.71826874136
"EGF.like.domain..PF00008.",0,0,0.96208793466865,0,5.26516119144035,0
"Elongation.factor.Tu.GTP.binding.domain..PF00009.",0,356.817827769058,325.185721918004,320.877343012371,63.1819342972842,299.343181953763
"Helix.loop.helix.DNA.binding.domain..PF00010.",0,0,1.9241758693373,0,0,0
"Hsp20.alpha.crystallin.family..PF00011.",0,8.73565303389408,16.3554948893671,4.68814299855737,0,3.81328894208615
"Hsp70.protein..PF00012.",0,77.9489039947472,81.7774744468353,75.0102879769179,0,68.6392009575507
"KH.domain..PF00013.",0,51.7419448930649,50.0285726027698,46.8814299855737,21.0606447657614,44.8061450695122
"Kunitz.Bovine.pancreatic.trypsin.inhibitor.domain..PF00014.",0,0,0,0,0,0
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.",15.9331066769696,166.649380954287,139.502750526954,247.950674145923,0,226.890692054126
"Ribulose.bisphosphate.carboxylase.large.chain..catalytic.domain..PF00016.",0,3.35986655149772,0.96208793466865,4.68814299855737,0,3.81328894208615
"SH2.domain..PF00017.",0,0,0,0,0,0
"SH3.domain..PF00018.",0,2.68789324119818,0.96208793466865,0.520904777617485,0,0
"TNFR.NGFR.cysteine.rich.region..PF00020.",0,0,0,0,0,0
"Actin..PF00022.",0,0,0,0,0,0
"Ankyrin.repeat..PF00023.",0,4.03183986179727,6.73461554268055,6.77176210902731,0,5.71993341312922
"PAN.domain..PF00024.",3.18662133539392,0.671973310299545,0,1.56271433285246,5.26516119144035,1.90664447104307
"ADP.ribosylation.factor.family..PF00025.",0,0.671973310299545,0,2.08361911046994,0,1.90664447104307
"Eukaryotic.aspartyl.protease..PF00026.",0,0,2.88626380400595,1.56271433285246,0,1.90664447104307
"Cyclic.nucleotide.binding.domain..PF00027.",3.18662133539392,76.6049573741481,39.4456053214147,77.0939070873878,10.5303223828807,71.4991676641153
"Cadherin.domain..PF00028.",0,0.671973310299545,1.9241758693373,2.08361911046994,0,1.90664447104307
"Beta.Gamma.crystallin..PF00030.",0,0,0,0,0,0
"Cytochrome.b.C.terminal..b6.petD..PF00032.",0,16.1273594471891,12.5071431506925,31.7751914346666,0,28.5996670656461
"Cytochrome.b.N.terminal..b6.petB..PF00033.",0,10.7515729647927,9.6208793466865,10.4180955523497,0,9.53322235521537
"Cytochrome.c..PF00034.",0,46.3661584106686,31.7489018440655,42.1932869870163,5.26516119144035,39.086211656383
"Double.stranded.RNA.binding.motif..PF00035.",0,9.40762634419363,2.88626380400595,11.4599051075847,10.5303223828807,11.4398668262584
"EF.hand..PF00036.",0,0,0,0,0,0
"X4Fe.4S.binding.domain..PF00037.",0,8.73565303389408,4.81043967334325,14.5853337732896,0,13.3465112973015
"Fibronectin.type.III.domain..PF00041.",0,63.1654911681572,17.3175828240357,22.3989054375519,0,20.9730891814738
"Globin..PF00042.",0,5.37578648239636,7.6967034773492,2.08361911046994,10.5303223828807,2.85996670656461
"Glutathione.S.transferase..C.terminal.domain..PF00043.",0,24.8630124810832,34.6351656480714,27.6079532137267,0,24.78637812356
"Glyceraldehyde.3.phosphate.dehydrogenase..NAD.binding.domain..PF00044.",0,40.3183986179727,37.5214294520774,27.6079532137267,0,24.78637812356
"Hemopexin..PF00045.",3.18662133539392,0,0,0,0,0
"Homeobox.domain..PF00046.",0,1.34394662059909,0,0,0,0
"Kazal.type.serine.protease.inhibitor.domain..PF00050.",0,0,0,0,0,0
"Kringle.domain..PF00051.",0,0,0,0,0,0
"PF00052",0,0,0,0.520904777617485,0,0
"Laminin.EGF.like..Domains.III.and.V...PF00053.",0,0,0,0,0,0
"Laminin.G.domain..PF00054.",0,0,0,0,5.26516119144035,0
