"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO21","PHYLLO12","PHYLLO14","PHYLLO22"
"Abiotrophia",0,0,0,0,0,0
"Acanthamoeba",0,0,0,0,0,0
"Acaryochloris",0,0,0,0,0,0
"Acetobacter",0,0.909528493541496,1.59067105446229,1.55843281920875,0,0
"X.Acetobacteraceae.",0,31.8334972739524,23.8600658169343,0,0,1.08096900525331
"Acetohalobium",0,0,0,0,0,0
"Acetonema",0,0,0,0,0,0
"X.Acetothermia.",0,0,0,0,0,0
"Acholeplasma",0,0,0,0,0,0
"Achromobacter",0,0,0,0,0,0
"X.Acidaminococcaceae.",0,0.454764246770748,0,0,0,0
"Acidaminococcus",0,0,0,0,0,0
"Acidianus",0,0,0,0,0,0
"Acidilobus",0,0,0,0,0,0
"X.Acidimicrobiaceae.",0,0,0,0,0,0
"Acidimicrobium",0,0,0,0,0,0
"Acidiphilium",0,0.909528493541496,0,0,0,0
"Acidithiobacillus",0,0,0,0,1.30452551516877,0
"X.Acidobacteria.",0,0,0,0,0,0
"X.Acidobacteriaceae.",0,0,0,0,0,0
"X.Acidobacteriales.",0,0,0,0,0,0
"Acidobacterium",0,0,0,0,0,3.24290701575993
"Acidocella",0,0.454764246770748,3.18134210892457,0,0,0
"Acidomonas",0,0.454764246770748,0,0,0,0
"Acidothermus",0,0,0,0,0,0
"Acidovorax",0,0,0,0,0,0
"Acinetobacter",0,4883.25848182429,4205.73426799828,1368.30401526528,2963.88197046345,6772.27081791198
"Acremonium",0,0.454764246770748,0,1.55843281920875,0,0
"Acromyrmex",0,0,0.795335527231143,0,0,0
"Acropora",0,0,0,0,0,0
"Actibacterium",0,0,0,0,0,0
"Actinobacillus",0,0,0,0,1.30452551516877,0
"X.Actinobacteria.",0,18.6453341176007,0,0,0,0
"Actinobaculum",0,0,0,0,0,0
"Actinokineospora",0,0,0,0,0,0
"Actinomyces",0,2.27382123385374,0,0,0,0
"X.Actinomycetaceae.",0,0.454764246770748,0,0,0,0
"X.Actinomycetales.",0,597.560220256763,0,0,0,0
"Actinoplanes",0,6.36669945479047,0,0,0,0
"Actinosynnema",0,0.454764246770748,0,0,0,0
"Actinotalea",0,0.909528493541496,1.59067105446229,0,2.60905103033754,0
"Acyrthosiphon",0,10.4595776757272,5.567348690618,4.67529845762625,36.5267144247256,167.550195814263
"X.Adenoviridae.",0,0,0,0,0,0
"Adineta",0,0,0,0,0,0
"Adlercreutzia",0,0,0,0,0,0
"Advenella",0,3.63811397416598,2.38600658169343,0,0,0
"Aedes",4.75287309744825,0.454764246770748,0,0,0,1.08096900525331
"Aequorivita",0,0.454764246770748,11.134697381236,0,1.30452551516877,0
"X.Aerococcaceae.",0,0,0,0,0,0
