"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO21","PHYLLO12","PHYLLO14","PHYLLO22"
"ribosomal.protein.L35..TIGR00001.",0,0,1.45659083464021,2.15765038876728,0,0
"ribosomal.protein.S16..TIGR00002.",0,0.531603272147613,1.45659083464021,0,0,1.04984741681359
"copper.ion.binding.protein..TIGR00003.",0,10.6320654429523,9.46784042516136,23.73415427644,1.14870501038865,12.5981690017631
"reactive.intermediate.imine.deaminase..TIGR00004.",0,1.06320654429523,1.45659083464021,4.31530077753455,1.14870501038865,1.04984741681359
"pseudouridine.synthase..RluA.family..TIGR00005.",4.35448311003511,18.0745112530188,6.55465875588094,0,17.2305751558297,27.2960328371535
"X16S.rRNA..cytosine.1402..N.4...methyltransferase..TIGR00006.",0,2.12641308859045,3.64147708660052,2.15765038876728,3.44611503116594,2.09969483362719
"X1..5.phosphoribosyl..5...5.phosphoribosylamino.methylideneamino.imidazole.4.carboxamide.isomerase..TIGR00007.",0,3.18961963288568,7.28295417320105,4.31530077753455,2.2974100207773,8.39877933450876
"translation.initiation.factor.IF.1..TIGR00008.",0,2.65801636073807,2.91318166928042,0,1.14870501038865,1.04984741681359
"ribosomal.protein.L28..TIGR00009.",0,2.12641308859045,2.18488625196031,4.31530077753455,4.59482004155459,3.14954225044078
"hydrolase..TatD.family..TIGR00010.",0,6.37923926577136,6.55465875588094,4.31530077753455,5.74352505194324,4.19938966725438
"Cys.tRNA.Pro..deacylase..TIGR00011.",0,1.06320654429523,0.728295417320105,6.47295116630183,0,0
"ribosomal.protein.L29..TIGR00012.",0,0.531603272147613,3.64147708660052,2.15765038876728,0,0
"X4.oxalocrotonate.tautomerase.family.enzyme..TIGR00013.",0,0,0,0,0,0
"arsenate.reductase..glutaredoxin...TIGR00014.",0,7.9740490822142,5.09806792124073,0,2.2974100207773,2.09969483362719
"acetate.kinase..TIGR00016.",0,3.18961963288568,4.36977250392063,0,2.2974100207773,8.39877933450876
"cytidylate.kinase..TIGR00017.",0,2.12641308859045,0.728295417320105,0,0,0
"pantoate..beta.alanine.ligase..TIGR00018.",0,4.25282617718091,5.82636333856084,0,0,1.04984741681359
"peptide.chain.release.factor.1..TIGR00019.",0,10.1004621708047,5.09806792124073,6.47295116630183,2.2974100207773,8.39877933450876
"peptide.chain.release.factor.2..TIGR00020.",0,6.91084253791897,3.64147708660052,0,4.59482004155459,10.4984741681359
"ribose.5.phosphate.isomerase.A..TIGR00021.",0,5.84763599362374,3.64147708660052,0,3.44611503116594,5.24923708406797
"YhcH.YjgK.YiaL.family.protein..TIGR00022.",0,0.531603272147613,0,0,1.14870501038865,0
"acyl.phosphate.glycerol.3.phosphate.acyltransferase..TIGR00023.",0,0,0,0,1.14870501038865,0
"ABC.transporter.efflux.protein..DrrB.family..TIGR00025.",0,0,0,0,0,0
"deazaflavin.dependent.oxidoreductase..nitroreductase.family..TIGR00026.",0,0,0,0,0,0
"methyltransferase..TIGR00027.family..TIGR00027.",0,0,0,0,0,0
"ribosomal.protein.S20..TIGR00029.",0,0,1.45659083464021,0,1.14870501038865,2.09969483362719
"ribosomal.protein.S21..TIGR00030.",0,0,0,0,2.2974100207773,3.14954225044078
"UDP.galactopyranose.mutase..TIGR00031.",0,2.65801636073807,0,0,0,4.19938966725438
"argininosuccinate.synthase..TIGR00032.",0,17.0113047087236,16.0224991810423,6.47295116630183,13.7844601246638,26.2461854203399
"chorismate.synthase..TIGR00033.",0,4.25282617718091,5.82636333856084,0,3.44611503116594,3.14954225044078
"X3.deoxy.7.phosphoheptulonate.synthase..TIGR00034.",0,12.7584785315427,6.55465875588094,0,8.04093507272053,17.8474060858311
"aspartate.racemase..TIGR00035.",0,0,0,0,0,1.04984741681359
"X4.hydroxy.tetrahydrodipicolinate.reductase..TIGR00036.",0,3.18961963288568,10.1961358424815,0,5.74352505194324,8.39877933450876
"translation.elongation.factor.IF5A..TIGR00037.",0,0,0,0,0,0
"translation.elongation.factor.P..TIGR00038.",0,2.65801636073807,8.01124959052115,0,0,6.29908450088157
"X6.pyruvoyl.tetrahydropterin.synthase.QueD.family.protein..TIGR00039.",0,0,0,0,0,0
"phosphodiesterase..MJ0936.family..TIGR00040.",0,0,0,0,0,0
"dTMP.kinase..TIGR00041.",0,3.72122290503329,4.36977250392063,0,0,0
"non.canonical.purine.NTP.pyrophosphatase..RdgB.HAM1.family..TIGR00042.",0,1.06320654429523,5.09806792124073,0,1.14870501038865,1.04984741681359
"probable.rRNA.maturation.factor.YbeY..TIGR00043.",0,2.12641308859045,4.36977250392063,0,1.14870501038865,3.14954225044078
"pyridoxal.phosphate.enzyme..YggS.family..TIGR00044.",0,3.18961963288568,0.728295417320105,0,0,0
"glycerate.kinase..TIGR00045.",0,4.78442944932852,5.82636333856084,2.15765038876728,5.74352505194324,3.14954225044078
"RNA.methyltransferase..RsmE.family..TIGR00046.",0,3.72122290503329,6.55465875588094,0,2.2974100207773,4.19938966725438
"X23S.rRNA..adenine.2503..C.2...methyltransferase..TIGR00048.",0,11.1636687150999,10.9244312598016,0,4.59482004155459,7.34893191769516
"iron.sulfur.cluster.assembly.accessory.protein..TIGR00049.",0,6.37923926577136,0,0,1.14870501038865,0
"RNA.methyltransferase..TrmH.family..group.1..TIGR00050.",0,2.12641308859045,1.45659083464021,4.31530077753455,3.44611503116594,3.14954225044078
"acyl.CoA.thioester.hydrolase..YbgC.YbaW.family..TIGR00051.",0,1.06320654429523,0.728295417320105,0,3.44611503116594,1.04984741681359
"nudix.type.nucleoside.diphosphatase..YffH.AdpP.family..TIGR00052.",2.17724155501756,3.18961963288568,5.82636333856084,2.15765038876728,3.44611503116594,9.44862675132235
"RIP.metalloprotease.RseP..TIGR00054.",0,4.25282617718091,10.1961358424815,0,6.89223006233189,10.4984741681359
"di.trans.poly.cis.decaprenylcistransferase..TIGR00055.",0,2.65801636073807,3.64147708660052,6.47295116630183,5.74352505194324,0
"ABC.transport.permease.subunit..TIGR00056.",0,1.59480981644284,9.46784042516136,0,0,7.34893191769516
"tRNA.threonylcarbamoyl.adenosine.modification.protein..Sua5.YciO.YrdC.YwlC.family..TIGR00057.",0,4.25282617718091,0,0,0,5.24923708406797
"ribosomal.protein.L17..TIGR00059.",0,6.37923926577136,5.09806792124073,0,1.14870501038865,2.09969483362719
"ribosomal.protein.L18..TIGR00060.",0,1.06320654429523,1.45659083464021,0,0,0
"ribosomal.protein.L21..TIGR00061.",0,0,0,0,0,0
"ribosomal.protein.L27..TIGR00062.",0,0.531603272147613,1.45659083464021,0,1.14870501038865,1.04984741681359
"GTP.cyclohydrolase.I..TIGR00063.",0,6.37923926577136,4.36977250392063,0,0,1.04984741681359
"signal.recognition.particle.docking.protein.FtsY..TIGR00064.",0,3.72122290503329,2.18488625196031,0,2.2974100207773,2.09969483362719
"cell.division.protein.FtsZ..TIGR00065.",0,5.84763599362374,7.28295417320105,2.15765038876728,1.14870501038865,29.3957276707807
"gamma.glutamyltransferase..TIGR00066.",0,5.31603272147613,0.728295417320105,0,0,0
"glutamate.racemase..TIGR00067.",0,4.25282617718091,3.64147708660052,0,1.14870501038865,0
"lactoylglutathione.lyase..TIGR00068.",0,6.37923926577136,4.36977250392063,6.47295116630183,9.18964008310918,3.14954225044078
"histidinol.dehydrogenase..TIGR00069.",0,9.56885889865704,7.28295417320105,2.15765038876728,0,5.24923708406797
"ATP.phosphoribosyltransferase..TIGR00070.",0,5.84763599362374,3.64147708660052,0,4.59482004155459,13.6480164185767
"tRNA.pseudouridine.38.40..synthase..TIGR00071.",0,7.9740490822142,5.09806792124073,0,3.44611503116594,7.34893191769516
"hydrogenase.maturation.protease..TIGR00072.",0,0.531603272147613,1.45659083464021,0,0,0
"hydrogenase.accessory.protein.HypB..TIGR00073.",0,0,0,0,0,0
"hydrogenase.assembly.chaperone.HypC.HupF..TIGR00074.",0,0,0,0,0,0
"hydrogenase.expression.formation.protein.HypD..TIGR00075.",0,0,0,0,0,2.09969483362719
"signal.peptidase.II..TIGR00077.",0,2.12641308859045,0,0,8.04093507272053,0
"nicotinate.nucleotide.diphosphorylase..carboxylating...TIGR00078.",0,4.25282617718091,2.91318166928042,0,0,3.14954225044078
"peptide.deformylase..TIGR00079.",0,6.91084253791897,2.18488625196031,0,0,0
"protein.L.isoaspartate.O.methyltransferase..TIGR00080.",0,1.06320654429523,0,0,0,0
"phosphoribosylaminoimidazolesuccinocarboxamide.synthase..TIGR00081.",0,0.531603272147613,2.91318166928042,0,1.14870501038865,1.04984741681359
"ribosome.binding.factor.A..TIGR00082.",0,0.531603272147613,3.64147708660052,0,6.89223006233189,1.04984741681359
"riboflavin.biosynthesis.protein.RibF..TIGR00083.",0,1.59480981644284,8.73954500784126,0,5.74352505194324,5.24923708406797
"Holliday.junction.DNA.helicase.RuvA..TIGR00084.",0,3.18961963288568,5.09806792124073,0,2.2974100207773,1.04984741681359
"SsrA.binding.protein..TIGR00086.",0,2.65801636073807,2.18488625196031,2.15765038876728,1.14870501038865,0
"X5..3..nucleotidase.SurE..TIGR00087.",0,3.18961963288568,4.36977250392063,0,0,1.04984741681359
"tRNA..guanine.37..N.1...methyltransferase..TIGR00088.",0,3.18961963288568,9.46784042516136,0,0,2.09969483362719
"radical.SAM.methylthiotransferase..MiaB.RimO.family..TIGR00089.",0,14.8848916201332,16.0224991810423,0,3.44611503116594,23.0966431698991
"ribosome.silencing.factor..TIGR00090.",0,1.06320654429523,0,2.15765038876728,0,1.04984741681359
"tRNA..guanine.N.7....methyltransferase..TIGR00091.",0,2.12641308859045,0,6.47295116630183,8.04093507272053,1.04984741681359
"GTP.binding.protein.YchF..TIGR00092.",0,6.37923926577136,13.1093175117619,4.31530077753455,3.44611503116594,8.39877933450876
"pseudouridine.synthase..TIGR00093.",0,17.5429079808712,15.2942037637222,0,8.04093507272053,6.29908450088157
"tRNA.pseudouridine.synthase..TruD.family..TIGR00094.",0,0,0.728295417320105,0,4.59482004155459,1.04984741681359
"X16S.rRNA..guanine.966..N.2...methyltransferase.RsmD..TIGR00095.",0,0.531603272147613,1.45659083464021,0,0,2.09969483362719
"X16S.rRNA..cytidine.1402..2..O..methyltransferase..TIGR00096.",0,2.65801636073807,0,0,0,3.14954225044078
"hydroxymethylpyrimidine.kinase.phosphomethylpyrimidine.kinase..TIGR00097.",0,0.531603272147613,0,0,0,2.09969483362719
"Cof.like.hydrolase..TIGR00099.",0,7.44244581006658,9.46784042516136,0,13.7844601246638,7.34893191769516
"hydrogenase.nickel.insertion.protein.HypA..TIGR00100.",0,2.12641308859045,0,0,0,1.04984741681359
"urease.accessory.protein.UreG..TIGR00101.",0,1.59480981644284,3.64147708660052,0,0,0
"DNA.binding.protein..YbaB.EbfC.family..TIGR00103.",0,1.06320654429523,0,0,0,0
"tRNA.Thr.GGU..m.6.t.6.A37.methyltransferase.TsaA..TIGR00104.",0,1.59480981644284,4.36977250392063,0,1.14870501038865,6.29908450088157
"ribosomal.protein.L31..TIGR00105.",0,1.59480981644284,2.18488625196031,0,1.14870501038865,1.04984741681359
"uncharacterized.protein..MTH1187.family..TIGR00106.",0,0,0,0,0,0
"purine.nucleoside.phosphorylase..TIGR00107.",0,0.531603272147613,6.55465875588094,0,6.89223006233189,2.09969483362719
"ferrochelatase..TIGR00109.",0,2.65801636073807,12.3810220944418,0,6.89223006233189,7.34893191769516
"dihydroxy.acid.dehydratase..TIGR00110.",0,20.2009243416093,19.6639762676428,0,9.18964008310918,25.1963380035263
"mRNA.surveillance.protein.pelota..TIGR00111.",0,1.06320654429523,0.728295417320105,0,1.14870501038865,0
"pyrroline.5.carboxylate.reductase..TIGR00112.",0,1.59480981644284,5.82636333856084,0,0,5.24923708406797
"S.adenosylmethionine.tRNA.ribosyltransferase.isomerase..TIGR00113.",0,6.91084253791897,10.1961358424815,4.31530077753455,4.59482004155459,12.5981690017631
"X6.7.dimethyl.8.ribityllumazine.synthase..TIGR00114.",0,4.25282617718091,7.28295417320105,0,0,1.04984741681359
"trigger.factor..TIGR00115.",0,7.9740490822142,9.46784042516136,0,4.59482004155459,10.4984741681359
"translation.elongation.factor.Ts..TIGR00116.",0,1.59480981644284,2.91318166928042,0,3.44611503116594,3.14954225044078
"aconitate.hydratase.2..TIGR00117.",0,17.0113047087236,10.1961358424815,0,1.14870501038865,10.4984741681359
"acetolactate.synthase..large.subunit..biosynthetic.type..TIGR00118.",0,21.2641308859045,16.7507945983624,0,10.3383450934978,25.1963380035263
"acetolactate.synthase..small.subunit..TIGR00119.",0,3.18961963288568,2.18488625196031,0,1.14870501038865,1.04984741681359
