"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO15","PHYLLO21","PHYLLO23","PHYLLO26","PHYLLO27","PHYLLO12","PHYLLO14","PHYLLO16","PHYLLO22","PHYLLO24","PHYLLO25","PHYLLO28","PHYLLO29"
"Oxidoreductases..1.......",0,139.971581745542,146.771344171058,123.786194595121,145.125681171312,90.0387138760596,103.982804461185,17.6651024605977,129.223313313133,109.643975432475,59.9701980479369,118.839491645817,118.109203661718,103.097165258763,0
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors..1.1.....",0,19.6997040975208,6.98911162719325,0,8.08124442717282,10.6624792747965,9.79548157967688,0,12.1908786144465,1.6612723550375,14.4755650460537,12.416066291354,10.9536761460464,12.0113202243218,0
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors....With.NAD....or.NADP....as.acceptor..1.1.1...",0,33.1784490063508,34.9455581359662,25.3537988929766,36.3655999222777,43.2422770588971,39.1819263187075,0,60.9543930722325,46.5156259410499,4.13587572744393,35.4744751181543,39.0522366946003,41.0386774330996,62.9651325554874
"Alcohol.dehydrogenase..1.1.1.1.",0,44.5835408522839,57.6601709243443,52.1989977208341,33.3351332620879,34.3568776632333,54.2518979797489,0,29.2581086746716,31.5641747457124,55.834322320493,44.3430938976929,28.5748073375124,28.026413856751,16.7907020147966
"L.xylulose.reductase..1.1.1.10.",0,0,0,0,0.336718517798868,2.96179979855459,0,0,0,0,0,0,0.47624678895854,0,4.19767550369916
"X3.oxoacyl..acyl.carrier.protein..reductase..1.1.1.100.",0,44.5835408522839,13.9782232543865,47.7247979161912,58.589022097003,53.9047563336936,48.9774078983844,0,0,56.4832600712749,2.06793786372196,26.6058563386157,61.4358357756517,72.0679213459311,8.39535100739832
"L.threonine.3.dehydrogenase..1.1.1.103.",0,9.33143878303616,0,2.98279986976195,4.71405924918415,4.73887967768735,10.548980162729,13.2488268454483,9.75270289155719,3.32254471007499,8.27175145488785,5.32117126772314,4.7624678895854,3.50330173209387,8.39535100739832
"All.trans.retinol.dehydrogenase..NAD......1.1.1.105.",0,0,0,0,0.673437035597735,0.592359959710918,0,4.41627561514942,0,1.6612723550375,0,0,0,0.50047167601341,0
"Pyridoxal.4.dehydrogenase..1.1.1.107.",0,0,3.49455581359662,0,2.35702962459207,3.55415975826551,2.2604957491562,0,0,0,0,0,1.42874036687562,4.50424508412069,0
"Carnitine.3.dehydrogenase..1.1.1.108.",0,3.11047959434539,0,0,1.0101555533966,0,0.753498583052068,0,0,0,0,0,1.90498715583416,0.50047167601341,4.19767550369916
"D.arabinitol.4.dehydrogenase..1.1.1.11.",0,0,3.49455581359662,0,4.71405924918415,4.73887967768735,0.753498583052068,0,17.0672300602251,0,0,1.77372375590771,4.28622110062686,5.50518843614751,0
"D.arabinose.1.dehydrogenase..NAD......1.1.1.116.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactose.1.dehydrogenase..NADP......1.1.1.120.",0,0,0,0,0,0,0,0,0,1.6612723550375,0,1.77372375590771,0,0,0
"D.threo.aldose.1.dehydrogenase..1.1.1.122.",0,0,3.49455581359662,0,1.0101555533966,0.592359959710918,1.50699716610414,0,17.0672300602251,1.6612723550375,0,0,0.47624678895854,0,0
"Sorbose.5.dehydrogenase..NADP......1.1.1.123.",0,0,1.74727790679831,0,0,0,0,0,0,0,0,0,0,0,0
"X2.deoxy.D.gluconate.3.dehydrogenase..1.1.1.125.",0,1.03682653144846,0,1.49139993488097,1.68359258899434,2.96179979855459,6.78148724746861,0,7.3145271686679,8.30636177518748,4.13587572744393,0,4.7624678895854,3.00283005608046,8.39535100739832
"X2.dehydro.3.deoxy.D.gluconate.5.dehydrogenase..1.1.1.127.",0,0,1.74727790679831,0,0,0,3.76749291526034,0,0,0,0,0,0.47624678895854,0,0
"X3.dehydro.L.gulonate.2.dehydrogenase..1.1.1.130.",0,0,1.74727790679831,2.98279986976195,0.673437035597735,0,3.01399433220827,8.83255123029885,7.3145271686679,0,0,1.77372375590771,0.952493577917081,0,0
"GDP.mannose.6.dehydrogenase..1.1.1.132.",0,0,0,1.49139993488097,0.673437035597735,0,2.2604957491562,0,0,1.6612723550375,0,0,1.42874036687562,0,0
"dTDP.4.dehydrorhamnose.reductase..1.1.1.133.",0,8.2946122515877,10.4836674407899,17.8967992185717,6.39765183817848,16.5860788719057,4.52099149831241,4.41627561514942,9.75270289155719,16.612723550375,0,8.86861877953857,14.2874036687562,14.5136786043889,0
"UDP.N.acetylglucosamine.6.dehydrogenase..1.1.1.136.",0,0,1.74727790679831,0,0.336718517798868,0.592359959710918,0,0,0,0,0,0,0,0,4.19767550369916
"Ribitol.5.phosphate.2.dehydrogenase..1.1.1.137.",0,1.03682653144846,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.iditol.2.dehydrogenase..1.1.1.14.",0,7.25778572013923,1.74727790679831,4.47419980464292,10.101555533966,12.4395591539293,1.50699716610414,0,0,11.6289064852625,2.06793786372196,3.54744751181543,6.19120825646102,4.00377340810728,0
"Sorbitol.6.phosphate.2.dehydrogenase..1.1.1.140.",0,0,1.74727790679831,0,0.673437035597735,0,2.2604957491562,0,0,0,0,0,0.952493577917081,0,0
"X15.hydroxyprostaglandin.dehydrogenase..NAD......1.1.1.141.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X3.beta.hydroxy.Delta.5..steroid.dehydrogenase..1.1.1.145.",0,0,0,0,0,0,0,0,0,1.6612723550375,0,0,0,0,0
"X20.alpha.hydroxysteroid.dehydrogenase..1.1.1.149.",0,4.14730612579385,8.73638953399156,1.49139993488097,0.336718517798868,0,0,0,21.9435815060037,0,0,3.54744751181543,3.80997431166832,0,0
"D.iditol.2.dehydrogenase..1.1.1.15.",0,0,0,0,0,0,1.50699716610414,0,0,0,0,0,0,0,0
"Ureidoglycolate.dehydrogenase..1.1.1.154.",0,0,0,0,0,1.18471991942184,0.753498583052068,0,4.8763514457786,0,0,0,1.42874036687562,1.00094335202682,0
"X3.hydroxybutyryl.CoA.dehydrogenase..1.1.1.157.",0,1.03682653144846,0,0,10.4382740517649,13.0319191136402,6.78148724746861,0,0,0,0,0,7.61994862333664,8.00754681621456,0
"X7.alpha.hydroxysteroid.dehydrogenase..1.1.1.159.",0,0,0,0,0,0,0,0,0,0,0,0,0.47624678895854,0,0
"Erythrulose.reductase..1.1.1.162.",0,0,0,2.98279986976195,0,0,0.753498583052068,0,0,0,0,0,0,0,0
"Cyclopentanol.dehydrogenase..1.1.1.163.",0,0,3.49455581359662,1.49139993488097,0,0,0,0,0,0,0,0,0.47624678895854,0,0
"X2.dehydropantoate.2.reductase..1.1.1.169.",0,9.33143878303616,15.7255011611848,5.9655997395239,14.1421777475524,5.33123963739827,11.302478745781,0,0,6.64508942014998,4.13587572744393,15.9635138031694,10.0011825681293,6.00566011216092,0
