"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO15","PHYLLO21","PHYLLO23","PHYLLO26","PHYLLO27","PHYLLO12","PHYLLO14","PHYLLO16","PHYLLO22","PHYLLO24","PHYLLO25","PHYLLO28","PHYLLO29"
"X.alpha.1.6.mannosyltransferase.activity..GO.0000009..",0,2.05863891265375,0,0,0.317449334144177,0,0,0,0,0,2.33594002988256,0,0,0,0
"X.alpha.1.2.mannosyltransferase.activity..GO.0000026..",0,1.02931945632687,0,0,0,0,0,0,0,1.6979320494788,0,0,0,0,0
"mannosyltransferase.activity..GO.0000030.",0,9.26387510694186,1.88615926367515,14.3908233081872,4.76174001216266,5.87825215537074,18.3462903655287,0,34.8073005404391,6.79172819791519,9.34376011953026,0,6.03915379502494,4.29025587044418,17.0731263799359
"adenine.deaminase.activity..GO.0000034.",0,7.20523619428811,5.65847779102546,7.19541165409361,10.1583786926137,11.7565043107415,8.33922289342213,5.25499293670154,0,5.09379614843639,9.34376011953026,6.10348167523438,11.1492070061999,10.9639872244685,0
"ACP.phosphopantetheine.attachment.site.binding.involved.in.fatty.acid.biosynthetic.process..GO.0000036.",3.92907589733244,1.02931945632687,1.88615926367515,1.43908233081872,4.44429067801848,0,0,0,0,3.3958640989576,0,0,2.32275145962498,0.47669509671602,0
"tRNA.binding..GO.0000049.",0,238.802113867835,303.6716414517,241.765831577545,275.86347137129,272.163074793665,275.19435548293,5.25499293670154,147.261656132627,258.085671520777,268.633103436495,244.139267009375,261.077264061847,315.095458929289,165.040221672714
"fatty.acyl.CoA.binding..GO.0000062.",0,1.02931945632687,0,4.31724699245617,2.22214533900924,1.17565043107415,4.16961144671107,5.25499293670154,5.35496931391371,0,2.33594002988256,4.06898778348959,2.32275145962498,0.47669509671602,0
"succinate.dehydrogenase.activity..GO.0000104.",0,26.7623058644987,16.9754333730764,10.0735763157311,27.9355414046876,17.6347564661122,34.1908138630307,0,69.6146010808782,10.1875922968728,35.0391004482385,18.3104450257031,35.7703724782247,27.6483156095291,0
"imidazoleglycerol.phosphate.synthase.activity..GO.0000107.",0,11.3225140195956,5.65847779102546,7.19541165409361,20.3167573852273,16.4591060350381,17.5123680761865,0,8.03245397087056,10.1875922968728,18.6875202390605,10.172469458724,14.8656093415999,16.6843283850607,5.6910421266453
"microfilament.motor.activity..GO.0000146.",0,0,0,1.43908233081872,0.317449334144177,0.587825215537075,0.833922289342213,0,0,0,0,0,0,0,0
"recombinase.activity..GO.0000150.",0,23.6743474955181,33.9508667461528,14.3908233081872,23.8087000608133,32.9182120700762,40.8621921777685,0,18.742392598698,28.8648448411396,11.6797001494128,2.03449389174479,19.5111122608498,28.1250107062452,0
"phosphorelay.sensor.kinase.activity..GO.0000155.",0,604.210520863874,488.515249291865,643.269801875969,771.084432636206,838.826582571405,585.413447118234,0,457.849876339622,675.776955692562,270.969043466377,830.073507831875,867.315395023967,971.504607107248,170.731263799359
"phosphorelay.response.regulator.activity..GO.0000156.",0,548.627270222223,437.588949172635,546.851285711115,615.534258905559,732.430218559195,522.035353128226,0,401.622698543528,623.141062158719,280.312803585908,669.348490384037,727.021206862618,748.887996940867,165.040221672714
"nucleotide.binding..GO.0000166.",0,266.59373918866,175.412811521789,244.643996239183,226.341375244798,197.509272420457,202.643116310158,0,152.616625446541,278.460856114523,245.273703137669,154.621535772604,199.756625527748,209.269147458333,0
"X3..5..exoribonuclease.activity..GO.0000175.",0,25.7329864081718,24.520070427777,20.1471526314621,35.871774758292,29.3912607768537,32.5229692843463,0,0,28.8648448411396,32.7031604183559,10.172469458724,39.9513251055496,34.3220469635534,5.6910421266453
"X.rRNA..adenine.N6.N6...dimethyltransferase.activity..GO.0000179..",0,9.26387510694186,20.7477519004267,15.8299056390059,17.7771627120739,26.4521346991684,18.3462903655287,0,8.03245397087056,27.1669127916608,14.0156401792954,16.2759511339583,16.2592602173748,21.9279744489369,5.6910421266453
"NAD..diphosphatase.activity..GO.0000210.",0,8.23455565061498,1.88615926367515,8.63449398491233,0.317449334144177,0,5.83745602539549,10.5099858734031,2.67748465695685,0,4.67188005976513,2.03449389174479,4.64550291924995,0.95339019343204,11.3820842532906
"tRNA.intron.endonuclease.activity..GO.0000213.",0,0,0,0,0.317449334144177,0,0.833922289342213,0,0,1.6979320494788,0,0,0.464550291924995,0,0
"C.22.sterol.desaturase.activity..GO.0000249.",0,0,1.88615926367515,0,0.634898668288354,0,0,5.25499293670154,0,0,0,0,0,0,0
"nitrilase.activity..GO.0000257.",0,0,0,1.43908233081872,0,0,0,0,0,0,0,0,0,0.95339019343204,0
"alanine.dehydrogenase.activity..GO.0000286.",0,0,3.77231852735031,0,5.71408801459519,11.7565043107415,11.674912050791,0,0,1.6979320494788,0,0,6.50370408694994,14.7775479981966,0
"magnesium.ion.binding..GO.0000287.",0,950.061858189704,931.762676255526,902.304621423339,1008.53653457605,1086.88882352805,1048.24031770316,0,599.756563158335,1078.18685141904,1153.95437476199,941.970671877839,1031.30164807349,1108.31609986475,762.599644970471
"endopolyphosphatase.activity..GO.0000298.",0,2.05863891265375,0,0,0.317449334144177,0,1.66784457868443,0,0,0,0,0,0.464550291924995,0,0
"nicotinamide.nucleotide.adenylyltransferase.activity..GO.0000309.",3.92907589733244,0,1.88615926367515,2.87816466163745,0.952348002432531,0.587825215537075,5.83745602539549,5.25499293670154,2.67748465695685,0,4.67188005976513,0,0.929100583849991,0.95339019343204,0
"xanthine.phosphoribosyltransferase.activity..GO.0000310.",0,2.05863891265375,5.65847779102546,1.43908233081872,5.71408801459519,0,1.66784457868443,0,8.03245397087056,3.3958640989576,14.0156401792954,8.13797556697917,2.78730175154997,3.33686567701214,0
"X.3.hydroxyanthranilate.3.4.dioxygenase.activity..GO.0000334..",0,0,0,0,1.58724667072089,0.587825215537075,0,0,2.67748465695685,1.6979320494788,0,0,0.464550291924995,0.47669509671602,0
"RNA.cap.binding..GO.0000339.",0,4.11727782530749,0,0,0.952348002432531,0,0,0,0,0,0,0,0,0,0
"X..R.R..butanediol.dehydrogenase.activity..GO.0000721..",0,0,0,0,0.317449334144177,0,0,0,5.35496931391371,0,0,0,0,0,0
"adenyl.nucleotide.exchange.factor.activity..GO.0000774.",0,4.11727782530749,5.65847779102546,0,7.61878401946025,4.7026017242966,2.50176686802664,0,8.03245397087056,10.1875922968728,0,10.172469458724,5.57460350309994,1.90678038686408,0
"inositol.heptakisphosphate.kinase.activity..GO.0000829.",0,0,0,1.43908233081872,0,0,0,0,0,0,0,0,0,0,0
"inositol.hexakisphosphate.4.kinase.activity..GO.0000830.",0,0,0,1.43908233081872,0,0,0,0,0,0,0,0,0,0,0
"inositol.hexakisphosphate.6.kinase.activity..GO.0000831.",0,0,0,1.43908233081872,0,0,0,0,0,0,0,0,0,0,0
"X.6.7.dimethyl.8.ribityllumazine.synthase.activity..GO.0000906..",0,9.26387510694186,1.88615926367515,12.9517409773685,6.66643601702772,5.29042693983367,2.50176686802664,0,0,1.6979320494788,2.33594002988256,2.03449389174479,5.11005321117495,1.90678038686408,0
"taurine.dioxygenase.activity..GO.0000908.",0,0,0,0,3.17449334144177,4.11477650875952,0,0,0,5.09379614843639,0,0,5.11005321117495,6.67373135402428,0
