"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO15","PHYLLO21","PHYLLO23","PHYLLO26","PHYLLO27","PHYLLO12","PHYLLO14","PHYLLO16","PHYLLO22","PHYLLO24","PHYLLO25","PHYLLO28","PHYLLO29"
"mitochondrion.inheritance..GO.0000001.",0,2.05638287930223,4.10893499157765,4.80459506702514,1.70186827135093,1.30575716317086,2.69609382683928,8.47100916384393,2.53436415236262,7.46188305930545,0,0,3.38094655806525,1.01171283586146,6.104265255318
"mitochondrial.genome.maintenance..GO.0000002.",0,5.14095719825559,0,4.80459506702514,0.340373654270187,0.652878581585432,2.69609382683928,0,0,0,2.17927532496572,0,1.44897709631368,0.50585641793073,0
"vacuole.inheritance..GO.0000011.",0,4.11276575860447,0,4.80459506702514,1.70186827135093,0.652878581585432,2.69609382683928,8.47100916384393,0,7.46188305930545,2.17927532496572,0,2.41496182718946,1.01171283586146,0
"ribosomal.large.subunit.assembly..GO.0000027.",0,20.5638287930223,16.4357399663106,11.2107218230587,9.87083597383541,10.4460573053669,23.3661464992738,0,25.3436415236262,13.0582953537845,61.0197090990402,23.4946147509521,14.0067785976989,11.1288411944761,24.417061021272
"ribosomal.small.subunit.assembly..GO.0000028.",0,4.11276575860447,0,1.60153168900838,1.36149461708075,0,0,8.47100916384393,0,0,0,4.27174813653675,1.44897709631368,0,0
"cell.wall.mannoprotein.biosynthetic.process..GO.0000032.",0,1.02819143965112,0,0,0,0,0,0,0,1.86547076482636,0,0,0,0,0
"transition.metal.ion.transport..GO.0000041.",0,0,0,0,4.42485750551243,4.57015007109803,0,0,0,0,0,0,0.965984730875784,3.54099492551511,0
"protein.targeting.to.Golgi..GO.0000042.",0,0,0,1.60153168900838,1.36149461708075,0,1.79739588455952,0,2.53436415236262,0,0,0,1.44897709631368,0,0
"autophagic.vacuole.assembly..GO.0000045.",1.94355969784341,0,0,0,0.340373654270187,0,0,0,0,0,0,0,0,0,0
"ribosomal.subunit.export.from.nucleus..GO.0000054.",0,1.02819143965112,0,1.60153168900838,0.340373654270187,0,0,0,0,3.73094152965273,2.17927532496572,0,0,0,0
"ribosomal.large.subunit.export.from.nucleus..GO.0000055.",1.94355969784341,7.19734007755782,4.10893499157765,0,2.38261557989131,1.30575716317086,0.898697942279761,0,0,7.46188305930545,13.0756519497943,0,1.93196946175157,2.52928208965365,0
"ribosomal.small.subunit.export.from.nucleus..GO.0000056.",0,1.02819143965112,0,1.60153168900838,0,1.30575716317086,0.898697942279761,0,0,0,0,0,0,0,0
"cell.cycle.checkpoint..GO.0000075.",0,0,0,0,0,0,1.79739588455952,0,0,0,0,0,0.965984730875784,0,0
"DNA.replication.checkpoint..GO.0000076.",0,0,0,0,0,0,0,4.23550458192197,0,0,0,0,0,0,0
"DNA.damage.checkpoint..GO.0000077.",0,0,0,0,0.340373654270187,0,0,0,0,0,0,0,0,0,0
"regulation.of.cyclin.dependent.protein.serine.threonine.kinase.activity..GO.0000079.",0,4.11276575860447,0,11.2107218230587,4.76523115978261,1.30575716317086,1.79739588455952,8.47100916384393,5.06872830472523,3.73094152965273,8.71710129986288,0,5.31291601981681,2.02342567172292,0
"G1.S.transition.of.mitotic.cell.cycle..GO.0000082.",0,0,0,0,0,0,0,0,0,0,2.17927532496572,0,0,0,0
"sulfate.assimilation..GO.0000103.",0,18.5074459137201,34.9259474284101,28.8275704021508,29.6125079215062,15.6690859580504,27.8596362106726,0,45.6185547425271,18.6547076482636,67.5575350739373,17.086992546147,26.0815877336462,26.8103901503287,0
