"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO15","PHYLLO21","PHYLLO23","PHYLLO26","PHYLLO27","PHYLLO12","PHYLLO14","PHYLLO16","PHYLLO22","PHYLLO24","PHYLLO25","PHYLLO28","PHYLLO29"
"X7.transmembrane.receptor..rhodopsin.family...PF00001.",3.36095574976893,0,0,0,0.348149799474325,0,0,0,0,0,18.7659575994606,5.25889491999469,0,0,0
"X7.transmembrane.receptor..Secretin.family...PF00002.",3.36095574976893,0,0,1.30029275696846,0,0,0,0,0,0,4.17021279988013,3.50592994666312,0,0,0
"X7.transmembrane.sweet.taste.receptor.of.3.GCPR..PF00003.",0,0,0,0,0,0,0,0,0,0,0,3.50592994666312,0,0,0
"ATPase.family.associated.with.various.cellular.activities..AAA...PF00004.",0,309.782941762315,210.260155821996,256.157673122786,308.808872133726,310.583602944832,304.517422826226,0,101.118031128327,199.875730146526,339.87234319023,156.013882626509,271.702945582836,319.525868958183,120.340095163905
"ABC.transporter..PF00005.",0,925.427522226663,821.766775670967,772.373897639264,1115.12380771626,1214.71334037119,1196.44203343372,0,672.654728810177,898.653873335954,713.106388779502,908.035856185749,1133.72452113701,1213.61646434345,269.561813167148
"ATP.synthase.alpha.beta.family..nucleotide.binding.domain..PF00006.",0,103.914531097485,82.3518943636151,92.3207857447606,127.770976407077,120.305111022109,126.305521967696,0,65.9465420402134,121.184497805374,168.893618395145,73.6245288799256,114.838475201378,147.883748152118,38.5088304524497
"EGF.like.domain..PF00008.",6.72191149953787,0,0,0,0.348149799474325,0,0.865106314847233,0,0,0,25.0212767992808,0,0,0,4.81360380655621
"Elongation.factor.Tu.GTP.binding.domain..PF00009.",0,208.809387960042,219.020995647912,183.341278732553,270.512394191551,325.92864261602,292.405934418365,0,57.153669768185,247.090469551217,350.297875189931,129.719408026536,285.874502097048,298.676684792474,57.7632456786745
"Helix.loop.helix.DNA.binding.domain..PF00010.",0,0.980325765070617,0,5.20117102787383,4.87409719264055,0,1.73021262969447,0,0,1.57382464682304,10.4255319997003,1.75296497333156,1.95469745023623,0,0
"Hsp20.alpha.crystallin.family..PF00011.",0,0,1.7521679651833,5.20117102787383,4.87409719264055,7.97942062901743,14.706807352403,0,0,0,0,0,4.88674362559057,4.36378273235758,0
"Hsp70.protein..PF00012.",0,87.2489930912849,50.8128709903157,58.5131740635806,83.5559518738381,71.2009840743094,73.5340367620148,17.522199294761,24.1803987480783,59.8053365792754,108.425532796883,45.5770893066206,65.9710389454727,69.8205237177212,0
"KH.domain..PF00013.",0,43.1343336631072,36.7955272688493,27.3061478963376,55.0076683169434,47.2627221872571,44.9855283720561,0,0,58.2315119324523,45.8723407986814,10.5177898399894,56.6862260568506,43.6378273235758,19.2544152262248
"Kunitz.Bovine.pancreatic.trypsin.inhibitor.domain..PF00014.",0,0,0,0,0.348149799474325,0,0,0,0,0,0,0,0,0,0
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.",0,90.1899703864968,82.3518943636151,98.8222495296029,228.386268455157,152.222793538179,125.440415652849,0,116.505557604377,58.2315119324523,0,282.227360706382,260.952109606536,230.795620066912,0
"Ribulose.bisphosphate.carboxylase.large.chain..catalytic.domain..PF00016.",0,5.8819545904237,1.7521679651833,3.90087827090538,0.348149799474325,3.06900793423747,0.865106314847233,0,2.19821806800711,1.57382464682304,2.08510639994006,0,1.46602308767717,4.36378273235758,0
"SH2.domain..PF00017.",0,0,0,0,0,0,0,0,0,0,4.17021279988013,1.75296497333156,0,0,0
"SH3.domain..PF00018.",0,10.7835834157768,0,13.0029275696846,4.52594739316623,2.45520634738998,0.865106314847233,0,8.79287227202846,0,29.1914895991609,1.75296497333156,6.84144107582679,0.484864748039731,0
"TNFR.NGFR.cysteine.rich.region..PF00020.",0,0,0,0,0,0,0,4.38054982369024,0,0,0,0,0,0,0
"Actin..PF00022.",0,1.96065153014123,0,3.90087827090538,3.82964779421758,0,0,0,0,0,0,0,2.93204617535434,0,0
"Ankyrin.repeat..PF00023.",0,25.488469891836,8.7608398259165,10.4023420557477,10.4444939842298,3.68280952108497,6.05574420393063,0,8.79287227202846,1.57382464682304,16.6808511995205,0,13.1942077890945,6.3032417245165,0
"PAN.domain..PF00024.",3.36095574976893,0.980325765070617,0,1.30029275696846,1.04444939842298,0.613801586847495,0,0,0,0,4.17021279988013,3.50592994666312,0.977348725118113,1.45459424411919,4.81360380655621
"ADP.ribosylation.factor.family..PF00025.",0,3.92130306028247,0,0,0,0.613801586847495,0,0,0,0,0,0,1.46602308767717,1.93945899215892,0
"Eukaryotic.aspartyl.protease..PF00026.",0,7.84260612056494,0,0,3.48149799474325,0,2.5953189445417,0,0,0,0,8.76482486665781,2.44337181279528,1.45459424411919,0
"Cyclic.nucleotide.binding.domain..PF00027.",0,40.1933563678953,21.0260155821996,24.7055623824007,53.2669193195718,69.9733809006144,35.4693589087366,0,28.5768348840925,33.0503175832838,29.1914895991609,28.047439573305,53.2655055189372,71.7599827098801,9.62720761311241
"Cadherin.domain..PF00028.",10.0828672493068,0,0,7.80175654181075,0,0.613801586847495,1.73021262969447,0,0,1.57382464682304,12.5106383996404,3.50592994666312,5.37541798814962,1.93945899215892,0
"Beta.Gamma.crystallin..PF00030.",0,0,0,0,0.348149799474325,0,0,0,0,0,0,0,0.488674362559057,0,0
"Cytochrome.b.C.terminal..b6.petD..PF00032.",0,35.2917275425422,10.5130077910998,28.6064406533061,25.4149353616257,14.7312380843399,11.246382093014,0,19.783962612064,20.4597204086995,4.17021279988013,8.76482486665781,25.4110668530709,29.5767496304236,0
"Cytochrome.b.N.terminal..b6.petB..PF00033.",0,1.96065153014123,15.7695116866497,16.90380584059,11.1407935831784,9.82082538955992,8.65106314847233,8.76109964738048,2.19821806800711,17.3120711150534,8.34042559976025,1.75296497333156,10.7508359762992,9.69729496079461,0
"Cytochrome.c..PF00034.",0,22.5474925966242,14.0173437214664,23.4052696254323,43.866874733765,42.3523094924771,28.5485083899587,17.522199294761,24.1803987480783,22.0335450555225,0,14.0237197866525,31.7638335663387,39.2740445912182,4.81360380655621
"Double.stranded.RNA.binding.motif..PF00035.",0,1.96065153014123,7.0086718607332,6.50146378484229,9.40004458580678,8.59322221586493,2.5953189445417,0,17.5857445440569,1.57382464682304,12.5106383996404,0,7.33011543838585,10.6670244568741,9.62720761311241
"EF.hand..PF00036.",0,0,0,0,0.348149799474325,0,0,0,0,0,4.17021279988013,0,0,0,0
"X4Fe.4S.binding.domain..PF00037.",0,2.94097729521185,0,2.60058551393692,5.5703967915892,7.97942062901743,4.32553157423617,0,0,0,4.17021279988013,0,3.4207205379134,13.5762129451125,0
"Fibronectin.type.III.domain..PF00041.",0,13.7245607109886,19.2738476170163,6.50146378484229,39.6890771400731,57.6973491636645,15.5719136672502,0,0,29.9026682896377,22.9361703993407,31.5533695199681,19.0583001398032,20.8491841657084,0
"Globin..PF00042.",0,14.7048864760593,10.5130077910998,14.303220326653,10.7926437837041,4.91041269477996,6.92085051877787,21.9027491184512,17.5857445440569,6.29529858729215,6.25531919982019,5.25889491999469,4.88674362559057,1.93945899215892,9.62720761311241
"Glutathione.S.transferase..C.terminal.domain..PF00043.",0,27.4491214219773,33.2911913384827,42.9096609799591,37.2520285437528,22.7106587133573,31.1438273345004,8.76109964738048,26.3786168160854,29.9026682896377,27.1063831992208,31.5533695199681,37.1392515544883,25.6978316461057,0
"Glyceraldehyde.3.phosphate.dehydrogenase..NAD.binding.domain..PF00044.",0,25.488469891836,29.7868554081161,29.9067334102745,33.4223807495352,36.8280952108497,33.7391462790421,0,24.1803987480783,26.7550189959916,25.0212767992808,29.8004045466366,43.003343905197,25.6978316461057,0
"Hemopexin..PF00045.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Homeobox.domain..PF00046.",0,2.94097729521185,0,2.60058551393692,1.3925991978973,1.22760317369499,0,4.38054982369024,2.19821806800711,1.57382464682304,8.34042559976025,3.50592994666312,0.977348725118113,0,0
"Kazal.type.serine.protease.inhibitor.domain..PF00050.",0,0,0,0,0,0,0,0,0,0,2.08510639994006,0,0,0,0
"Kringle.domain..PF00051.",6.72191149953787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF00052",0,0,0,0,0,0,0,0,0,0,2.08510639994006,1.75296497333156,0,0.484864748039731,0
"Laminin.EGF.like..Domains.III.and.V...PF00053.",0,0,0,0,0,0,0,0,0,0,10.4255319997003,1.75296497333156,0,0,0
"Laminin.G.domain..PF00054.",3.36095574976893,0,0,0,0,0,0,0,0,0,12.5106383996404,0,0,0,4.81360380655621
"lactate.malate.dehydrogenase..NAD.binding.domain..PF00056.",0,4.90162882535309,10.5130077910998,5.20117102787383,14.6222915779217,16.5726428448824,13.8417010375557,0,0,6.29529858729215,10.4255319997003,0,9.28481288862208,19.3945899215892,0
"Low.density.lipoprotein.receptor.domain.class.A..PF00057.",0,0,0,0,0,0,0,0,0,0,18.7659575994606,0,0,0,0
"Low.density.lipoprotein.receptor.repeat.class.B..PF00058.",0,0,0,0,0,0,0,0,0,0,10.4255319997003,0,0,0,0
"Lectin.C.type.domain..PF00059.",0,0,0,0,0,0,0,0,0,0,2.08510639994006,0,0,0.484864748039731,0
"Ligand.gated.ion.channel..PF00060.",0,0,0,0,0.348149799474325,0,0,0,0,0,2.08510639994006,0,0,0,0
