"rows.list[[i]]","PHYLLO11","PHYLLO13","PHYLLO15","PHYLLO21","PHYLLO23","PHYLLO26","PHYLLO27","PHYLLO12","PHYLLO14","PHYLLO16","PHYLLO22","PHYLLO24","PHYLLO25","PHYLLO28","PHYLLO29"
"Abiotrophia",0,0,1.86820265493905,0,1.55462020060292,2.7887798137017,0.785700496544624,0,0,0,0,0,0.68604975803488,0,2.55904477672112
"Acanthamoeba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acaryochloris",0,0,0,0,0,0,1.57140099308925,0,0,0,0,0,0,0.585768090230445,0
"Acetobacter",0,2.13220220351565,0,2.54155551653162,0.518206733534305,0.697194953425425,4.71420297926774,1.10500959162064,0,1.49977874905707,0,2.75143721394519,0.68604975803488,4.10037663161312,0
"X.Acetobacteraceae.",0,74.6270771230478,0,38.1233327479744,4.14565386827444,21.6130435561882,43.9992278064989,0,0,5.9991149962283,1.23469311841639,0,2.74419903213952,24.0164916994483,0
"Acetohalobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetonema",0,0,0,0,0,0,0.785700496544624,0,0,0,0,0,0.68604975803488,0,0
"X.Acetothermia.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",0,0,1.86820265493905,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X.Acidaminococcaceae.",0,1.06610110175783,0,0,0,0,0,0,0,1.49977874905707,0,0,0,0,0
"Acidaminococcus",0,0,0,0,0.518206733534305,0.697194953425425,0,0,0,0,0,0,0.68604975803488,0,0
"Acidianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.585768090230445,0
"Acidilobus",0,0,0,0,0,0.697194953425425,0,0,0,0,0,0,0,0.585768090230445,0
"X.Acidimicrobiaceae.",0,0,0,0,0,0,0.785700496544624,0,0,0,0,0,0,0,0
"Acidimicrobium",0,0,0,0,0,0.697194953425425,0.785700496544624,0,0,0,0,0,0,1.75730427069134,0
"Acidiphilium",0,2.13220220351565,0,0,0,0,0,0,0,0,0,0,1.37209951606976,2.34307236092178,0
"Acidithiobacillus",0,0,0,0,2.07282693413722,1.39438990685085,0,0,1.01612374144314,0,0,0,0,0.585768090230445,0
"X.Acidobacteria.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X.Acidobacteriaceae.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X.Acidobacteriales.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacterium",0,0,0,0,0,0,0,0,0,0,3.70407935524917,0,0,0,0
"Acidocella",0,1.06610110175783,0,5.08311103306325,0,0,0,0,0,0,0,0,0,0,0
"Acidomonas",0,1.06610110175783,0,0,0,0,1.57140099308925,0,0,0,0,0,0,1.75730427069134,0
"Acidothermus",0,0,0,0,0,0.697194953425425,3.92850248272312,0,0,0,0,0,0,0,0
"Acidovorax",0,0,0,0,4338.94497988274,2714.17995368518,129.640581929863,0,0,29.9955749811415,0,3213.67866588799,1579.97259275433,3798.70606514444,0
"Acinetobacter",0,11447.7936306755,10334.8970871228,6719.87278570961,10325.269165671,1328.15638627543,93.4983590888102,970.198421442923,2308.63314055881,7896.3351137855,7735.35238687868,7998.42798093868,7224.79000186532,454.556038018825,0
"Acremonium",0,1.06610110175783,0,0,0,0,0,1.10500959162064,0,0,0,0,0,0,0
"Acromyrmex",0,0,0,1.27077775826581,0,0,0,0,0,0,0,0,0,0,0
"Acropora",0,0,0,0,0,0,0.785700496544624,0,0,0,0,0,0,0,0
"Actibacterium",0,0,0,0,0.518206733534305,0,0.785700496544624,0,0,0,0,0,0,1.17153618046089,0
"Actinobacillus",0,0,0,0,0.518206733534305,0,0,0,1.01612374144314,0,0,0,0,0,0
"X.Actinobacteria.",0,43.7101451720709,9.34101327469523,0,155.462020060292,504.071951326582,487.134307857667,0,0,125.981414920794,0,0,148.872797493569,394.22192472509,127.952238836056
"Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinokineospora",0,0,0,0,0,1.39438990685085,3.92850248272312,0,0,0,0,0,0,0.585768090230445,0
"Actinomyces",0,5.33050550878913,0,0,2.07282693413722,0,0,0,0,0,0,0,0,1.75730427069134,0
"X.Actinomycetaceae.",0,1.06610110175783,3.73640530987809,0,6.21848080241166,1.39438990685085,0,0,0,0,0,0,2.74419903213952,0.585768090230445,0
"X.Actinomycetales.",0,1400.85684770978,605.297660200251,0,1722.0009755345,3787.86018196033,2940.87695856653,0,0,1108.33649555318,0,0,1796.76431629335,2999.13262197988,1013.38173158156
"Actinoplanes",0,14.9254154246096,0,0,25.9103366767153,53.6840114137577,22.7853143997941,0,0,0,0,0,14.4070449187325,55.6479685718923,0
"Actinosynnema",0,1.06610110175783,0,0,0,6.97194953425425,0.785700496544624,0,0,1.49977874905707,0,0,0,1.17153618046089,0
"Actinotalea",0,2.13220220351565,0,2.54155551653162,1.55462020060292,4.18316972055255,7.07130446890161,0,2.03224748288628,7.49889374528537,0,0,1.37209951606976,5.27191281207401,5.11808955344223
"Acyrthosiphon",0,24.52032534043,0,8.89544430786068,4.14565386827444,4.18316972055255,7.07130446890161,3.31502877486192,28.4514647604079,4.49933624717122,191.37743335454,2.75143721394519,2.74419903213952,0,0
"X.Adenoviridae.",0,0,0,0,0,2.09158486027627,0.785700496544624,0,0,0,0,0,0,0.585768090230445,0
"Adineta",0,0,0,0,0,0,0,0,0,1.49977874905707,0,0,0,0,0
"Adlercreutzia",0,0,0,0,0,0,0,0,0,0,0,0,0.68604975803488,0,0
"Advenella",0,8.52880881406261,0,3.81233327479744,1.03641346706861,1.39438990685085,1.57140099308925,0,0,0,0,0,1.37209951606976,0.585768090230445,0
"Aedes",1.22215542438489,1.06610110175783,0,0,0.518206733534305,0,0,0,0,0,1.23469311841639,0,0,0,0
"Aequorivita",0,1.06610110175783,0,17.7908886157214,2.59103366767153,1.39438990685085,0.785700496544624,0,1.01612374144314,7.49889374528537,0,0,1.37209951606976,2.34307236092178,2.55904477672112
"X.Aerococcaceae.",0,0,1.86820265493905,0,0,0,0,0,0,0,0,0,0.68604975803488,1.75730427069134,0
"Aerococcus",0,37.3135385615239,13.0774185845733,40.664888264506,7.77310100301458,0.697194953425425,0.785700496544624,0,11.1773611558745,8.99867249434245,2.46938623683278,0,6.8604975803488,3.51460854138267,0
"Aeromicrobium",0,3.19830330527348,0,0,0,5.5775596274034,0,0,0,0,0,0,0.68604975803488,4.10037663161312,0
"X.Aeromonadales.",0,0,1.86820265493905,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas",0,3.19830330527348,0,3.81233327479744,1.03641346706861,0,0,0,2.03224748288628,0,0,0,0.68604975803488,0,0
"Afipia",0,5.33050550878913,0,0,0,2.09158486027627,3.1428019861785,0,0,0,0,0,0,1.17153618046089,0
